id,1101083@寫作指導@1@1,1101113@中國哲學概論@1@1,1101123@兒童哲學與故事講述@1@1,1101411@國學導讀（一）@1@1,1101613@民間文學@1@1,1101811@文學概論（一）@1@1,1101888@學系服務學習@1@1,1101931@書畫與視覺設計（一）@1@1,1102041@書法與篆刻美學（一）@1@1,1103626@文學、電影與大陸當代戲劇@1@1,1101412@國學導讀（二）@2@1,1101520@現代散文@2@1,1101538@中國寓言選讀@2@1,1101543@中國小說選@2@1,1101812@文學概論（二）@2@1,1101888@學系服務學習@2@1,1101932@書畫與視覺設計（二）@2@1,1102042@書法與篆刻美學（二）@2@1,1102313@閩南語概論@2@1,1102613@左傳@2@1,1103200@明清小說@2@1,1103255@西方現代文學理論@2@1,1103703@曲選及習作@2@1,1103736@專家詩：蘇東坡詩@2@1,1104113@禪宗思想導讀@2@1,1101311@語言學概論（一）@1@1,1102011@文字學（一）@1@1,1102021@中國文學史（一）@1@1,1102030@詩與畫：文學閱讀與圖像觀看@1@1,1102145@莊子@1@1,1102511@詩選及習作（一）@1@1,1102514@詩經@1@1,1102711@歷代文選及習作（一）@1@1,1102916@文學與劇場改編@1@1,1103141@中國俗文學（一）@1@1,1103521@六朝志怪小說@1@1,1103613@中國戲劇選讀@1@1,1103627@西方戲劇選讀@1@1,1103955@社會關懷與劇場應用@1@1,1104125@韓非子@1@1,1101312@語言學概論（二）@2@1,1101825@儒家文獻選讀@2@1,1101933@書道與日常應用@2@1,1102012@文字學（二）@2@1,1102022@中國文學史（二）@2@1,1102124@經學史@2@1,1102154@國語@2@1,1102512@詩選及習作（二）@2@1,1102540@漢籍英譯選讀@2@1,1102712@歷代文選及習作（二）@2@1,1103142@中國俗文學（二）@2@1,1103225@文學批評@2@1,1103522@聊齋誌異選讀@2@1,1103626@文學、電影與大陸當代戲劇@2@1,1104154@中國話劇選讀@2@1,1104761@音樂文創與文案書寫@2@1,1101934@書法基礎入門@1@1,1102051@水墨創作@1@1,1102523@現代小說@1@1,1102525@唐人小說選讀@1@1,1102615@史傳名著選讀@1@1,1102661@台灣現代主義小說選讀@1@1,1102823@老子@1@1,1103111@中國思想史（一）@1@1,1103311@聲韻學（一）@1@1,1103417@大戴禮記@1@1,1103628@華文戲劇選讀@1@1,1103705@詞選及習作@1@1,1103830@陰陽五行文獻選讀@1@1,1103833@宋明理學經典選讀：王陽明傳習錄@1@1,1103957@劇本寫作與搬演@1@1,1104153@台灣左翼戲劇@1@1,1104313@訓詁學@1@1,1101212@詩選及習作（二）@2@1,1101617@閩南俗曲@2@1,1101935@書道與視覺設計@2@1,1102043@篆刻藝術@2@1,1102161@論語：孔子全傳@2@1,1102510@曲選及習作@2@1,1102633@現代詩@2@1,1102653@歐美漢學史@2@1,1102917@當代戲劇文本與實驗劇場@2@1,1103112@中國思想史（二）@2@1,1103151@民俗學概論@2@1,1103204@金瓶梅@2@1,1103249@當代文學思潮@2@1,1103312@聲韻學（二）@2@1,1103752@專家詞：蘇東坡詞@2@1,1103910@應用文書寫作@2@1,1104148@紅樓夢@2@1,1104224@楚辭@2@1,1104511@台灣文學史@2@1,1104612@張愛玲小說選讀@2@1,1101211@詩選及習作（一）@1@1,1101618@臺灣民俗（一）@1@1,1101846@戲劇概論@1@1,1102052@水墨創作：山水@1@1,1102270@神話學@1@1,1102527@封神演義@1@1,1102636@現代詩與文化創意@1@1,1102720@詞選及習作@1@1,1103021@中國文學史（一）@1@1,1103260@魯迅文學作品選讀@1@1,1103271@日本漢學史@1@1,1103411@禮記（一）@1@1,1103826@周易@1@1,1103951@民俗文獻選讀@1@1,1104611@當代文化思潮@1@1,1101113@中國哲學概論@2@1,1101619@臺灣民俗（二）@2@1,1102125@經學史：當代詮釋@2@1,1102153@史記@2@1,1102661@台灣現代主義小說選讀@2@1,1102918@大陸現當代文學電影@2@1,1103022@中國文學史（二）@2@1,1103421@左傳@2@1,1103521@六朝志怪小說@2@1,1103815@現代成長小說選讀@2@1,1103913@書寫、影像與編輯@2@1,1104152@畢業製作與展演@2@1,1104218@東周列國志@2@1
402110001,88,NaN,97,63,60,72,90,NaN,NaN,NaN,74,84,NaN,87,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,72,NaN,NaN,69,84,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,82,76,NaN,NaN,NaN,79,53,67,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,76,76,74,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
402110004,91,NaN,NaN,78,78,96,NaN,NaN,84,NaN,82,91,NaN,92,70,90,NaN,NaN,NaN,92,NaN,NaN,86,NaN,NaN,NaN,82,68,85,NaN,89,91,75,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,77,NaN,NaN,80,NaN,76,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,92,NaN,93,NaN,NaN,72,77,NaN,86,82,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402110005,87,NaN,NaN,90,NaN,75,90,NaN,NaN,NaN,82,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402110008,86,NaN,NaN,85,89,87,NaN,86,NaN,NaN,91,NaN,NaN,87,77,90,94,NaN,NaN,85,NaN,NaN,92,NaN,NaN,NaN,88,82,NaN,NaN,86,NaN,83,88,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,79,NaN,NaN,81,NaN,77,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,73,87,NaN,89,92,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,93,89,NaN,95,NaN,82,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402110010,86,87,NaN,88,80,83,NaN,NaN,NaN,NaN,99,89,NaN,87,81,90,NaN,NaN,NaN,NaN,NaN,80,89,NaN,NaN,NaN,72,84,NaN,NaN,79,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,75,NaN,NaN,82,79,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,85,84,NaN,NaN,95,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,85,90,NaN,NaN,NaN,87,NaN,NaN,86,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402110011,82,NaN,NaN,79,78,83,90,NaN,NaN,NaN,82,NaN,94,NaN,64,NaN,NaN,NaN,83,NaN,NaN,NaN,90,86,NaN,NaN,65,73,NaN,NaN,80,78,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,70,NaN,NaN,86,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,76,NaN,NaN,82,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,90,NaN,76,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402110012,86,NaN,88,90,85,76,NaN,NaN,89,NaN,89,90,89,89,85,90,NaN,88,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,85,86,NaN,NaN,87,89,82,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,79,NaN,NaN,90,NaN,82,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,92,NaN,NaN,89,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,90,89,NaN,NaN,83,96,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402110014,85,NaN,NaN,84,78,79,NaN,83,NaN,NaN,68,87,88,84,72,90,75,NaN,NaN,70,NaN,NaN,88,NaN,NaN,NaN,75,64,77,60,74,81,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,77,NaN,NaN,83,NaN,70,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,86,76,84,93,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,86,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402110015,85,NaN,NaN,76,78,81,90,89,NaN,NaN,80,NaN,88,88,74,NaN,84,NaN,NaN,85,NaN,NaN,76,NaN,NaN,NaN,79,66,NaN,NaN,89,NaN,81,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,74,90,NaN,87,65,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,69,70,NaN,85,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,86,NaN,NaN,67,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402110016,80,NaN,70,76,82,82,NaN,80,NaN,NaN,69,87,74,70,67,90,84,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,85,70,NaN,NaN,82,NaN,76,NaN,81,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,86,63,NaN,NaN,60,NaN,74,70,NaN,87,80,NaN,NaN,NaN,NaN,86,96,NaN,NaN,NaN,60,74,NaN,85,71,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,76,NaN,NaN,82,NaN,74,82,88,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
