id,1101083@寫作指導@1@1,1101211@詩選及習作（一）@1@1,1101411@國學導讀（一）@1@1,1101613@民間文學@1@1,1101811@文學概論（一）@1@1,1101888@學系服務學習@1@1,1101934@書法基礎入門@1@1,1101951@茶道與文學@1@1,1102615@史傳名著選讀@1@1,1102661@台灣現代主義小說選讀@1@1,1102711@歷代文選及習作（一）@1@1,1103256@晚清文學選讀@1@1,1103830@陰陽五行文獻選讀@1@1,1101212@詩選及習作（二）@2@1,1101412@國學導讀（二）@2@1,1101520@現代散文@2@1,1101543@中國小說選@2@1,1101617@閩南俗曲@2@1,1101812@文學概論（二）@2@1,1101888@學系服務學習@2@1,1101935@書道與視覺設計@2@1,1102033@佛學概論@2@1,1102043@篆刻藝術@2@1,1102161@論語：孔子全傳@2@1,1102653@歐美漢學史@2@1,1103151@民俗學概論@2@1,1103255@西方現代文學理論@2@1,1103752@專家詞：蘇東坡詞@2@1,1103910@應用文書寫作@2@1,1101084@寫作指導：散文@1@1,1101618@臺灣民俗（一）@1@1,1102011@文字學（一）@1@1,1102052@水墨創作：山水@1@1,1102145@莊子@1@1,1102270@神話學@1@1,1102514@詩經@1@1,1102527@封神演義@1@1,1102636@現代詩與文化創意@1@1,1102720@詞選及習作@1@1,1103021@中國文學史（一）@1@1,1103111@中國思想史（一）@1@1,1103260@魯迅文學作品選讀@1@1,1103271@日本漢學史@1@1,1103311@聲韻學（一）@1@1,1103826@周易@1@1,1103951@民俗文獻選讀@1@1,1104611@當代文化思潮@1@1,1101085@寫作指導：小說@2@1,1101113@中國哲學概論@2@1,1101619@臺灣民俗（二）@2@1,1102012@文字學（二）@2@1,1102125@經學史：當代詮釋@2@1,1102153@史記@2@1,1102162@孟子：雄辯身影@2@1,1102510@曲選及習作@2@1,1102661@台灣現代主義小說選讀@2@1,1102712@歷代文選及習作（二）@2@1,1102918@大陸現當代文學電影@2@1,1103022@中國文學史（二）@2@1,1103112@中國思想史（二）@2@1,1103312@聲韻學（二）@2@1,1103421@左傳@2@1,1103815@現代成長小說選讀@2@1,1103834@法家與時代轉型@2@1,1104152@畢業製作與展演@2@1
404110001,88,86,70,79,70,88,NaN,NaN,NaN,NaN,88,NaN,NaN,86,84,88,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,86,NaN,85,NaN,83,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110002,90,85,84,78,81,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,87,93,NaN,88,83,76,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,76,NaN,87,NaN,NaN,91,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404110003,88,95,84,NaN,80,88,NaN,88,NaN,NaN,NaN,NaN,NaN,92,97,NaN,90,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110006,82,74,66,NaN,81,NaN,NaN,89,NaN,NaN,60,NaN,NaN,72,64,NaN,NaN,NaN,75,80,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,76,NaN,NaN,NaN,55,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,31,0,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
404110012,86,83,71,79,75,NaN,NaN,90,NaN,NaN,80,NaN,NaN,79,73,87,NaN,73,70,80,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,94,67,NaN,NaN,85,86,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110016,85,89,80,NaN,82,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,83,86,90,NaN,NaN,77,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110017,84,78,69,NaN,83,88,NaN,NaN,NaN,NaN,73,NaN,NaN,78,84,87,84,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,86,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110029,90,83,69,NaN,86,88,NaN,NaN,NaN,NaN,80,NaN,NaN,79,72,NaN,90,NaN,65,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,81,68,NaN,NaN,82,NaN,NaN,NaN,83,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110033,90,89,74,77,72,88,NaN,90,NaN,NaN,86,NaN,NaN,81,80,88,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,83,85,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404110040,80,88,82,NaN,74,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,80,88,NaN,NaN,NaN,76,80,NaN,NaN,90,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,88,83,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
