id,1151029@西班牙文（一）@1@1,1151030@西班牙文（二）@2@1,1151017@英文作文（一）@1@1,1151021@西洋文學概論（一）@1@1,1151027@日文（一）@1@1,1152103@西班牙文（三）@1@1,1152107@日文（三）@1@1,1153013@英國文學：文藝復興@1@1,1151018@英文作文（二）@2@1,1151022@西洋文學概論（二）@2@1,1152104@西班牙文(四)@2@1,1152108@日文 (四)@2@1,1153012@英國文學：十八世紀@2@1,1151023@法文（一）@1@1,1151031@英語聽講（一）@1@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1153015@英國文學：浪漫主義@1@1,1154222@媒體英文@1@1,1154223@旅遊英文@1@1,1151024@法文（二）@2@1,1151032@英語聽講（二）@2@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1153002@美國文學（二）@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154168@翻譯@2@1,1154258@大眾小說@2@1,1152077@英語聽講（三）@1@2,1152105@法文（三）@1@1,1153001@美國文學（一）@1@1,1154261@雙語數位出版實作@1@1,1152078@英語聽講（四）@2@2,1152106@法文(四)@2@1,1154255@後現代小說與電影@2@1,1154257@媒體、閱讀與旅行@2@1,1154263@專題：職涯發展英文@2@1
401335046,72,60,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335014,86,71,83,82,96,73,NaN,83,82,77,NaN,NaN,81,NaN,86,71,89,84,78,85,NaN,87,74,90,NaN,NaN,70,81,NaN,85,NaN,82,90,87,NaN,82,86,91
401335009,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335049,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335016,87,75,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,86,71,88,NaN,NaN,NaN,NaN,84,NaN,89,71,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335027,61,55,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335031,77,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335043,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,88,NaN,NaN,NaN
401335025,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335028,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
