id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151021@西洋文學概論（一）@1@1,1151021@西洋文學概論（一）@1@2,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151022@西洋文學概論（二）@2@1,1151022@西洋文學概論（二）@2@2,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151888@學系服務學習@2@1,1154224@小說選讀@2@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153011@英國文學：中世紀@1@1,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1154146@英語語法@1@1,1154241@奇幻文學與電影@1@1,1154267@愛爾蘭文學與電影@1@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1152108@日文 (四)@2@1,1153002@美國文學（二）@2@1,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154140@旅行與文學@2@1,1154187@高階閱讀@2@1,1154256@心理小說@2@1,1154268@西方戲劇及劇場學@2@1
404115002,90,NaN,NaN,88,NaN,NaN,NaN,NaN,85,95,NaN,NaN,NaN,91,NaN,NaN,NaN,95,NaN,NaN,NaN,84,93,NaN,NaN,98,NaN,89,NaN,NaN,93,NaN,97,NaN,NaN,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404115003,86,NaN,NaN,84,NaN,NaN,92,80,NaN,NaN,NaN,78,91,86,NaN,NaN,76,NaN,NaN,NaN,81,NaN,NaN,NaN,77,NaN,NaN,83,NaN,NaN,83,NaN,NaN,81,NaN,NaN,NaN,68,NaN,NaN,74,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404115004,89,NaN,NaN,83,NaN,77,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,76,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404115005,89,NaN,NaN,81,NaN,NaN,98,NaN,NaN,92,NaN,NaN,89,90,NaN,NaN,NaN,95,NaN,93,NaN,NaN,91,NaN,NaN,NaN,NaN,73,NaN,86,NaN,85,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404115006,89,NaN,NaN,76,NaN,91,99,NaN,NaN,NaN,85,NaN,NaN,91,NaN,NaN,74,NaN,95,99,NaN,NaN,NaN,86,NaN,98,NaN,75,NaN,NaN,90,NaN,NaN,84,95,NaN,97,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404115012,89,NaN,NaN,NaN,91,NaN,96,92,NaN,89,NaN,NaN,NaN,89,NaN,NaN,82,NaN,NaN,92,95,NaN,87,NaN,NaN,98,NaN,66,NaN,NaN,89,NaN,97,NaN,88,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404115014,88,NaN,NaN,82,NaN,NaN,84,63,NaN,92,NaN,NaN,NaN,89,NaN,NaN,NaN,93,NaN,86,NaN,NaN,92,NaN,NaN,98,NaN,73,NaN,82,NaN,86,NaN,NaN,87,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404115015,86,NaN,NaN,81,NaN,NaN,92,NaN,NaN,NaN,NaN,86,90,83,NaN,NaN,78,NaN,NaN,90,NaN,NaN,NaN,NaN,83,NaN,NaN,68,NaN,NaN,79,NaN,NaN,92,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404115017,84,NaN,NaN,NaN,88,NaN,NaN,73,79,NaN,NaN,83,90,87,NaN,NaN,80,NaN,NaN,NaN,NaN,75,NaN,NaN,84,NaN,NaN,73,NaN,NaN,88,94,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404115021,85,NaN,NaN,60,NaN,NaN,86,75,NaN,NaN,NaN,77,85,85,NaN,NaN,70,NaN,NaN,85,-1,NaN,NaN,NaN,73,NaN,NaN,60,NaN,NaN,69,NaN,80,NaN,80,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
