id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1203419@文藝復興史@1@1,1203551@英國史（一）@1@1,1203629@北亞草原民族歷史與文化@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202352@中國上古史（二）@2@1,1202599@內陸亞細亞史@2@1,1203359@明史@2@1,1203921@中國中古史專題討論（一）@2@1,1203959@歐洲統合史@2@1,1203969@西域文明與敦煌文化@2@1,1204612@中國藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1,1202151@世界現代史（一）@1@1,1202231@台灣史（一）@1@1,1202311@魏晉南北朝史（一）@1@1,1202331@中國現代史（一）@1@1,1202411@世界中古史（一）@1@1,1202521@戰後台灣史（一）@1@1,1202691@藏族史（一）@1@1,1202699@中國經濟史@1@1,1202821@日文（一）@1@1,1203161@史學方法（一）@1@1,1203341@隋唐史（一）@1@1,1203421@世界近世文明史（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203981@戰爭與記憶（一）@1@1,1204681@台灣藝術史（一）@1@1,1204949@《資治通鑑》選讀@1@1,1202152@世界現代史（二）@2@1,1202232@台灣史（二）@2@1,1202312@魏晉南北朝史（二）@2@1,1202332@中國現代史（二）@2@1,1202412@世界中古史（二）@2@1,1202522@戰後台灣史（二）@2@1,1203162@史學方法（二）@2@1,1203342@隋唐史（二）@2@1,1203379@春秋戰國史@2@1,1203422@世界近世文明史（二）@2@1,1203564@德國文化史（二）@2@1,1203852@滿文閱讀入門（二）@2@1,1204439@世界上古史：古埃及卷@2@1,1204842@中國歷史地理（二）@2@1,1202141@中國近代史（一）@1@1,1202341@宋史（一）@1@1,1202449@美國現代文化史@1@1,1203351@明史（一）@1@1,1203439@古代希臘史@1@1,1203563@德國文化史（一）@1@1,1203691@明清文化史（一）@1@1,1203711@中國史學史（一）@1@1,1203721@西洋史學史（一）@1@1,1204611@中國藝術史（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202329@清史@2@1,1202342@宋史（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1204682@台灣藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204959@博物館學@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202329@清史@1@1,1202583@俄國史(一)@1@1,1202822@日文（二）@1@1,1203312@遼夏金史（二）@1@1,1203639@世界古代法律與社會@1@1,1204929@近代中國城市文化的變遷@1@1,1204979@藝術創作技法@1@1,1202584@俄國史(二)@2@1,1202823@日文（三）@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1204631@中國共產黨史（一）@1@1,1203809@三國史事與人物@2@1,1202901@古希臘文（一）@1@1,1203509@古代地中海史@1@1
400120002,73,73,90,NaN,NaN,NaN,86,NaN,74,71,84,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,73,89,62,58,NaN,NaN,NaN,NaN,76,84,85,83,NaN,NaN,NaN,70,72,90,78,NaN,NaN,88,NaN,NaN,NaN,83,NaN,30,NaN,NaN,NaN,69,NaN,NaN,78,NaN,75,85,69,NaN,NaN,NaN,NaN,NaN,NaN,80,77,80,72,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120003,80,71,78,85,NaN,NaN,88,NaN,75,75,72,NaN,NaN,70,65,NaN,84,90,NaN,NaN,65,78,88,81,62,77,NaN,NaN,NaN,75,NaN,84,82,NaN,87,NaN,65,75,84,85,NaN,68,80,NaN,NaN,NaN,NaN,NaN,68,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,60,71,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,86,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120005,60,70,66,85,NaN,80,78,NaN,70,71,68,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,74,70,81,74,NaN,NaN,NaN,NaN,NaN,69,80,87,NaN,26,NaN,NaN,65,64,80,77,90,NaN,76,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,87,NaN,66,67,76,94,NaN,NaN,76,NaN,NaN,80,NaN,85,65,NaN,89,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120006,89,88,82,NaN,NaN,NaN,93,86,83,86,75,85,NaN,89,68,NaN,NaN,88,NaN,NaN,96,90,91,88,79,87,NaN,NaN,NaN,83,87,94,NaN,95,NaN,NaN,89,91,NaN,92,NaN,81,78,90,NaN,NaN,NaN,NaN,93,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,81,70,NaN,NaN,NaN,88,88,77,NaN,NaN,NaN,86,84,NaN,NaN,NaN,80,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,90,70,NaN,NaN,NaN,NaN,NaN
400120007,60,73,87,85,NaN,NaN,88,84,74,70,73,NaN,NaN,NaN,73,NaN,63,92,NaN,NaN,84,74,82,87,73,72,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,66,72,91,84,71,72,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,70,NaN,NaN,NaN,NaN,76,68,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,78,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120008,87,64,85,NaN,NaN,NaN,86,87,71,80,76,85,NaN,NaN,NaN,NaN,81,84,NaN,NaN,89,72,86,70,77,NaN,NaN,NaN,NaN,73,77,92,NaN,NaN,NaN,NaN,74,90,91,86,79,NaN,74,84,NaN,NaN,89,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,94,80,71,75,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,75,78,66,NaN,NaN,NaN,NaN,NaN,70,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120009,70,66,62,85,NaN,NaN,77,NaN,60,68,60,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,60,70,76,70,NaN,NaN,0,NaN,NaN,63,NaN,53,NaN,NaN,NaN,NaN,60,38,77,75,NaN,NaN,9,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,76,NaN,NaN,0,60,0,60,NaN,NaN,60,NaN,NaN,70,71,78,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,63,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,72,0,6,0,26
400120010,67,67,88,NaN,NaN,NaN,NaN,83,72,55,90,85,NaN,NaN,80,NaN,76,NaN,62,NaN,60,74,87,67,60,66,NaN,NaN,NaN,74,NaN,60,NaN,NaN,NaN,NaN,60,71,90,74,NaN,69,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,60,60,NaN,NaN,NaN,62,NaN,NaN,60,83,79,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120011,80,85,84,85,NaN,NaN,94,91,83,82,84,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,89,95,88,83,70,NaN,NaN,NaN,NaN,85,NaN,92,NaN,NaN,NaN,NaN,85,75,91,94,NaN,82,91,84,NaN,NaN,NaN,NaN,91,NaN,73,NaN,NaN,NaN,NaN,91,NaN,77,79,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,83,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120012,67,71,86,NaN,NaN,NaN,88,NaN,75,81,76,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,80,67,87,84,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,68,80,89,89,80,85,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,69,NaN,NaN,88,NaN,66,70,NaN,87,NaN,NaN,NaN,NaN,NaN,80,72,90,75,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
