id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1202151@世界現代史（一）@1@1,1203439@古代希臘史@1@1,1203531@日本史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1202232@台灣史（二）@2@1,1203449@古代羅馬史@2@1,1203552@英國史（二）@2@1,1201161@史學入門（一）@1@1,1202331@中國現代史（一）@1@1,1203161@史學方法（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203711@中國史學史（一）@1@1,1203809@三國史事與人物@1@1,1202332@中國現代史（二）@2@1,1202531@美洲史(一)@2@1,1203162@史學方法（二）@2@1,1203431@世界上古史（一）@2@1,1203514@臺灣近代史(二)@2@1,1203712@中國史學史（二）@2@1,1204682@台灣藝術史（二）@2@1
404125016,75,NaN,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125004,72,83,NaN,NaN,NaN,-1,91,-1,NaN,NaN,NaN,85,81,73,85,NaN,75,NaN,-1,NaN,-1,-1,NaN,-1,NaN
404125026,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,6,NaN,75,NaN,NaN,NaN,61,NaN,NaN,55,-1,-1,NaN,NaN,-1,NaN,NaN
404125038,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125021,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125007,NaN,60,NaN,NaN,NaN,22,NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404125045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125023,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125028,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125037,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125057,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
