id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202331@中國現代史（一）@1@1,1202901@古希臘文（一）@1@1,1203371@秦漢史（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1204611@中國藝術史（一）@1@1,1204691@西洋藝術史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202332@中國現代史（二）@2@1,1202531@美洲史(一)@2@1,1202821@日文（一）@2@1,1202823@日文（三）@2@1,1203352@明史(二)@2@1,1203372@秦漢史（二）@2@1,1203431@世界上古史（一）@2@1,1204612@中國藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1
405120001,82,82,89,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120002,66,77,81,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405120003,95,92,95,85,NaN,90,NaN,NaN,95,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
405120004,84,87,95,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120005,69,75,84,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120006,92,95,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405120007,79,84,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
405120008,62,60,82,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405120009,91,86,94,85,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120010,88,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
405120011,94,88,93,85,87,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
405120012,62,73,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120013,92,90,88,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120014,93,81,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120015,75,91,90,100,NaN,NaN,93,NaN,NaN,NaN,90,NaN,85,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
405120016,91,85,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
405120017,96,86,92,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
405120018,76,88,81,NaN,NaN,NaN,NaN,NaN,83,94,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120019,71,69,95,85,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
