id,1205229@歷史名著選讀@1@1,1205291@清代社會史專題研究（一）@1@1,1207049@漢畫專題研究@1@1,1209231@中國現代史專題研究（一）@1@1,1209389@台灣藝術史專題研究@1@1,1209879@中共當代史觀專題研究1949-2008年@1@1,1209979@戰後台灣史專題研究@1@1,1205239@歷史研究導論@2@1,1208009@清代社會生活專題研究@2@1,1208029@戰後台灣社會史專題研究@2@1,1208139@中國中古政治史專題@2@1,1209009@亞洲都會史與文化研究@2@1,1209232@中國現代史專題研究（二）@2@1,1209999@隋唐史料專題研究@2@1,1205049@近代中國史料專題研究@1@1,1205209@清代檔案文獻研究@1@1,1205239@歷史研究導論@1@1,1208039@五胡治華專題研究@1@1,1208309@明代經濟史專題研究@1@1,1209519@國共關係史專題研究@1@1,1209549@人權史專題@1@1,1209651@台灣宗教史專題（一）@1@1,1209899@楚簡研究與儒家經典之形成@1@1,1205219@中國近代史專題研究@2@1,1207019@清代傳記史料選讀@2@1,1208059@中國中古社會史專題@2@1,1208069@石器時代史料辨識與復原研究@2@1,1209652@台灣宗教史專題（二）@2@1,1209809@中國近代軍事史專題研究@2@1,1209939@中國中古遊牧民族專題@2@1,1209029@台灣經濟史論著選讀@1@1,1209699@比較歷史專題研究@1@1,1209849@中國歷史政治地理@1@1,1209169@中國史學名著研究（史記）@2@1
603120001,85,NaN,NaN,88,NaN,NaN,92,84,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,85,85,NaN,NaN,83,NaN,NaN,NaN,90,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN
603120002,85,88,NaN,88,NaN,NaN,NaN,86,NaN,NaN,94,NaN,NaN,92,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,85,-1
603120005,83,NaN,NaN,89,90,NaN,NaN,80,NaN,91,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,84,83,NaN,85,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
603120008,81,NaN,NaN,88,NaN,92,NaN,86,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,88,93,NaN,NaN,89,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
603120009,81,85,NaN,88,NaN,NaN,NaN,86,NaN,NaN,95,NaN,88,NaN,90,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603120011,90,86,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,82,NaN
603120012,78,80,NaN,85,NaN,NaN,NaN,85,NaN,70,NaN,80,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603120013,86,90,88,NaN,NaN,NaN,NaN,86,85,NaN,96,NaN,NaN,NaN,NaN,92,NaN,NaN,85,NaN,NaN,NaN,NaN,90,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603120014,82,NaN,NaN,NaN,90,NaN,93,80,NaN,NaN,91,NaN,88,NaN,90,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603120015,79,NaN,NaN,90,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,70,NaN,NaN,NaN,NaN,89,NaN,86,84,NaN,NaN
