id,1205049@近代中國史料專題研究@1@1,1205229@歷史名著選讀@1@1,1205291@清代社會史專題研究（一）@1@1,1205309@歷史、小說與影像@1@1,1207012@英文清史名著選讀（二）：新清史@1@1,1209029@台灣經濟史論著選讀@1@1,1209519@國共關係史專題研究@1@1,1209549@人權史專題@1@1,1209651@台灣宗教史專題（一）@1@1,1209699@比較歷史專題研究@1@1,1209839@近百年中國歷史地理學發展@1@1,1209841@宋人傳記專題討論（一）@1@1,1205219@中國近代史專題研究@2@1,1205239@歷史研究導論@2@1,1205249@西洋史學史專題研究@2@1,1205292@清代社會史專題研究（二）@2@1,1207013@英文清史名著選讀（三）：新清史@2@1,1208039@五胡治華專題研究@2@1,1208059@中國中古社會史專題@2@1,1208309@明代經濟史專題研究@2@1,1209809@中國近代軍事史專題研究@2@1,1209842@宋人傳記專題討論（二）@2@1,1209861@現代性－史學、藝術與文化批評理論（一）@2@1,1205079@北朝史料研究@1@1,1205161@宋代社會專題討論（一）@1@1,1205181@滿文檔案文獻選讀（一）@1@1,1207014@英文清史名著選讀：新清史（四）@1@1,1208849@英國史專題研究@1@1,1208919@中國近代社會史專題研究@1@1,1208969@中國歷史地理要籍研究@1@1,1209231@中國現代史專題研究（一）@1@1,1209299@中國藝術史專題研究@1@1,1209652@台灣宗教史專題（二）@1@1,1209862@現代性—史學、藝術與文化批評理論（二）@1@1,1209879@中共當代史觀專題研究1949-2008年@1@1,1205162@宋代社會專題討論（二）@2@1,1205182@滿文檔案文獻選讀（二）@2@1,1205259@石刻史料專題研究@2@1,1207039@明史論著選讀@2@1,1208139@中國中古政治史專題@2@1,1209232@中國現代史專題研究（二）@2@1,1209719@近代慈善事業專題研究@2@1,1209869@英文清史名著選讀－大清帝國：地體、地圖學、領域性與族群認同@2@1,1209889@中國中古時期國家安全與戰爭專題研究@2@1,1209899@楚簡研究與儒家經典之形成@2@1,1205289@清代地域社會專題研究@1@1,1209729@滿文史料研究@1@1,1209909@歷史與記憶專題研究@1@1,1208213@中國經濟史論著選讀@2@1,1209722@滿文史料研究（二）@2@1,1209779@滿文檔案文獻專題研究：《無圈點字檔》@1@1,1209771@《無圈點字檔》研究(一)@2@1
600120001,90,90,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,90,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
600120003,90,91,NaN,NaN,86,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600120004,89,89,88,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,92,89,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600120008,91,86,86,NaN,NaN,0,NaN,NaN,88,NaN,NaN,NaN,86,85,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
600120010,94,88,84,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,93,89,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600120012,82,88,NaN,NaN,NaN,75,NaN,NaN,84,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,78,87,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600120014,83,86,NaN,NaN,NaN,80,NaN,83,NaN,NaN,NaN,NaN,NaN,86,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600120016,97,88,NaN,88,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,92,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600120005,NaN,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,86,NaN,86,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,91,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600120007,NaN,82,81,NaN,NaN,90,80,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN
