id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252610@應用倫理學@1@1,1253203@懷疑論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1253926@柏克萊@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@2,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1254107@自由意志與相關議題@1@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@2,1252306@語言哲學@2@1,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254503@生物哲學概論@2@1
403125001,64,68,85,58,70,NaN,NaN,85,NaN,21,NaN,NaN,89,74,60,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,62,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,-1,NaN,NaN,NaN,63,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
403125002,78,89,NaN,72,80,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,75,61,95,70,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,77,97,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,68,72,94,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403125003,97,90,85,99,93,NaN,NaN,88,NaN,NaN,94,NaN,NaN,97,90,NaN,97,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,100,92,90,84,98,NaN,NaN,93,NaN,NaN,NaN,NaN,98,NaN,94,NaN,90,NaN,NaN,83,97,NaN,91,NaN,NaN,NaN,92,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403125004,78,92,NaN,82,82,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,76,60,95,72,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,100,72,83,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,84,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403125005,84,93,95,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,86,91,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403125006,91,70,NaN,83,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,78,71,90,71,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,66,69,70,NaN,51,50,50,NaN,40,NaN,NaN,NaN,84,NaN,NaN,34,-1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1
403125007,78,93,85,86,91,NaN,NaN,84,NaN,NaN,90,NaN,NaN,85,79,NaN,76,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,99,NaN,79,70,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,77,NaN,87,NaN,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403125008,73,83,NaN,81,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,88,83,90,83,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,93,82,NaN,NaN,85,NaN,76,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,96,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125009,92,90,95,86,92,NaN,NaN,97,NaN,NaN,91,NaN,NaN,90,87,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,97,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,95,90,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
403125010,95,98,NaN,99,NaN,NaN,NaN,94,NaN,93,NaN,NaN,NaN,95,89,90,98,NaN,86,91,NaN,NaN,NaN,NaN,NaN,NaN,100,91,97,NaN,98,90,NaN,90,NaN,NaN,NaN,NaN,99,85,NaN,100,-1,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,95,85,NaN,85,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
