id,1251011@哲學概論（一）@1@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252306@語言哲學@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1253950@中國哲學概論@1@1,1254315@情感@1@1,1254707@價值論@1@1,1251012@哲學概論（二）@2@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252010@哲學寫作@2@1,1252701@政治哲學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254113@當代分析哲學重要議題選讀@2@1
405125002,95,NaN,91,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125003,84,NaN,73,82,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405125009,85,NaN,86,94,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405125015,99,NaN,95,95,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405125016,84,NaN,86,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125017,90,NaN,82,93,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405125019,94,NaN,74,95,82,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
405125020,66,NaN,40,NaN,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125021,90,NaN,95,92,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405125022,90,NaN,83,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125023,93,NaN,84,93,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1
405125024,50,NaN,42,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125025,75,NaN,60,93,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
