id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251902@黑格爾@1@1,1251951@中國哲學概論@1@1,1252100@形上學@1@1,1252200@知識論@1@1,1252306@語言哲學@1@1,1252600@倫理學@1@1,1252701@政治哲學@1@1,1253925@柏克萊@1@1,1254303@知覺@1@1,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1252305@心靈哲學@2@1,1252500@科學哲學@2@1,1252610@應用倫理學@2@1,1252909@羅素@2@1,1252932@海德格@2@1,1253609@後設倫理學@2@1,1253709@全球正義理論@2@1,1254012@批判思考與論證@2@1,1254401@模態邏輯@2@1,1252517@科學推理@1@1,1252907@羅爾斯@1@1,1253919@洛克@1@1,1254406@悖論@1@1,1251903@休謨@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252801@法律哲學@2@1,1252906@亞里斯多德@2@1,1252927@蒯因@2@1,1253104@二十世紀初期分析哲學@2@1,1253500@科學哲學@2@1,1254611@德性倫理學@2@1,1252608@美學概論@1@1,1252914@佛列格哲學@1@1,1253609@後設倫理學@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1254606@情感哲學@1@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1252608@美學概論@2@1,1252941@實踐理性：休謨與康德@2@1,1253514@科技與社會@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1251911@哲學史（一）@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1251407@基礎邏輯（下）@2@2,1252707@女性主義@2@1,1253618@道德推理@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252305@心靈哲學@1@1,1253618@道德推理@1@1,1254702@自由主義@1@1,1251904@馬克思@1@1,1252611@德性倫理學@1@1,1251912@哲學史（二）@2@1,1252600@倫理學@2@1,1252651@金融倫理學@2@1,1252701@政治哲學@2@1,1252929@霍布斯@2@1,1252958@宋明儒學@2@1,1253920@盧梭@2@1,1254501@科學哲學@2@1,1252801@法律哲學@1@1,1252906@亞里斯多德@1@1,1252910@笛卡爾@1@1,1252950@中國哲學概論@1@1,1252952@先秦儒家@1@1,1254335@數位哲學@1@1,1252959@魏晉玄學@2@1,1253002@宗教哲學@2@1,1253700@正義理論@2@1,1253918@奧古斯丁@2@1,1253919@洛克@2@1,1254603@演化與倫理@2@1,1251952@中國哲學概論@1@1,1252928@史賓諾沙@1@1,1253518@科學推理@1@1,1253706@權利與人權@1@1,1253956@明代心學@1@1,1254346@數位倫理學@1@1,1253916@柏拉圖對話錄@2@1,1254712@多元文化主義@2@1
497125004,91,65,NaN,NaN,93,96,65,82,NaN,98,NaN,NaN,62,75,NaN,64,79,82,76,NaN,NaN,NaN,NaN,NaN,NaN,79,80,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,86,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,60,NaN,83,NaN,NaN,65
497125018,61,60,NaN,60,67,60,5,70,NaN,0,NaN,NaN,80,23,34,60,78,45,60,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,74
497125035,68,33,NaN,73,81,82,66,85,90,NaN,NaN,NaN,72,69,70,50,76,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,69,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,80,85
497125047,70,54,NaN,47,74,48,71,50,60,43,NaN,NaN,62,60,62,40,67,41,60,NaN,NaN,NaN,NaN,NaN,60,50,NaN,NaN,NaN,NaN,NaN,68,78,NaN,NaN,NaN,20,84,NaN,68,65,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,81,55,61,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN,NaN,83,88,NaN
497125022,65,96,90,NaN,92,91,93,92,86,NaN,87,NaN,86,87,NaN,80,89,78,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,95,NaN,95,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91
497125030,66,65,50,77,60,69,17,50,65,NaN,NaN,NaN,50,84,70,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,60,19,50,NaN,NaN,NaN,22,NaN,NaN,NaN,65,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,78,NaN,NaN,NaN,50,NaN,NaN,NaN,70,NaN,NaN,87,42,31,NaN,69,66,NaN,NaN,54,NaN,40,NaN,78,NaN,NaN
497125046,79,78,95,81,84,90,90,88,95,100,96,NaN,85,83,87,89,85,NaN,NaN,91,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,80,NaN,87,NaN,NaN,NaN,NaN,85,NaN,85,85,NaN,98,95,NaN,NaN,82,85,99,NaN,93,99
497125048,79,76,50,72,68,68,NaN,60,85,48,0,NaN,60,65,67,70,80,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,70,70,NaN,NaN,80,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,62,NaN,NaN,69,NaN,NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,85,NaN,NaN,NaN
497125051,60,60,50,62,62,64,1,40,60,NaN,NaN,NaN,66,31,0,0,60,0,NaN,NaN,NaN,46,NaN,NaN,50,0,NaN,NaN,NaN,50,50,NaN,NaN,NaN,67,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,85,75,90,24,30,50,48,50,0,83,60,0,50,50,30,65,50,50,79,NaN,60,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,76,NaN,NaN,33,NaN,0,29,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,60,NaN,85,63
497125052,86,86,75,81,82,69,NaN,88,91,79,NaN,NaN,85,84,87,90,81,NaN,90,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,91,NaN
