id,1305005@形式語意學@2@1,1306558@心理語言學@2@1,1306570@南島語語言學@2@1,1308559@當代語言學議題討論@2@1,1305002@音韻學@1@1,1305003@語法學@1@1,1305569@語用學@1@1,1305571@言談分析@1@1,1307001@認知語言學@1@1,1307553@音韻習得專題討論（一）@1@1,1308559@當代語言學議題討論@1@1,1305542@語言學與統計@2@1,1305564@華語與英語語音學@2@1,1305568@構詞學@2@1,1306556@計算語言學@2@1,1307023@台灣手語語意學@2@1,1307042@語言習得、發展與衰退@2@1,1307550@高級音韻學專題討論@2@1,1307650@高級語法學@2@1,1308552@研究與寫作@2@1,1305005@形式語意學@1@1,1305559@閩南語的語音與音韻@1@1,1306558@心理語言學@1@1,1307011@台灣手語之語意與句法@1@1,1307027@語言與老化專題討論：理解與產出@1@1,1307033@隱喻導論@1@1,1307034@應用語言學@1@1,1307660@比較句法學@1@1,1307666@高級語意學專題討論@1@1,1305566@語法學（二）@2@1,1306569@Python與自然語言處理@2@1,1307002@語言與認知@2@1,1307005@手語研究：音韻與構詞@2@1,1307028@認知腦神經與語言學習@2@1,1305570@社會語言學@1@1,1306580@Python 與自然語言處理(二)@1@1,1307036@華語教學研究方法@1@1,1307667@漢語結構@1@1,1307668@漢語語意學@1@1,1306574@南島語結構與語言教學@2@1,1307669@華語第二語言習得研究@2@1
602130002,96,87,93,90,87,89,NaN,90,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,91,NaN,NaN,NaN,NaN,NaN,NaN,89,89,90,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130003,NaN,NaN,NaN,87,86,84,NaN,NaN,NaN,84,89,NaN,89,NaN,NaN,85,79,85,NaN,90,NaN,NaN,NaN,88,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130004,NaN,NaN,NaN,90,85,86,89,NaN,NaN,NaN,92,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,88,90,NaN,NaN,85,NaN,96,NaN
602130005,NaN,NaN,NaN,NaN,83,79,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130007,NaN,NaN,NaN,85,87,82,NaN,NaN,NaN,NaN,86,NaN,88,83,NaN,NaN,78,NaN,NaN,88,71,84,85,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130008,NaN,NaN,NaN,87,89,91,NaN,NaN,88,NaN,88,88,NaN,90,95,NaN,83,NaN,NaN,89,88,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
602130013,NaN,NaN,NaN,84,80,70,79,NaN,NaN,NaN,85,NaN,82,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130014,NaN,NaN,NaN,81,85,90,NaN,84,NaN,NaN,85,NaN,89,NaN,NaN,NaN,71,85,NaN,85,89,80,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130015,NaN,NaN,NaN,90,85,79,NaN,NaN,NaN,NaN,88,NaN,87,NaN,86,NaN,78,NaN,NaN,87,75,NaN,NaN,NaN,NaN,86,87,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130016,NaN,NaN,NaN,87,84,82,86,NaN,NaN,NaN,89,91,90,NaN,NaN,84,80,NaN,NaN,86,NaN,NaN,NaN,87,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130018,NaN,NaN,NaN,85,86,87,NaN,NaN,88,NaN,89,91,84,NaN,NaN,NaN,84,NaN,NaN,85,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130019,NaN,NaN,NaN,83,81,85,NaN,NaN,82,NaN,88,76,NaN,80,NaN,NaN,72,NaN,NaN,88,NaN,NaN,NaN,NaN,86,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602130020,NaN,NaN,NaN,87,82,83,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,83,76,NaN,NaN,NaN,89,89,83,NaN,86
