id,2101001@微積分（一）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@9,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2101001@微積分（一）@1@4,2102001@高等微積分（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103521@數值線性代數導論@1@1,2104553@線性規劃導論@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@4,2102001@高等微積分（一）@2@1,2102002@高等微積分（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103521@數值線性代數導論@2@1,2103522@微分方程數值方法@2@1,2103711@統計方法@2@1,2104402@近代數學專題（二）@2@1,2101001@微積分（一）@1@9,2102002@高等微積分（二）@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103401@近世代數（一）@1@1,2104201@偏微分方程導論@1@1,2103001@點集拓樸@2@1,2103404@離散數學@2@1,2103701@統計科學@2@1,2104401@近代數學專題（一）@2@1,2101002@微積分（二）@1@1,2101017@基礎生物數學@1@1,2103711@統計方法@1@1,2104701@統計推論@1@1,2103301@幾何學@2@1,2103302@幾何學(二)@2@1,2103402@近世代數（二）@2@1
402210001,83,88,93,83,NaN,98,100,NaN,NaN,80,98,91,81,80,95,NaN,NaN,NaN,80,96,98,92,NaN,NaN,NaN,-1,NaN,NaN,98,95,NaN,95,-1,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210003,61,73,84,88,NaN,73,60,NaN,NaN,62,75,89,68,82,64,NaN,NaN,NaN,-1,80,60,78,NaN,NaN,NaN,NaN,NaN,NaN,66,90,NaN,NaN,NaN,NaN,-1,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210004,88,88,NaN,88,NaN,63,64,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210005,79,72,87,81,NaN,60,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210006,94,75,NaN,93,NaN,83,94,98,NaN,70,91,89,73,89,79,NaN,NaN,NaN,60,97,75,86,NaN,NaN,88,-1,NaN,NaN,78,87,81,95,NaN,NaN,97,84,NaN,NaN,NaN,96,NaN,NaN,NaN
402210007,74,74,79,84,NaN,73,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210008,67,74,NaN,67,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210009,61,68,96,74,NaN,60,60,NaN,NaN,62,62,80,66,64,67,NaN,NaN,NaN,60,86,81,81,NaN,NaN,68,NaN,NaN,NaN,75,65,NaN,91,NaN,NaN,86,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN
402210010,73,64,NaN,67,NaN,-1,65,92,NaN,62,62,82,83,73,69,NaN,NaN,NaN,60,97,72,90,NaN,NaN,81,NaN,NaN,NaN,68,68,NaN,NaN,NaN,84,86,80,NaN,NaN,NaN,82,NaN,NaN,NaN
402210011,94,60,88,60,NaN,80,73,NaN,NaN,63,62,67,62,85,83,NaN,NaN,NaN,56,90,65,85,NaN,NaN,NaN,NaN,NaN,62,NaN,67,79,75,NaN,78,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
