id,2101001@微積分（一）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101002@微積分（二）@2@1,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2102201@微分方程（一）@2@1,2101002@微積分（二）@1@1,2102001@高等微積分（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103521@數值線性代數導論@1@1,2104553@線性規劃導論@1@1,2102002@高等微積分（二）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103404@離散數學@2@1,2103522@微分方程數值方法@2@1,2103701@統計科學@2@1,2103711@統計方法@2@1,2104401@近代數學專題（一）@2@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103401@近世代數（一）@1@1,2103711@統計方法@1@1,2104701@統計推論@1@1,2103001@點集拓樸@2@1,2103301@幾何學@2@1,2103302@幾何學(二)@2@1,2103402@近世代數（二）@2@1,2104402@近代數學專題（二）@2@1
403210001,97,63,73,83,60,60,NaN,80,NaN,38,60,80,45,NaN,60,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403210002,85,65,NaN,95,100,93,90,95,NaN,70,100,100,85,88,96,-1,100,100,NaN,NaN,NaN,60,88,NaN,73,93,NaN,NaN,-1,NaN,NaN,-1,-1
403210003,60,63,84,63,69,62,NaN,71,NaN,60,69,100,65,61,74,-1,-1,-1,72,NaN,NaN,NaN,NaN,37,61,78,NaN,NaN,-1,NaN,-1,NaN,NaN
403210004,90,62,NaN,69,75,60,83,63,NaN,62,83,86,60,60,NaN,-1,80,60,NaN,-1,-1,NaN,NaN,40,61,92,NaN,NaN,-1,NaN,-1,-1,NaN
403210005,89,75,89,97,79,68,NaN,92,NaN,66,66,63,72,87,77,-1,74,79,NaN,NaN,-1,NaN,NaN,NaN,73,NaN,78,NaN,-1,NaN,NaN,-1,-1
403210006,66,60,NaN,61,-1,62,83,62,NaN,NaN,26,60,44,NaN,66,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210007,88,77,90,84,62,65,NaN,93,NaN,96,80,100,92,100,92,-1,100,100,NaN,NaN,-1,95,87,NaN,92,NaN,NaN,NaN,-1,NaN,NaN,-1,-1
403210008,60,61,NaN,27,49,65,81,NaN,NaN,NaN,20,34,20,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210010,96,85,NaN,97,77,73,84,98,NaN,85,77,100,89,92,83,-1,73,95,NaN,-1,87,NaN,NaN,NaN,75,NaN,NaN,75,-1,NaN,NaN,-1,-1
403210013,97,86,90,94,94,80,NaN,98,NaN,87,100,100,90,80,78,-1,100,100,NaN,NaN,NaN,NaN,90,NaN,85,98,NaN,NaN,-1,NaN,NaN,-1,-1
403210014,78,64,NaN,73,60,64,83,-1,NaN,50,67,70,72,38,81,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
403210015,90,71,87,94,62,66,NaN,95,NaN,40,62,100,69,63,84,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,61,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403210016,66,55,NaN,65,NaN,53,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210018,74,77,NaN,71,60,60,91,74,NaN,60,64,100,69,39,77,-1,68,92,NaN,NaN,NaN,NaN,NaN,52,82,81,NaN,NaN,-1,NaN,-1,-1,-1
403210019,99,97,91,99,95,98,NaN,100,NaN,78,99,100,95,99,97,72,100,100,NaN,NaN,94,91,NaN,NaN,99,92,NaN,NaN,-1,NaN,NaN,-1,-1
403210020,61,60,NaN,39,44,NaN,81,NaN,NaN,NaN,16,36,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210021,81,78,89,90,62,91,NaN,72,NaN,60,77,100,72,75,80,-1,79,65,NaN,NaN,-1,NaN,65,47,78,78,80,NaN,-1,NaN,NaN,NaN,NaN
403210022,63,67,NaN,22,-1,-1,NaN,-1,78,25,60,70,68,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403210023,85,62,82,80,-1,63,NaN,81,NaN,60,79,86,69,74,79,-1,-1,-1,69,NaN,65,60,NaN,NaN,65,NaN,NaN,62,-1,NaN,-1,NaN,NaN
403210024,95,72,NaN,94,86,71,84,98,NaN,86,81,93,90,97,74,-1,88,89,NaN,NaN,72,71,81,NaN,85,NaN,NaN,63,-1,NaN,NaN,-1,NaN
403210026,66,66,NaN,64,-1,60,78,66,NaN,NaN,60,75,78,55,64,NaN,-1,-1,NaN,NaN,NaN,NaN,68,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210027,73,71,86,68,74,-1,NaN,69,NaN,60,73,76,67,60,77,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,54,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403210029,74,71,86,69,60,64,NaN,65,NaN,47,72,86,38,63,63,-1,-1,-1,70,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
403210030,70,75,NaN,87,79,60,85,81,NaN,60,73,60,79,81,75,NaN,71,69,NaN,NaN,NaN,NaN,72,53,60,84,60,NaN,-1,NaN,NaN,NaN,-1
403210032,86,60,NaN,81,63,75,75,83,NaN,60,60,71,74,72,63,-1,60,63,NaN,NaN,NaN,NaN,65,33,37,NaN,NaN,NaN,NaN,NaN,-1,-1,-1
403210033,70,29,86,60,60,30,NaN,-1,NaN,NaN,60,76,29,NaN,NaN,NaN,-1,-1,60,NaN,NaN,NaN,66,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403210034,60,31,NaN,60,60,-1,72,-1,NaN,50,67,87,42,NaN,NaN,NaN,-1,-1,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403210035,86,60,91,90,52,64,NaN,75,NaN,60,63,100,74,60,NaN,-1,-1,-1,79,NaN,NaN,NaN,NaN,NaN,72,87,NaN,NaN,-1,NaN,-1,NaN,NaN
403210036,69,40,NaN,62,-1,48,87,70,NaN,40,15,40,77,70,NaN,-1,NaN,NaN,70,-1,-1,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403210037,75,61,83,73,-1,63,NaN,62,NaN,47,78,94,61,75,81,67,67,65,NaN,NaN,-1,NaN,NaN,NaN,60,NaN,65,NaN,-1,NaN,-1,NaN,-1
403210038,93,84,NaN,99,81,65,84,71,NaN,60,82,100,79,70,62,NaN,73,63,NaN,-1,NaN,NaN,61,NaN,63,70,40,NaN,-1,NaN,-1,-1,-1
403210039,33,13,80,48,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210040,49,60,NaN,3,46,17,83,NaN,NaN,NaN,25,47,36,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210041,96,91,89,96,88,95,NaN,95,NaN,100,92,100,94,100,NaN,72,100,100,NaN,90,NaN,85,NaN,79,99,98,NaN,NaN,-1,NaN,-1,-1,NaN
403210042,74,67,NaN,78,60,63,84,82,NaN,60,67,80,61,62,65,-1,60,70,NaN,NaN,NaN,NaN,64,NaN,76,NaN,NaN,NaN,-1,NaN,-1,-1,-1
403210043,63,72,82,78,75,60,NaN,73,NaN,60,70,100,74,82,69,-1,75,65,NaN,NaN,NaN,45,NaN,NaN,67,NaN,NaN,NaN,-1,NaN,-1,-1,-1
403210044,70,61,NaN,52,-1,50,92,-1,65,NaN,60,100,47,60,65,NaN,-1,-1,60,NaN,NaN,NaN,80,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
403210045,81,92,92,89,NaN,88,NaN,NaN,NaN,68,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210046,87,63,NaN,67,65,67,93,76,NaN,61,84,84,77,79,90,NaN,60,80,NaN,NaN,56,NaN,84,46,60,NaN,NaN,NaN,-1,NaN,NaN,-1,-1
403210047,46,20,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210049,65,60,80,62,60,-1,NaN,66,NaN,26,60,73,60,57,60,-1,-1,-1,60,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403210050,78,66,NaN,64,74,60,82,82,NaN,62,92,75,62,81,NaN,-1,74,61,NaN,-1,NaN,NaN,NaN,60,80,NaN,60,NaN,-1,NaN,NaN,NaN,NaN
403210028,96,82,NaN,95,NaN,100,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403210051,NaN,NaN,90,NaN,95,NaN,NaN,94,NaN,79,75,100,81,90,87,-1,84,100,NaN,-1,NaN,NaN,87,50,99,94,NaN,NaN,-1,NaN,-1,-1,NaN
403210053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,65,84,100,60,9,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,0,5,50,NaN,NaN,-1,-1,NaN,NaN,NaN
403210054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,72,89,NaN,68,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
