id,2101001@微積分（一）@1@1,2101001@微積分（一）@1@7,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@3,2101002@微積分（二）@2@7,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2101002@微積分（二）@1@1,2102001@高等微積分（一）@1@1,2102003@高等微積分研習（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103001@點集拓樸@1@1,2104553@線性規劃導論@1@1,2101002@微積分（二）@2@2,2101002@微積分（二）@2@8,2102001@高等微積分（一）@2@1,2102002@高等微積分（二）@2@1,2102004@高等微積分研習（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103102@複變函數論（二）@2@1,2103522@微分方程數值方法@2@1,2104402@近代數學專題（二）@2@1,2102002@高等微積分（二）@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103401@近世代數（一）@1@1,2103521@數值線性代數導論@1@1,2104201@偏微分方程導論@1@1,2101002@微積分（二）@2@6,2101002@微積分（二）@2@9,2103001@點集拓樸@2@1,2103302@幾何學(二)@2@1,2103402@近世代數（二）@2@1,2103521@數值線性代數導論@2@1,2103523@數學史@2@1,2103701@統計科學@2@1,2103711@統計方法@2@1,2104401@近代數學專題（一）@2@1,2103524@初等數論@1@1,2104701@統計推論@1@1,2103525@初等數論（二）@2@1,2103404@離散數學@2@1
400210004,44,NaN,60,NaN,68,NaN,NaN,NaN,29,67,88,NaN,60,41,60,78,74,NaN,70,NaN,56,NaN,62,53,61,36,60,38,62,81,NaN,28,60,NaN,79,NaN,NaN,60,45,NaN,NaN,NaN,80,50,NaN,76,NaN,NaN,NaN,NaN
400210005,90,NaN,97,76,NaN,80,NaN,NaN,92,91,NaN,NaN,92,92,87,100,86,NaN,84,NaN,NaN,NaN,84,84,90,81,83,NaN,70,88,NaN,81,76,93,73,NaN,NaN,NaN,75,NaN,88,NaN,92,NaN,74,90,97,NaN,85,NaN
400210006,52,NaN,72,NaN,70,64,NaN,NaN,69,66,86,NaN,60,60,68,92,71,NaN,65,NaN,NaN,NaN,57,54,76,60,91,60,61,65,NaN,22,60,NaN,NaN,NaN,NaN,NaN,52,NaN,NaN,81,NaN,NaN,NaN,78,69,NaN,NaN,NaN
400210007,57,NaN,71,89,60,55,NaN,NaN,NaN,60,NaN,NaN,73,73,73,69,93,NaN,NaN,NaN,87,NaN,79,79,99,65,98,NaN,NaN,87,NaN,71,64,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,84,NaN,74,92,85,NaN,84,NaN,NaN
400210008,42,NaN,70,NaN,65,40,NaN,NaN,78,66,70,68,60,60,61,63,71,NaN,NaN,NaN,NaN,NaN,53,53,72,60,67,31,NaN,68,80,67,60,80,NaN,70,NaN,NaN,25,NaN,NaN,65,62,NaN,42,73,60,NaN,70,63
400210009,50,NaN,64,76,70,50,NaN,NaN,75,60,NaN,67,70,70,70,73,60,NaN,73,NaN,NaN,NaN,73,72,90,66,70,68,NaN,NaN,NaN,73,73,NaN,NaN,93,NaN,NaN,42,NaN,NaN,83,88,NaN,NaN,84,NaN,NaN,NaN,NaN
400210010,0,NaN,2,NaN,50,0,NaN,NaN,NaN,0,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210011,26,NaN,60,90,61,NaN,NaN,NaN,NaN,60,NaN,NaN,71,24,75,75,82,NaN,77,NaN,82,NaN,71,NaN,99,68,100,50,NaN,85,NaN,55,65,NaN,NaN,NaN,NaN,NaN,60,81,NaN,73,NaN,63,78,87,NaN,72,NaN,NaN
400210012,55,NaN,72,NaN,81,51,NaN,NaN,60,64,68,NaN,65,54,83,87,76,NaN,82,NaN,83,NaN,75,76,81,83,91,NaN,NaN,NaN,NaN,NaN,73,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,68,80,84,NaN,76,NaN,NaN
400210013,75,NaN,72,86,NaN,62,NaN,NaN,68,65,NaN,NaN,61,61,60,78,70,NaN,64,NaN,NaN,NaN,60,65,67,79,64,NaN,NaN,73,NaN,55,60,NaN,NaN,NaN,NaN,NaN,40,80,NaN,70,85,NaN,NaN,81,NaN,NaN,NaN,NaN
