id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201888@學系服務學習@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2203090@物理專題（一）@2@1,2203006@近代物理實驗學@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203090@物理專題（一）@1@1,2204040@原子分子物理導論@1@1,2204091@物理專題（二）@1@1,2203005@進階光學實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2204001@固態物理導論（一）@2@1,2204021@進階光學@2@1,2204091@物理專題（二）@2@1,2204092@物理專題（三）@2@1,2203008@進階實驗技術@1@1,2204001@固態物理導論（一）@1@1,2204010@基本粒子物理導論@1@1,2204092@物理專題（三）@1@1,2204093@物理專題（四）@1@1,2202060@近代物理@2@1,2203071@應用電子學（一）@2@1,2204040@原子分子物理導論@2@1,2204093@物理專題（四）@2@1,2203006@近代物理實驗學@2@1,2201012@普通物理（二）@2@2
400220003,95,70,80,81,60,66,NaN,NaN,83,NaN,65,73,78,NaN,83,91,61,67,80,72,80,69,NaN,NaN,NaN,92,NaN,72,81,NaN,90,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220004,91,65,NaN,93,64,75,80,NaN,NaN,82,67,60,60,84,NaN,80,83,82,NaN,NaN,71,75,NaN,NaN,NaN,NaN,82,66,70,NaN,NaN,NaN,NaN,NaN,65,86,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN
400220005,76,65,80,73,60,45,NaN,75,80,NaN,64,60,62,NaN,79,69,60,-1,85,NaN,64,72,NaN,NaN,80,72,NaN,-1,60,NaN,-1,NaN,83,NaN,61,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
400220006,93,75,NaN,65,65,89,80,NaN,NaN,83,84,80,64,85,NaN,93,71,75,NaN,75,62,65,NaN,NaN,NaN,NaN,96,77,85,NaN,NaN,NaN,NaN,NaN,95,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220007,89,60,80,61,60,69,NaN,NaN,81,NaN,63,71,71,NaN,69,66,60,68,NaN,62,73,60,NaN,NaN,NaN,60,75,60,72,NaN,67,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN
400220008,86,75,NaN,83,65,63,80,NaN,NaN,82,61,70,73,83,NaN,66,60,60,NaN,60,63,60,NaN,NaN,NaN,NaN,72,60,70,NaN,67,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220010,91,85,NaN,70,86,87,80,NaN,NaN,83,99,94,83,91,NaN,99,96,95,85,86,92,90,NaN,NaN,80,92,91,99,91,NaN,93,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220011,94,90,80,86,83,92,NaN,NaN,76,NaN,95,81,75,NaN,93,95,81,97,NaN,82,89,91,NaN,77,NaN,86,NaN,100,90,NaN,95,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220012,96,75,NaN,60,60,51,80,76,NaN,79,71,70,65,79,NaN,70,76,65,85,79,86,73,NaN,NaN,NaN,68,70,67,80,NaN,63,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220013,81,75,80,78,74,90,NaN,NaN,77,NaN,87,93,81,NaN,93,90,83,91,85,78,78,95,NaN,76,NaN,88,NaN,90,89,NaN,98,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220014,87,70,NaN,69,74,60,80,NaN,NaN,84,62,67,60,83,NaN,68,60,62,90,64,64,74,NaN,NaN,NaN,NaN,80,75,75,NaN,73,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
400220015,68,70,80,45,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220016,91,70,NaN,60,60,60,80,NaN,NaN,85,61,74,60,88,NaN,84,60,63,NaN,73,65,60,70,NaN,NaN,74,78,63,78,NaN,73,NaN,NaN,NaN,60,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220017,66,65,80,63,69,82,NaN,NaN,79,NaN,79,92,67,NaN,96,99,87,84,85,73,80,96,NaN,NaN,80,86,NaN,89,90,NaN,90,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220018,83,70,NaN,60,66,60,80,NaN,NaN,78,28,60,40,84,NaN,NaN,36,NaN,80,61,NaN,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220019,87,65,80,79,60,62,NaN,NaN,80,NaN,60,70,66,NaN,70,81,62,65,NaN,60,61,60,NaN,NaN,NaN,71,80,67,76,NaN,80,NaN,NaN,NaN,40,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220020,86,60,NaN,78,50,52,70,65,NaN,66,80,60,71,87,NaN,67,65,65,NaN,78,66,73,NaN,NaN,NaN,NaN,83,-1,60,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1
400220021,79,60,80,89,64,33,NaN,64,82,NaN,60,69,71,NaN,76,60,62,60,80,71,60,60,NaN,NaN,NaN,64,66,60,70,NaN,82,NaN,NaN,NaN,53,75,NaN,NaN,NaN,70,27,NaN,NaN,NaN
400220022,73,65,NaN,64,60,48,75,83,NaN,83,84,77,54,85,NaN,60,72,77,NaN,NaN,69,78,NaN,NaN,NaN,NaN,63,70,78,NaN,NaN,NaN,NaN,NaN,69,75,NaN,NaN,86,81,NaN,NaN,NaN,NaN
400220023,97,90,80,80,96,91,NaN,NaN,85,NaN,99,91,94,NaN,85,95,95,95,80,78,87,81,NaN,NaN,85,NaN,94,88,85,NaN,NaN,NaN,90,NaN,93,80,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400220024,72,75,NaN,87,80,67,80,NaN,NaN,81,66,68,70,87,NaN,82,65,63,80,63,60,60,NaN,NaN,NaN,67,93,-1,73,NaN,NaN,NaN,NaN,NaN,74,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220025,90,60,80,79,71,62,NaN,NaN,71,NaN,70,60,64,NaN,84,67,66,60,80,71,73,67,NaN,NaN,NaN,NaN,NaN,60,72,NaN,62,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,84,50,NaN,NaN,NaN
400220026,86,70,NaN,76,60,60,75,35,NaN,83,61,60,65,83,NaN,64,60,-1,80,72,60,60,NaN,NaN,NaN,61,NaN,-1,75,NaN,70,NaN,NaN,NaN,44,75,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN
400220027,80,70,80,81,75,69,NaN,NaN,81,NaN,66,74,65,NaN,81,88,60,66,NaN,79,65,71,NaN,NaN,NaN,69,NaN,87,81,NaN,80,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN
400220028,82,75,NaN,77,68,73,75,NaN,NaN,84,67,70,67,84,NaN,84,68,75,NaN,69,79,79,NaN,73,NaN,73,NaN,86,80,NaN,NaN,NaN,NaN,NaN,82,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220029,88,75,80,90,86,88,NaN,NaN,91,NaN,80,82,69,NaN,88,70,71,74,NaN,NaN,89,66,85,NaN,NaN,85,NaN,67,70,NaN,87,85,NaN,NaN,65,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN
400220031,84,80,80,63,70,77,NaN,NaN,91,NaN,76,74,60,NaN,83,91,70,73,NaN,75,65,77,NaN,NaN,NaN,78,NaN,79,75,NaN,82,NaN,NaN,NaN,79,81,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
400220032,69,65,70,68,63,77,50,NaN,NaN,81,62,74,73,82,NaN,69,60,66,NaN,69,76,60,NaN,NaN,NaN,64,80,60,77,NaN,78,NaN,NaN,NaN,35,80,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN
400220033,98,80,80,74,75,88,NaN,NaN,77,NaN,71,78,70,NaN,81,82,76,89,80,NaN,74,60,NaN,NaN,NaN,83,NaN,78,73,NaN,83,NaN,NaN,NaN,93,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220034,100,80,NaN,84,80,80,80,NaN,NaN,86,64,80,82,83,NaN,86,73,79,80,75,80,78,NaN,NaN,NaN,NaN,87,84,74,NaN,95,NaN,NaN,NaN,87,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220035,89,80,80,60,76,64,NaN,NaN,84,NaN,74,66,66,NaN,88,84,60,62,85,74,60,60,NaN,NaN,80,NaN,89,86,72,NaN,NaN,NaN,80,NaN,68,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220036,76,75,NaN,67,70,63,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220037,95,85,80,79,60,60,NaN,NaN,94,NaN,62,60,72,NaN,88,81,71,79,80,60,63,60,NaN,NaN,NaN,NaN,81,60,73,NaN,82,NaN,NaN,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220038,99,60,NaN,60,65,64,80,NaN,NaN,82,64,64,60,83,NaN,70,60,64,80,72,67,61,NaN,NaN,NaN,NaN,80,66,74,NaN,NaN,NaN,NaN,NaN,64,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220040,100,95,NaN,83,93,93,80,NaN,NaN,89,92,94,92,84,NaN,95,97,99,85,83,78,96,NaN,93,NaN,89,NaN,87,91,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220041,88,70,80,83,86,78,NaN,NaN,90,NaN,66,70,75,NaN,93,81,74,69,85,88,66,60,NaN,NaN,80,73,77,60,76,NaN,74,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,87,69,NaN,NaN,NaN
400220042,74,70,NaN,60,74,61,80,NaN,NaN,79,74,60,69,78,NaN,78,60,68,80,67,60,60,NaN,NaN,NaN,NaN,81,69,74,NaN,76,NaN,NaN,NaN,60,86,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN
400220043,89,70,80,75,60,50,NaN,63,71,NaN,60,60,60,NaN,62,60,60,60,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,60,-1,70,NaN,NaN,NaN,NaN,90,36,60,NaN,NaN,NaN,80,-1,NaN,73,NaN
400220044,74,80,NaN,60,62,60,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400220045,87,65,80,66,70,68,NaN,NaN,70,NaN,60,60,61,NaN,73,33,18,14,85,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN
