id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201888@學系服務學習@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2203090@物理專題（一）@2@1,2203006@近代物理實驗學@1@1,2203008@進階實驗技術@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203090@物理專題（一）@1@1,2204091@物理專題（二）@1@1,2201002@普通物理實驗（二）@2@10,2202060@近代物理@2@1,2203005@進階光學實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1,2204021@進階光學@2@1,2204040@原子分子物理導論@2@1,2204092@物理專題（三）@2@1,2204001@固態物理導論（一）@1@1,2204010@基本粒子物理導論@1@1,2204093@物理專題（四）@1@1,2203006@近代物理實驗學@2@1,2204093@物理專題（四）@2@1
401220001,65,70,70,60,60,28,NaN,62,73,NaN,85,60,82,NaN,NaN,60,61,62,61,NaN,77,NaN,62,80,NaN,NaN,NaN,NaN,81,NaN,65,60,62,-1,NaN,NaN,51,82,NaN,NaN,NaN
401220002,87,60,NaN,48,60,55,70,60,NaN,71,76,60,64,NaN,81,NaN,76,60,65,NaN,78,NaN,60,78,NaN,NaN,72,NaN,62,NaN,62,60,66,87,60,NaN,NaN,NaN,NaN,NaN,NaN
401220003,89,80,70,81,75,66,NaN,NaN,79,NaN,69,75,79,NaN,NaN,80,72,60,82,NaN,NaN,90,69,66,NaN,NaN,NaN,NaN,NaN,70,63,65,80,85,64,NaN,21,75,NaN,78,NaN
401220004,82,70,NaN,84,60,44,70,71,NaN,73,83,60,51,NaN,60,NaN,60,62,65,NaN,69,NaN,63,66,NaN,NaN,NaN,78,62,NaN,66,-1,77,-1,NaN,NaN,NaN,80,NaN,NaN,NaN
401220005,100,90,70,84,91,60,NaN,NaN,80,NaN,89,80,60,NaN,NaN,86,66,73,79,NaN,NaN,NaN,73,64,NaN,NaN,NaN,NaN,73,70,79,66,NaN,86,NaN,NaN,76,NaN,NaN,NaN,NaN
401220006,80,65,NaN,60,60,30,70,62,NaN,65,77,69,73,NaN,62,NaN,60,60,60,NaN,78,NaN,60,64,NaN,NaN,NaN,NaN,NaN,73,65,60,65,60,60,NaN,NaN,NaN,NaN,NaN,NaN
401220007,79,65,70,72,60,53,NaN,66,85,NaN,60,70,30,NaN,NaN,72,66,69,69,NaN,NaN,NaN,60,73,NaN,NaN,NaN,70,NaN,78,-1,60,NaN,-1,NaN,NaN,48,80,NaN,77,NaN
401220008,89,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,8,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401220009,99,70,70,95,90,83,NaN,NaN,84,NaN,71,75,67,NaN,NaN,89,93,82,86,90,NaN,NaN,80,86,NaN,NaN,NaN,NaN,NaN,93,74,96,90,NaN,82,NaN,NaN,92,NaN,NaN,NaN
401220010,86,65,NaN,73,60,67,70,NaN,NaN,77,74,65,52,NaN,77,NaN,65,80,73,NaN,78,NaN,76,73,NaN,NaN,NaN,76,NaN,70,80,62,80,74,70,NaN,NaN,75,NaN,NaN,NaN
401220011,79,75,70,84,73,72,NaN,NaN,84,NaN,63,65,72,NaN,NaN,61,67,64,60,90,NaN,NaN,64,63,NaN,85,NaN,NaN,81,NaN,63,70,92,76,NaN,80,NaN,75,NaN,NaN,NaN
401220012,85,75,NaN,84,60,65,70,NaN,NaN,71,67,70,82,NaN,88,NaN,81,60,70,NaN,70,NaN,69,67,NaN,NaN,NaN,NaN,NaN,81,81,70,82,NaN,80,NaN,60,60,NaN,NaN,NaN
