id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201031@基礎物理數學@1@1,2201888@學系服務學習@1@1,2202011@應用數學（一）@1@1,2202060@近代物理@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202031@電磁學（一）@1@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@1,2203090@物理專題（一）@2@1,2201025@程式語言@1@1,2203006@近代物理實驗學@1@1,2203008@進階實驗技術@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203090@物理專題（一）@1@1,2204091@物理專題（二）@1@1,2201002@普通物理實驗（二）@2@10,2203005@進階光學實驗學@2@1,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1,2204021@進階光學@2@1,2204091@物理專題（二）@2@1,2204092@物理專題（三）@2@1,2204001@固態物理導論（一）@1@1,2204010@基本粒子物理導論@1@1,2204092@物理專題（三）@1@1,2204093@物理專題（四）@1@1,2204040@原子分子物理導論@2@1,2204093@物理專題（四）@2@1
402220001,78,70,NaN,70,72,33,70,65,65,NaN,78,NaN,66,NaN,NaN,75,69,68,81,76,NaN,NaN,82,85,62,67,90,NaN,NaN,NaN,NaN,80,64,60,-1,NaN,90,NaN,69,80,85,NaN,NaN,-1
402220002,85,80,NaN,NaN,70,73,73,60,60,80,NaN,80,60,NaN,78,NaN,-1,-1,-1,NaN,90,NaN,NaN,NaN,48,62,NaN,84,NaN,NaN,89,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220004,72,60,61,NaN,61,10,60,35,38,80,NaN,82,9,60,81,NaN,63,61,60,66,NaN,NaN,58,NaN,52,70,NaN,NaN,NaN,-1,71,NaN,-1,60,-1,-1,NaN,NaN,41,NaN,NaN,NaN,-1,NaN
402220005,79,85,NaN,70,84,72,91,80,72,NaN,73,NaN,73,NaN,NaN,77,88,71,80,NaN,90,NaN,NaN,88,70,67,NaN,85,NaN,85,-1,NaN,70,70,88,89,NaN,85,89,NaN,NaN,NaN,NaN,NaN
402220006,74,65,NaN,NaN,75,63,69,65,69,80,NaN,80,68,NaN,83,NaN,81,77,67,NaN,NaN,NaN,65,NaN,63,75,NaN,NaN,NaN,70,NaN,NaN,70,74,-1,-1,NaN,NaN,75,84,NaN,NaN,-1,NaN
402220007,80,60,64,70,60,60,76,60,45,NaN,75,NaN,60,NaN,NaN,83,60,63,-1,31,NaN,NaN,72,90,55,70,NaN,NaN,NaN,68,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402220008,71,70,NaN,NaN,72,3,78,60,60,80,NaN,80,60,NaN,81,NaN,83,60,67,67,NaN,NaN,NaN,NaN,76,66,NaN,NaN,NaN,70,NaN,87,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402220010,79,70,67,NaN,75,60,85,60,49,80,NaN,67,47,NaN,75,NaN,60,63,69,NaN,NaN,NaN,NaN,NaN,62,60,NaN,NaN,NaN,61,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN
402220011,83,75,72,70,86,0,87,75,12,NaN,75,NaN,85,NaN,NaN,84,93,70,96,91,NaN,NaN,82,90,66,85,NaN,NaN,NaN,NaN,NaN,NaN,78,-1,-1,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
402220012,90,80,NaN,NaN,81,50,100,80,79,80,NaN,88,61,NaN,91,NaN,61,69,77,73,NaN,NaN,81,88,74,65,NaN,NaN,NaN,NaN,NaN,90,-1,70,90,-1,NaN,NaN,51,80,NaN,NaN,NaN,NaN
402220013,74,85,NaN,70,89,74,70,65,80,NaN,72,NaN,72,NaN,NaN,79,89,71,70,NaN,90,NaN,NaN,NaN,61,70,NaN,90,NaN,89,NaN,NaN,71,60,80,NaN,NaN,90,80,80,NaN,90,NaN,NaN
402220014,95,70,NaN,NaN,NaN,NaN,88,70,63,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220015,74,85,NaN,70,60,66,98,70,60,NaN,85,NaN,60,NaN,NaN,66,40,-1,-1,42,NaN,NaN,NaN,NaN,70,62,NaN,NaN,NaN,72,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220016,96,90,NaN,NaN,98,90,90,95,81,80,NaN,84,98,NaN,84,NaN,98,99,99,NaN,90,NaN,85,88,87,96,NaN,90,NaN,93,NaN,NaN,86,82,NaN,90,NaN,88,89,NaN,NaN,NaN,NaN,NaN
402220017,88,70,66,70,68,NaN,71,65,33,NaN,74,NaN,82,NaN,NaN,78,84,85,89,72,NaN,NaN,NaN,NaN,78,80,NaN,NaN,NaN,64,-1,83,-1,-1,-1,-1,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN
402220018,87,75,NaN,NaN,68,66,79,65,60,80,NaN,82,73,NaN,88,NaN,65,60,77,NaN,NaN,NaN,NaN,88,66,69,NaN,NaN,NaN,-1,81,NaN,-1,-1,80,76,NaN,NaN,28,80,NaN,NaN,NaN,NaN
