id,2201001@普通物理實驗（一）@1@2,2201011@普通物理（一）@1@1,2201002@普通物理實驗（二）@2@2,2201012@普通物理（二）@2@1,2201031@基礎物理數學@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2201011@普通物理（一）@2@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2201001@普通物理實驗（一）@1@1,2201011@普通物理（一）@1@5,2203008@進階實驗技術@1@1,2203050@光學@1@1,2201002@普通物理實驗（二）@2@1,2201002@普通物理實驗（二）@2@10,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1,2204021@進階光學@2@1,2203021@量子物理（一）@1@1,2203022@量子物理（二）@2@1,2204040@原子分子物理導論@2@1
402235002,65,21,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235003,51,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235005,92,70,98,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235006,62,41,74,33,NaN,NaN,NaN,NaN,NaN,65,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235007,79,41,81,62,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235008,93,64,82,36,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235009,91,44,67,0,NaN,NaN,NaN,NaN,NaN,65,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235010,76,41,80,17,NaN,NaN,NaN,NaN,NaN,60,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235011,88,63,78,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235012,63,43,61,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
