id,2201001@普通物理實驗（一）@1@1,2201011@普通物理（一）@1@1,2201002@普通物理實驗（二）@2@1,2201012@普通物理（二）@2@1,2201001@普通物理實驗（一）@1@6,2201011@普通物理（一）@1@3,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2201002@普通物理實驗（二）@2@6,2201011@普通物理（一）@2@1,2201012@普通物理（二）@2@2,2201012@普通物理（二）@2@3,2201012@普通物理（二）@2@6,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202060@近代物理@2@1,2203090@物理專題（一）@2@1,2201002@普通物理實驗（二）@2@10,2201011@普通物理（一）@1@5,2203008@進階實驗技術@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2204001@固態物理導論（一）@1@1,2202032@電磁學（二）@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1
402260002,80,34,72,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260003,90,35,72,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260005,74,30,74,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260006,96,67,90,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260007,87,60,67,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260008,75,43,63,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260009,88,70,92,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260010,91,64,84,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260011,82,65,93,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260012,76,64,93,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
