id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201025@程式語言@1@1,2201888@學系服務學習@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1
405220001,75,60,93,70,-1,-1,-1,NaN
405220002,60,65,75,NaN,-1,-1,-1,-1
405220003,80,70,92,70,-1,-1,NaN,NaN
405220004,82,85,88,NaN,-1,-1,-1,-1
405220005,77,65,86,70,-1,-1,-1,NaN
405220006,62,60,76,NaN,-1,-1,-1,-1
405220007,78,70,87,70,-1,-1,-1,NaN
405220008,90,75,84,NaN,-1,-1,-1,-1
405220010,60,65,84,NaN,-1,-1,-1,-1
405220011,90,70,88,70,-1,-1,-1,NaN
405220012,81,90,83,NaN,-1,-1,-1,NaN
405220013,71,70,81,70,-1,-1,-1,NaN
405220014,78,95,93,NaN,-1,-1,-1,-1
405220015,62,75,78,70,-1,-1,-1,NaN
405220016,75,60,75,NaN,-1,-1,-1,-1
405220017,81,60,77,70,-1,-1,-1,NaN
405220018,54,47,73,NaN,-1,-1,-1,-1
405220019,73,46,75,70,-1,-1,-1,NaN
405220020,67,70,80,NaN,-1,-1,-1,NaN
405220021,62,60,75,70,-1,-1,-1,NaN
405220022,85,60,71,NaN,-1,-1,-1,-1
405220023,92,75,83,70,-1,-1,-1,NaN
405220024,60,60,71,NaN,-1,-1,-1,-1
405220025,93,70,81,70,-1,-1,-1,NaN
405220026,86,60,86,NaN,-1,-1,-1,-1
405220027,75,70,79,70,-1,-1,-1,NaN
405220028,75,60,81,NaN,-1,-1,-1,-1
405220029,75,65,88,70,-1,-1,-1,NaN
405220030,68,80,87,NaN,-1,-1,-1,-1
405220031,72,70,88,70,-1,-1,-1,NaN
405220032,76,60,81,NaN,-1,-1,NaN,NaN
405220033,88,70,94,70,-1,-1,-1,NaN
405220035,60,60,40,70,-1,-1,-1,NaN
405220036,70,70,70,NaN,-1,-1,-1,-1
405220037,66,65,76,70,-1,-1,-1,NaN
405220038,77,65,56,NaN,-1,-1,-1,-1
405220039,66,60,86,70,-1,-1,-1,NaN
405220040,87,65,60,NaN,-1,-1,-1,-1
405220041,68,60,55,70,NaN,NaN,NaN,NaN
405220042,53,90,60,NaN,-1,-1,-1,-1
405220043,83,70,86,70,-1,-1,-1,NaN
405220044,81,85,86,NaN,-1,-1,-1,-1
405220045,60,80,83,70,-1,-1,-1,NaN
405220046,87,75,88,NaN,-1,-1,-1,-1
405220047,80,60,80,70,-1,-1,-1,NaN
405220048,68,48,75,NaN,-1,-1,-1,-1
405220049,88,75,93,70,-1,-1,-1,NaN
405220050,89,65,89,NaN,-1,-1,-1,-1
