id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202020@理論力學@1@1,2202031@電磁學（一）@1@1,2203090@物理專題（一）@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202011@應用數學（一）@2@1,2202012@應用數學（二）@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@2,2203090@物理專題（一）@2@1,2201001@普通物理實驗（一）@1@9,2201011@普通物理（一）@1@5,2201888@學系服務學習@1@1,2202060@近代物理@1@1,2203005@進階光學實驗學@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203071@應用電子學（一）@1@1,2204091@物理專題（二）@1@1,2201012@普通物理（二）@2@2,2202020@理論力學@2@1,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2204021@進階光學@2@1,2204092@物理專題（三）@2@1,2203006@近代物理實驗學@1@1,2204010@基本粒子物理導論@1@1,2204040@原子分子物理導論@1@1,2204093@物理專題（四）@1@1,2201002@普通物理實驗（二）@2@10,2201012@普通物理（二）@2@6,2203005@進階光學實驗學@2@1,2204001@固態物理導論（一）@2@1,2204091@物理專題（二）@2@1,2204093@物理專題（四）@2@1,2204001@固態物理導論（一）@1@1,2204092@物理專題（三）@1@1,2203071@應用電子學（一）@2@1,2204040@原子分子物理導論@2@1
499220050,79,80,72,NaN,88,60,NaN,81,80,60,66,NaN,87,NaN,NaN,60,87,50,NaN,NaN,NaN,NaN,79,NaN,72,65,NaN,NaN,NaN,68,60,NaN,61,64,84,NaN,NaN,85,60,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN
499220014,88,75,61,NaN,72,0,NaN,NaN,NaN,91,69,48,80,NaN,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220015,93,65,74,81,NaN,64,NaN,62,NaN,20,53,11,NaN,88,NaN,73,60,NaN,NaN,NaN,NaN,NaN,60,80,70,76,NaN,NaN,NaN,60,67,NaN,72,60,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,83,NaN
499220017,49,40,73,76,NaN,64,NaN,69,80,61,60,51,NaN,88,NaN,70,62,NaN,NaN,NaN,NaN,NaN,60,NaN,69,60,NaN,NaN,NaN,60,NaN,65,60,75,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,67,41,80,NaN,60,80,NaN,48
499220043,84,60,0,NaN,NaN,30,NaN,17,NaN,85,61,13,NaN,91,46,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220045,93,60,74,76,NaN,66,NaN,60,NaN,89,68,39,NaN,82,52,80,67,72,NaN,NaN,NaN,NaN,NaN,NaN,60,66,NaN,NaN,NaN,60,NaN,76,62,68,NaN,NaN,75,85,68,NaN,NaN,NaN,NaN,38,NaN,NaN,72,NaN,NaN,NaN
499220046,84,65,69,NaN,83,60,60,60,88,55,65,49,89,NaN,NaN,60,75,66,NaN,NaN,NaN,NaN,NaN,74,63,75,73,NaN,NaN,NaN,74,NaN,70,64,NaN,NaN,NaN,85,70,NaN,88,NaN,NaN,26,NaN,NaN,NaN,NaN,NaN,NaN
499220001,85,75,NaN,76,NaN,60,61,73,NaN,87,74,80,NaN,85,NaN,69,65,79,95,NaN,NaN,NaN,NaN,89,68,74,82,NaN,NaN,NaN,NaN,81,60,72,76,NaN,NaN,90,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
499220003,88,75,NaN,80,NaN,67,NaN,63,NaN,85,76,46,NaN,88,NaN,82,27,49,NaN,NaN,NaN,NaN,40,NaN,NaN,65,NaN,NaN,NaN,60,67,80,NaN,72,NaN,NaN,NaN,70,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220005,92,85,NaN,82,NaN,70,60,82,NaN,78,88,92,NaN,93,NaN,98,81,89,85,NaN,NaN,NaN,NaN,NaN,76,70,70,85,NaN,NaN,NaN,80,83,70,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,73,NaN,88,NaN,NaN,NaN,NaN
