id,2205041@電動力學（一）@2@1,2205052@量子力學（二）@2@1,2205120@雷射物理@2@1,2205274@書報討論（二）@2@1,2205380@電漿物理導論@2@1,2205010@古典力學@1@1,2205020@統計力學@1@1,2205042@電動力學（二）@1@1,2205051@量子力學（一）@1@1,2205080@相對論@1@1,2205181@固態物理（一）@1@1,2205230@材料科學@1@1,2205273@書報討論（一）@1@1,2205360@線性系統、傅立葉轉換與光學@1@1,2205919@專題：磁性物理@1@1,2205940@專題：介電物質的特性@1@1,2205945@高等物理數學@1@1,2205960@專題：雷射冷卻與捕獲@1@1,2205061@計算物理@2@1,2205070@理論物理@2@1,2205182@固態物理（二）@2@1,2205300@表面物理@2@1,2205301@表面磁學@2@1,2205929@專題：分子束磊晶@2@1,2205958@專題：奈米光電@2@1,2205961@專題:磁性材料@2@1,2205101@非線性光學@1@1,2205381@流體力學@1@1,2205921@專題：晶體物理@1@1,2205962@專題：稀土及稀土永磁@1@1
604220014,78,70,81,95,NaN,NaN,NaN,NaN,76,92,79,NaN,79,79,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220013,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220020,82,NaN,NaN,79,NaN,85,84,80,NaN,NaN,73,78,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
604220022,-1,NaN,NaN,78,70,78,80,80,0,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,71,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220023,75,NaN,NaN,81,70,76,79,71,29,NaN,72,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220026,83,NaN,NaN,80,NaN,70,82,NaN,NaN,NaN,74,87,81,NaN,81,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,87
604220027,70,NaN,NaN,80,NaN,71,81,NaN,NaN,NaN,72,80,79,70,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220029,70,NaN,NaN,80,NaN,82,80,NaN,55,NaN,70,NaN,80,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,70,NaN,NaN,NaN
604220032,90,NaN,NaN,80,NaN,81,90,NaN,NaN,NaN,74,88,80,NaN,86,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,87
604220036,70,NaN,NaN,79,NaN,85,80,NaN,NaN,NaN,70,85,80,72,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220037,71,NaN,NaN,80,NaN,80,78,NaN,NaN,NaN,71,72,82,83,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220041,70,NaN,NaN,81,70,83,77,72,47,NaN,72,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220048,70,NaN,NaN,79,70,80,81,71,46,NaN,80,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,78,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220049,-1,NaN,NaN,70,NaN,70,72,60,22,NaN,70,NaN,78,NaN,NaN,NaN,NaN,NaN,0,NaN,70,NaN,NaN,NaN,70,NaN,70,88,NaN,NaN
604220051,92,NaN,NaN,78,70,70,82,NaN,NaN,NaN,77,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220001,99,NaN,NaN,81,NaN,NaN,91,85,31,NaN,79,89,81,NaN,90,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,88
604220007,NaN,72,NaN,79,NaN,NaN,85,NaN,77,NaN,70,85,80,NaN,NaN,90,NaN,NaN,NaN,NaN,70,NaN,87,87,NaN,NaN,NaN,NaN,NaN,NaN
604220017,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220018,87,NaN,NaN,80,NaN,NaN,89,80,NaN,NaN,76,NaN,79,NaN,NaN,NaN,84,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN
604220024,76,NaN,NaN,79,70,NaN,80,79,70,NaN,75,NaN,82,76,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604220030,NaN,54,NaN,79,NaN,NaN,96,NaN,82,NaN,77,80,81,NaN,NaN,90,NaN,NaN,NaN,NaN,72,NaN,82,92,NaN,NaN,NaN,NaN,92,NaN
604220033,80,NaN,NaN,81,NaN,NaN,80,91,38,NaN,84,NaN,82,NaN,NaN,NaN,86,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN
604220042,NaN,34,NaN,87,NaN,NaN,80,NaN,70,70,70,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,88,NaN,80,NaN,NaN,NaN
604220046,-1,NaN,NaN,78,NaN,NaN,73,70,19,NaN,70,70,80,NaN,NaN,92,NaN,NaN,NaN,NaN,70,NaN,87,82,NaN,NaN,NaN,NaN,NaN,NaN
604220052,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
