id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352021@統計分析與應用@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352011@水文學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2353006@環境化學@2@1,2353036@地震預警與地震前兆@2@1,2354018@石油地質@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353033@專題研究（一）@1@1,2353035@有限差分法及其應用@1@1,2353037@震源與破裂過程@1@1,2354017@時序分析@1@1,2353005@大地測量@2@1,2353011@地球物理探勘@2@1,2353013@環境工程（一）@2@1,2353020@專題研究（二）@2@1,2353030@環境土壤學@2@1,2353038@沉積學@2@1,2354021@石油地質@2@1,2353039@統計分析與應用@1@1,2353040@台灣地質@1@1,2354009@環境工程（二）@1@1,2354019@野外地球物理@1@1,2354021@石油地質@1@1,2352024@地磁學@2@1,2354017@時序分析@2@1
401235001,74,NaN,68,93,78,NaN,74,NaN,63,64,NaN,76,40,65,61,82,93,NaN,82,72,NaN,NaN,62,65,NaN,NaN,NaN,62,NaN,NaN,85,NaN,NaN,80,90,NaN,65,NaN,NaN,NaN,50,NaN,84,NaN,NaN,97,NaN,NaN,82,-1
401235002,65,NaN,81,NaN,79,NaN,60,80,65,65,NaN,75,90,73,68,82,NaN,75,52,71,NaN,NaN,NaN,87,82,NaN,61,72,NaN,54,NaN,NaN,NaN,NaN,62,62,NaN,NaN,62,NaN,63,NaN,81,NaN,NaN,73,NaN,NaN,62,NaN
401235003,84,85,NaN,97,63,89,NaN,NaN,63,72,81,73,NaN,72,64,90,52,75,62,65,69,NaN,65,60,85,NaN,NaN,63,76,76,NaN,NaN,84,NaN,90,87,65,72,NaN,NaN,NaN,64,85,NaN,61,NaN,NaN,NaN,85,NaN
401235004,63,NaN,89,NaN,91,NaN,92,90,82,79,NaN,78,NaN,75,76,88,NaN,NaN,76,75,69,NaN,82,69,NaN,NaN,NaN,75,NaN,NaN,89,74,84,NaN,90,NaN,67,NaN,NaN,NaN,NaN,85,90,NaN,81,91,NaN,NaN,84,NaN
401235005,55,83,NaN,93,86,86,NaN,NaN,43,70,NaN,75,NaN,NaN,66,87,NaN,NaN,39,57,43,NaN,75,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235006,66,83,NaN,NaN,75,83,NaN,90,71,62,70,79,NaN,34,66,80,70,NaN,50,70,NaN,NaN,72,69,NaN,NaN,NaN,65,19,NaN,NaN,NaN,NaN,NaN,88,74,66,NaN,60,NaN,62,NaN,86,80,NaN,79,NaN,NaN,70,NaN
401235007,80,89,NaN,97,73,NaN,87,NaN,77,72,NaN,71,NaN,65,82,86,80,NaN,64,77,NaN,NaN,69,71,81,NaN,NaN,79,87,80,NaN,74,NaN,87,88,78,81,69,NaN,NaN,NaN,72,90,NaN,NaN,NaN,NaN,NaN,79,NaN
401235008,83,NaN,93,NaN,81,NaN,92,95,66,64,NaN,60,60,14,66,87,64,62,60,66,45,NaN,NaN,60,66,NaN,73,71,NaN,77,NaN,79,75,NaN,NaN,76,67,NaN,60,90,60,70,93,53,78,81,85,NaN,NaN,NaN
401235009,67,NaN,78,93,68,87,NaN,NaN,69,60,66,60,40,15,68,83,61,NaN,50,60,NaN,NaN,77,66,NaN,NaN,72,70,60,NaN,NaN,NaN,92,NaN,NaN,NaN,61,NaN,68,NaN,60,70,84,76,NaN,79,NaN,NaN,80,NaN
401235010,74,87,NaN,NaN,91,93,NaN,90,76,77,NaN,82,70,60,78,87,80,75,80,75,NaN,65,72,60,NaN,NaN,74,82,74,89,92,86,NaN,90,90,81,87,77,86,NaN,NaN,85,87,NaN,86,97,NaN,NaN,92,NaN
