id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352011@水文學@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352021@統計分析與應用@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2352024@地磁學@2@1,2353005@大地測量@2@1,2353006@環境化學@2@1,2353020@專題研究（二）@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353033@專題研究（一）@1@1,2353035@有限差分法及其應用@1@1,2353037@震源與破裂過程@1@1,2353039@統計分析與應用@1@1,2353040@台灣地質@1@1,2354017@時序分析@1@1,2354021@石油地質@1@1,2353011@地球物理探勘@2@1,2353013@環境工程（一）@2@1,2353030@環境土壤學@2@1,2353036@地震預警與地震前兆@2@1,2353038@沉積學@2@1,2354009@環境工程（二）@1@1,2354019@野外地球物理@1@1,2354017@時序分析@2@1,2354021@石油地質@2@1
402235002,85,82,NaN,NaN,53,48,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235003,27,NaN,72,30,52,NaN,72,NaN,NaN,0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235005,88,NaN,86,95,94,NaN,89,NaN,86,93,78,NaN,92,91,66,71,86,94,88,75,76,NaN,82,NaN,84,80,NaN,90,69,84,73,90,85,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,87,89,NaN,NaN,95,NaN,NaN,NaN
402235006,63,85,NaN,NaN,76,86,NaN,90,NaN,89,79,NaN,73,81,61,67,82,72,92,78,67,NaN,64,89,84,-1,NaN,NaN,72,64,76,NaN,81,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402235007,69,NaN,86,95,71,NaN,89,NaN,NaN,78,71,74,79,70,15,63,82,NaN,77,64,60,NaN,70,83,80,63,80,NaN,72,NaN,68,NaN,77,85,NaN,88,87,NaN,87,NaN,60,NaN,NaN,76,83,NaN,NaN,NaN,-1
402235008,77,86,NaN,NaN,75,89,NaN,85,NaN,86,83,95,91,90,76,91,NaN,99,85,89,82,NaN,85,89,86,76,85,NaN,87,NaN,80,NaN,89,90,NaN,86,NaN,NaN,81,NaN,63,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN
402235009,60,NaN,85,95,89,NaN,84,NaN,-1,60,68,NaN,79,89,NaN,60,NaN,66,82,64,NaN,NaN,78,68,NaN,84,NaN,53,67,NaN,NaN,67,NaN,NaN,NaN,86,75,NaN,NaN,NaN,NaN,-1,60,NaN,NaN,85,NaN,-1,-1
402235010,60,77,NaN,NaN,73,83,NaN,85,-1,69,77,72,72,72,NaN,60,83,NaN,-1,60,64,NaN,NaN,71,70,60,NaN,NaN,60,40,69,NaN,74,NaN,NaN,86,76,87,51,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,-1
402235011,89,NaN,86,95,90,NaN,90,NaN,NaN,86,83,NaN,81,83,68,62,85,90,78,76,75,74,81,NaN,75,67,90,NaN,72,NaN,81,90,81,86,92,91,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN
402235012,63,77,NaN,NaN,79,87,NaN,90,NaN,77,68,60,81,73,62,60,NaN,-1,NaN,60,60,NaN,64,NaN,72,71,NaN,NaN,75,NaN,63,NaN,NaN,NaN,NaN,86,NaN,63,NaN,NaN,NaN,NaN,63,82,65,NaN,NaN,NaN,-1
402235013,81,NaN,85,95,80,NaN,87,NaN,NaN,90,70,NaN,73,NaN,48,70,82,86,83,76,73,62,72,96,80,62,87,NaN,74,NaN,65,NaN,80,86,80,91,93,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,87,-1,NaN
402235014,65,85,NaN,NaN,74,89,NaN,85,73,69,69,NaN,73,61,23,61,77,55,63,68,53,55,NaN,71,NaN,68,92,84,75,NaN,NaN,90,NaN,93,NaN,85,60,NaN,NaN,NaN,NaN,62,-1,NaN,NaN,88,NaN,-1,-1
402235015,66,NaN,83,85,79,NaN,82,NaN,NaN,76,68,NaN,81,76,42,61,83,NaN,72,66,41,NaN,64,54,-1,68,NaN,NaN,65,NaN,68,NaN,62,NaN,NaN,83,65,85,NaN,NaN,NaN,-1,60,NaN,-1,62,NaN,NaN,-1
402235016,62,72,NaN,NaN,74,82,NaN,85,NaN,76,74,NaN,68,80,71,76,NaN,NaN,70,75,NaN,NaN,82,71,72,82,NaN,NaN,65,74,NaN,NaN,NaN,NaN,NaN,85,NaN,79,NaN,NaN,NaN,89,62,NaN,71,87,NaN,-1,NaN
402235017,60,NaN,80,95,68,NaN,87,NaN,60,64,60,NaN,83,21,19,64,79,NaN,60,73,60,NaN,78,NaN,63,63,NaN,NaN,68,60,63,92,NaN,NaN,NaN,84,81,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,82,84,NaN,-1
402235018,61,79,NaN,NaN,66,85,NaN,80,50,49,64,NaN,69,41,NaN,62,82,NaN,NaN,67,NaN,NaN,77,81,61,68,NaN,NaN,60,NaN,NaN,NaN,69,NaN,NaN,84,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,-1
402235019,65,NaN,85,95,77,85,NaN,NaN,NaN,82,70,82,67,77,9,73,84,82,85,65,78,90,82,NaN,76,83,NaN,NaN,71,NaN,NaN,92,78,NaN,NaN,86,66,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,87,-1,NaN
402235020,61,81,NaN,NaN,65,80,NaN,75,67,72,64,NaN,65,77,NaN,70,79,NaN,-1,79,NaN,77,75,NaN,NaN,63,NaN,NaN,67,67,66,76,73,NaN,NaN,84,66,NaN,NaN,NaN,NaN,60,75,NaN,NaN,81,NaN,NaN,NaN
402235021,61,NaN,84,95,73,NaN,84,NaN,60,66,69,NaN,66,70,NaN,68,82,NaN,NaN,-1,NaN,NaN,68,74,NaN,60,NaN,46,60,NaN,63,71,65,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,63,60,NaN,NaN,71,NaN,-1,-1
402235022,83,82,NaN,NaN,88,86,NaN,95,76,88,81,86,83,85,77,73,85,95,96,89,84,NaN,79,82,NaN,81,NaN,NaN,77,NaN,NaN,NaN,81,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,86,NaN,NaN
402235023,66,NaN,86,95,77,NaN,86,NaN,60,60,72,64,79,NaN,23,71,NaN,NaN,50,79,NaN,NaN,81,98,86,67,NaN,NaN,72,NaN,NaN,83,87,NaN,NaN,84,63,70,NaN,NaN,NaN,65,87,NaN,-1,85,84,NaN,-1
402235024,72,81,NaN,NaN,84,90,NaN,80,73,80,81,NaN,77,89,19,66,78,62,NaN,72,74,60,88,NaN,78,69,88,NaN,74,NaN,81,NaN,70,NaN,NaN,88,83,85,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,-1
