id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352011@水文學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2352024@地磁學@2@1,2353006@環境化學@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353033@專題研究（一）@1@1,2353035@有限差分法及其應用@1@1,2353037@震源與破裂過程@1@1,2353039@統計分析與應用@1@1,2353040@台灣地質@1@1,2353005@大地測量@2@1,2353013@環境工程（一）@2@1,2353020@專題研究（二）@2@1,2353030@環境土壤學@2@1,2353038@沉積學@2@1,2354017@時序分析@2@1,2354021@石油地質@2@1
403235001,60,NaN,84,80,72,NaN,-1,NaN,78,64,NaN,66,NaN,70,72,NaN,69,-1,-1,NaN,-1,55,70,73,NaN,NaN,92,NaN,NaN,73,NaN,NaN,85,75,NaN,NaN,NaN,NaN,-1,-1,NaN,-1
403235002,67,72,NaN,NaN,80,60,NaN,40,60,60,NaN,70,80,73,60,NaN,76,NaN,61,62,-1,62,NaN,65,NaN,NaN,NaN,76,NaN,72,88,NaN,79,84,NaN,NaN,NaN,-1,NaN,NaN,-1,-1
403235003,67,NaN,82,80,62,NaN,79,NaN,61,64,NaN,50,72,63,81,-1,-1,62,-1,NaN,NaN,63,NaN,-1,34,NaN,61,NaN,85,NaN,95,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235004,52,91,NaN,NaN,71,84,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235006,77,82,NaN,NaN,88,74,NaN,80,60,71,NaN,62,68,60,73,NaN,81,-1,-1,60,NaN,60,NaN,60,NaN,NaN,NaN,76,NaN,68,NaN,NaN,83,68,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
403235007,67,NaN,72,70,69,NaN,-1,NaN,62,60,NaN,60,78,64,73,NaN,NaN,-1,-1,NaN,NaN,71,NaN,60,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403235008,64,87,NaN,NaN,87,83,NaN,99,85,65,NaN,84,90,76,83,97,NaN,78,74,NaN,-1,75,NaN,87,83,NaN,93,NaN,88,68,95,NaN,NaN,99,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403235009,70,NaN,81,90,75,NaN,62,NaN,60,60,NaN,63,46,72,79,-1,68,NaN,60,NaN,NaN,60,NaN,69,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,90,72,NaN,NaN,NaN,-1,NaN,NaN,-1,-1
403235010,64,83,NaN,NaN,80,80,NaN,80,76,60,68,76,80,71,NaN,-1,NaN,60,70,68,-1,NaN,NaN,67,62,NaN,79,NaN,75,60,NaN,NaN,NaN,73,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
403235011,74,NaN,81,90,76,NaN,76,NaN,75,78,74,67,NaN,61,81,-1,73,62,-1,62,-1,60,NaN,-1,NaN,71,NaN,71,NaN,71,NaN,NaN,NaN,66,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
403235012,61,88,NaN,NaN,82,87,NaN,90,60,62,NaN,64,70,68,84,-1,NaN,53,63,60,-1,74,NaN,-1,34,NaN,81,76,NaN,75,NaN,NaN,NaN,72,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
403235013,61,NaN,83,90,85,NaN,75,NaN,67,66,NaN,78,NaN,69,NaN,-1,NaN,64,64,68,-1,83,NaN,60,41,NaN,72,NaN,NaN,71,NaN,NaN,88,71,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403235014,73,84,NaN,NaN,74,76,NaN,99,60,66,NaN,60,64,61,NaN,NaN,NaN,-1,60,NaN,-1,74,67,60,49,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,-1,NaN,NaN,-1,NaN,-1
403235015,70,NaN,78,80,86,NaN,79,NaN,73,71,NaN,72,77,78,82,NaN,78,-1,79,NaN,NaN,70,NaN,-1,75,NaN,97,NaN,NaN,80,NaN,NaN,90,96,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403235016,62,84,NaN,NaN,67,83,NaN,80,61,70,60,83,NaN,67,70,-1,NaN,NaN,-1,64,-1,62,NaN,60,NaN,NaN,NaN,NaN,NaN,63,88,NaN,NaN,63,NaN,-1,NaN,-1,-1,-1,-1,NaN
403235018,13,16,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235019,71,NaN,83,80,86,NaN,76,NaN,64,74,NaN,94,69,70,73,NaN,-1,NaN,-1,NaN,-1,64,71,86,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403235020,68,85,NaN,NaN,70,71,NaN,90,63,68,NaN,65,60,60,NaN,NaN,68,72,-1,NaN,-1,63,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
403235021,61,NaN,76,90,84,NaN,80,NaN,82,71,NaN,81,86,70,82,77,86,71,62,NaN,-1,67,NaN,75,72,NaN,89,NaN,82,NaN,95,NaN,90,87,NaN,NaN,-1,-1,-1,-1,NaN,-1
403235023,60,NaN,83,80,80,NaN,80,NaN,72,70,NaN,73,70,62,77,NaN,88,NaN,75,68,NaN,70,NaN,89,NaN,NaN,85,NaN,NaN,78,NaN,NaN,90,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
