id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352011@水文學@2@1
405235001,81,75,NaN,90,-1,NaN,-1,NaN,NaN
405235002,76,NaN,85,NaN,-1,-1,NaN,-1,NaN
405235003,30,78,NaN,99,-1,NaN,-1,NaN,NaN
405235004,46,NaN,80,NaN,-1,-1,NaN,-1,NaN
405235005,75,77,NaN,85,-1,NaN,-1,NaN,NaN
405235007,77,86,NaN,99,-1,NaN,-1,NaN,NaN
405235008,62,NaN,86,NaN,-1,-1,NaN,-1,NaN
405235009,55,55,NaN,35,-1,NaN,-1,NaN,NaN
405235010,88,NaN,84,NaN,-1,-1,NaN,-1,NaN
405235011,71,83,NaN,99,-1,NaN,-1,NaN,NaN
405235012,10,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN
405235013,75,83,NaN,85,-1,NaN,-1,NaN,NaN
405235014,74,NaN,88,NaN,-1,-1,NaN,-1,NaN
405235015,68,81,NaN,99,-1,NaN,-1,NaN,NaN
405235016,83,NaN,84,NaN,-1,-1,NaN,-1,NaN
405235017,74,83,NaN,99,-1,NaN,-1,NaN,NaN
405235018,76,NaN,86,NaN,-1,-1,NaN,-1,NaN
405235019,64,82,NaN,70,-1,NaN,-1,NaN,-1
405235020,45,NaN,71,NaN,-1,-1,NaN,-1,NaN
405235021,74,82,NaN,85,-1,NaN,-1,NaN,NaN
405235022,60,NaN,82,NaN,-1,-1,NaN,-1,NaN
405235023,67,71,NaN,99,-1,NaN,-1,NaN,NaN
405235024,71,NaN,85,NaN,-1,-1,NaN,-1,NaN
405235025,60,75,NaN,70,-1,NaN,-1,NaN,NaN
405235027,90,87,NaN,99,-1,NaN,-1,NaN,NaN
405235029,71,79,NaN,85,-1,NaN,-1,NaN,NaN
405235034,80,NaN,82,NaN,-1,-1,NaN,-1,NaN
405235035,81,88,NaN,85,-1,NaN,-1,NaN,NaN
405235036,63,NaN,81,NaN,-1,-1,NaN,-1,NaN
405235038,55,NaN,85,NaN,-1,-1,NaN,-1,NaN
405235039,64,80,NaN,99,-1,NaN,-1,NaN,NaN
405235040,92,NaN,88,NaN,-1,-1,NaN,-1,NaN
405235041,55,79,NaN,70,-1,NaN,-1,NaN,NaN
405235042,85,NaN,80,NaN,-1,-1,NaN,-1,NaN
405235043,20,71,NaN,70,-1,NaN,-1,NaN,NaN
405235044,45,NaN,71,NaN,-1,-1,NaN,-1,NaN
405235045,76,81,NaN,85,-1,NaN,-1,NaN,NaN
405235046,91,NaN,86,NaN,-1,-1,NaN,-1,NaN
405235047,87,79,NaN,99,-1,NaN,-1,NaN,NaN
405235048,60,NaN,80,NaN,-1,-1,NaN,-1,NaN
405235049,60,82,NaN,99,-1,NaN,-1,NaN,NaN
405235050,72,NaN,85,NaN,-1,-1,NaN,-1,NaN
405235051,56,80,NaN,99,NaN,NaN,NaN,NaN,NaN
405235052,83,NaN,83,NaN,-1,-1,NaN,-1,NaN
405235053,60,77,NaN,70,-1,NaN,-1,NaN,NaN
405235037,NaN,81,NaN,85,NaN,NaN,NaN,NaN,NaN
405235006,NaN,NaN,62,NaN,NaN,NaN,NaN,-1,NaN
