id,2365001@應用地球物理@1@1,2365003@定年學與其應用@1@1,2365005@應用數值分析@1@1,2365007@書報討論（一）@1@1,2365012@地下水模擬@1@1,2365013@全球定位系統原理與應用@1@1,2365029@穩定同位素地球化學@1@1,2365030@質譜分析@1@1,2365002@書報討論（二）@2@1,2365004@書報討論（四）@2@1,2365008@重磁力測勘@2@1,2365010@環境物理學@2@1,2365020@野外地質@2@1,2365022@環境污染物傳輸@2@1,2365031@地球化學@2@1,2365009@書報討論（三）@1@1,2365011@水文地質學@1@1
604238001,86,NaN,NaN,90,NaN,81,89,NaN,78,-1,77,79,NaN,NaN,77,75,NaN
604238002,87,NaN,NaN,82,90,NaN,NaN,NaN,87,-1,NaN,NaN,NaN,73,74,91,88
604238006,70,NaN,NaN,77,NaN,71,71,77,73,-1,NaN,81,95,NaN,73,75,NaN
604238007,81,85,NaN,85,NaN,89,NaN,85,77,-1,NaN,82,NaN,NaN,80,80,NaN
604238008,83,85,NaN,83,NaN,87,NaN,94,79,-1,NaN,81,NaN,NaN,93,80,NaN
604238009,73,NaN,NaN,73,NaN,82,95,84,78,-1,NaN,88,NaN,87,92,92,NaN
604238010,72,NaN,42,70,85,NaN,70,NaN,76,-1,NaN,89,NaN,33,70,80,80
604238011,90,NaN,NaN,85,NaN,NaN,98,99,84,-1,77,82,NaN,84,99,92,NaN
604238012,80,NaN,NaN,75,NaN,75,76,80,74,74,NaN,81,NaN,NaN,85,81,NaN
604238013,83,NaN,NaN,76,NaN,72,83,NaN,79,-1,NaN,82,NaN,70,75,71,NaN
604238015,84,NaN,NaN,90,NaN,90,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604238016,74,NaN,NaN,88,NaN,73,87,NaN,72,-1,NaN,85,NaN,NaN,70,79,NaN
