id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501003@普通化學@1@1,2501102@生物醫學導讀（一）@1@1,2501888@學系服務學習@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501008@生物統計導論@2@1,2501103@生物醫學導讀(二)@2@1,2501888@學系服務學習@2@1,2502111@動植物形態發生學@2@1,2502001@有機化學（二）@1@1,2502011@生物化學（一）@1@1,2502014@生命科學實驗（一）@1@1,2502111@動植物形態發生學@1@1,2502115@生態學概論@1@1,2502116@組織學@1@1,2503106@專題研究實驗（一）@1@1,2502007@分子生物學@2@1,2502012@生物化學（二）@2@1,2502016@生命科學實驗（二）@2@1,2502017@生化分析@2@1,2502102@人體生理學@2@1,2502107@生活科技概論@2@1,2502113@生物物理化學@2@1,2503113@基礎藥理學@2@1,2501101@基礎醫學導論@1@1,2502105@生物醫學應用@1@1,2503001@普通病毒學@1@1,2503002@遺傳學@1@1,2503007@微生物學@1@1,2503008@生命科學實驗（三）@1@1,2503112@系統生物學概論@1@1,2503121@發育生物學@1@1,2503122@生命科學論文閱讀與寫作@1@1,2504107@訊息傳遞@1@1,2502114@生物資訊概論@2@1,2503005@細胞生物學@2@1,2503006@免疫學@2@1,2503102@分子癌症學@2@1,2503107@專題研究實驗（二）@2@1,2504003@專題討論（二）@2@2,2504116@神經科學探索@2@1,2503113@基礎藥理學@1@1,2504002@專題討論（一）@1@1,2504002@專題討論（一）@1@2,2504108@專題研究實驗（三）@1@1,2504115@基因技術產業實習@1@1,2503110@結構生物學@2@1,2503123@模式生物之生物醫學研究@2@1,2504003@專題討論（二）@2@1,2504109@專題研究實驗（四）@2@1
402250002,55,79,62,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250003,60,83,45,NaN,85,60,86,63,61,81,NaN,NaN,53,18,69,NaN,NaN,NaN,NaN,-1,NaN,83,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,62,60,79,NaN,68,82,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402250004,82,86,84,85,NaN,87,88,69,60,86,90,74,67,65,71,NaN,65,62,NaN,65,62,81,78,65,87,NaN,61,NaN,78,88,81,81,79,NaN,89,NaN,NaN,79,70,75,84,NaN,NaN,88,NaN,NaN,88,NaN,NaN,NaN,-1,-1,NaN
402250005,74,75,80,71,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250006,60,74,60,63,NaN,62,84,60,-1,NaN,85,NaN,60,65,70,NaN,NaN,66,NaN,62,60,78,64,66,NaN,NaN,67,NaN,82,76,70,60,81,NaN,NaN,77,60,NaN,65,68,70,NaN,-1,74,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
402250007,63,82,73,73,70,74,80,77,70,NaN,NaN,NaN,71,74,80,81,NaN,67,85,76,71,88,83,66,NaN,84,74,NaN,NaN,85,83,64,89,NaN,83,NaN,73,NaN,75,73,78,65,-1,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250009,76,82,62,69,90,76,86,61,69,78,NaN,NaN,60,60,82,NaN,69,65,NaN,62,-1,88,63,63,85,NaN,NaN,NaN,83,80,77,81,76,NaN,77,83,NaN,NaN,70,60,67,NaN,NaN,72,66,NaN,84,NaN,NaN,NaN,NaN,-1,NaN
402250010,94,81,77,77,NaN,96,89,79,77,87,86,NaN,78,68,89,93,87,NaN,88,82,62,90,81,67,86,NaN,NaN,NaN,NaN,93,90,92,94,88,94,87,NaN,96,78,88,92,90,NaN,84,79,NaN,85,85,NaN,NaN,NaN,-1,NaN
402250011,76,75,85,66,90,76,88,73,67,NaN,NaN,NaN,61,61,82,NaN,61,66,NaN,68,60,90,69,63,82,NaN,NaN,NaN,NaN,76,75,71,87,79,66,NaN,NaN,NaN,67,62,71,90,NaN,67,56,62,NaN,50,NaN,-1,NaN,-1,NaN
402250012,61,84,67,73,NaN,61,87,70,71,NaN,85,NaN,70,66,75,66,70,67,NaN,65,61,81,-1,60,NaN,82,65,NaN,74,80,63,70,80,73,68,80,NaN,-1,60,60,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN
402250013,88,91,83,96,85,98,90,96,79,92,NaN,NaN,99,72,80,NaN,NaN,86,85,69,66,92,82,71,84,93,74,NaN,83,87,87,99,90,NaN,91,90,NaN,NaN,85,84,99,90,-1,NaN,NaN,87,NaN,90,NaN,NaN,NaN,NaN,-1
402250014,65,89,65,65,NaN,60,86,70,61,77,85,NaN,83,62,80,60,NaN,60,NaN,-1,-1,75,65,58,79,NaN,NaN,NaN,87,83,65,66,78,77,67,80,NaN,NaN,-1,45,62,NaN,-1,72,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402250015,73,86,74,77,85,81,83,76,71,80,NaN,NaN,64,61,83,NaN,NaN,80,NaN,-1,63,89,60,66,80,83,NaN,NaN,75,80,82,67,90,NaN,71,85,NaN,NaN,70,75,NaN,NaN,-1,NaN,68,85,NaN,NaN,NaN,NaN,-1,NaN,NaN
402250016,64,80,72,62,NaN,63,88,60,62,NaN,85,NaN,83,64,78,78,74,67,NaN,60,64,90,69,63,77,NaN,NaN,NaN,NaN,78,73,68,86,83,77,NaN,NaN,-1,78,76,78,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN
402250017,70,86,80,61,85,74,90,74,79,-1,NaN,NaN,63,60,75,85,76,60,NaN,62,62,91,-1,62,69,NaN,NaN,NaN,NaN,80,63,71,88,75,72,76,45,-1,60,64,NaN,NaN,NaN,NaN,55,63,NaN,NaN,NaN,-1,NaN,-1,NaN
402250018,72,80,75,NaN,NaN,79,77,65,69,67,84,NaN,60,67,81,71,NaN,71,NaN,-1,-1,72,-1,62,75,NaN,NaN,NaN,NaN,79,81,75,75,NaN,63,NaN,NaN,NaN,62,64,NaN,NaN,NaN,NaN,75,NaN,86,NaN,NaN,NaN,-1,-1,NaN
402250019,61,81,64,63,80,54,80,60,52,NaN,NaN,NaN,51,18,66,NaN,68,NaN,NaN,28,NaN,60,23,56,73,NaN,NaN,NaN,77,63,45,53,75,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250020,77,85,65,NaN,NaN,82,87,72,74,NaN,88,NaN,71,65,80,78,81,63,NaN,63,60,83,61,67,NaN,87,NaN,NaN,81,80,82,76,81,78,67,87,NaN,-1,62,62,NaN,NaN,NaN,NaN,60,NaN,90,NaN,NaN,NaN,NaN,-1,NaN
402250021,69,82,75,63,85,73,68,74,88,NaN,NaN,NaN,81,71,74,NaN,84,60,80,70,-1,78,60,64,79,86,NaN,NaN,NaN,77,73,65,86,69,63,86,NaN,NaN,60,-1,60,80,-1,NaN,60,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250022,73,81,77,72,NaN,88,82,70,76,85,84,NaN,71,62,77,NaN,89,66,NaN,79,60,81,93,61,84,NaN,NaN,NaN,83,91,92,88,92,91,91,90,69,NaN,94,90,92,NaN,-1,85,NaN,NaN,92,NaN,90,NaN,NaN,NaN,NaN
402250023,71,82,76,77,80,74,89,79,73,NaN,NaN,85,74,61,82,NaN,NaN,60,85,65,60,92,62,64,NaN,NaN,NaN,NaN,85,89,85,83,85,93,87,84,NaN,NaN,69,63,85,NaN,-1,NaN,72,86,NaN,NaN,88,NaN,NaN,NaN,NaN
402250024,64,86,72,69,NaN,64,89,60,62,81,84,NaN,65,63,79,82,87,72,91,64,60,81,60,65,NaN,NaN,NaN,NaN,NaN,87,80,70,84,77,72,84,NaN,79,71,68,77,90,88,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402250026,68,84,82,70,NaN,72,88,74,65,77,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250027,68,88,65,63,80,-1,71,65,60,76,NaN,NaN,62,34,79,60,56,60,NaN,-1,-1,81,6,-1,73,83,NaN,NaN,79,67,53,60,78,54,50,79,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,47,NaN,80,NaN,NaN,-1,NaN,NaN,NaN
402250028,66,83,63,61,NaN,66,75,60,55,NaN,84,NaN,62,69,76,NaN,74,60,NaN,-1,64,75,51,65,NaN,80,NaN,NaN,76,81,64,65,63,71,67,NaN,NaN,66,-1,46,NaN,NaN,-1,NaN,66,NaN,84,NaN,NaN,-1,NaN,NaN,NaN
402250029,65,80,73,61,80,64,82,66,65,65,NaN,NaN,72,66,72,60,NaN,50,85,60,-1,62,62,69,NaN,81,62,NaN,73,75,68,62,77,60,60,NaN,NaN,NaN,62,62,60,NaN,NaN,NaN,NaN,66,NaN,60,NaN,NaN,NaN,-1,-1
402250031,76,83,89,74,90,73,88,84,76,85,NaN,NaN,76,60,79,NaN,NaN,65,NaN,66,81,82,69,67,85,84,NaN,NaN,83,89,85,81,78,81,NaN,NaN,NaN,85,76,62,85,NaN,-1,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250032,67,86,82,65,NaN,76,87,81,60,83,82,NaN,62,72,77,NaN,87,60,NaN,75,69,80,60,71,83,83,NaN,NaN,81,87,87,87,83,89,79,85,NaN,NaN,80,76,90,NaN,-1,85,69,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402250033,74,87,73,70,90,71,88,72,75,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250034,78,82,78,78,NaN,80,86,86,82,80,80,NaN,83,71,78,NaN,91,66,NaN,85,73,89,79,66,82,87,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250035,76,73,68,30,80,NaN,NaN,56,NaN,NaN,NaN,NaN,53,39,85,NaN,62,46,NaN,39,NaN,71,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250036,61,90,75,74,NaN,60,82,71,60,NaN,84,NaN,64,70,71,77,80,83,86,72,62,85,62,-1,NaN,89,NaN,NaN,NaN,83,79,76,86,72,NaN,NaN,60,72,68,71,71,88,NaN,NaN,69,NaN,92,80,NaN,NaN,-1,-1,-1
402250037,84,93,97,89,90,93,91,79,94,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250038,81,80,99,86,NaN,86,88,93,85,NaN,85,NaN,88,68,95,NaN,NaN,NaN,90,90,81,95,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250039,68,76,73,62,85,70,88,62,65,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250041,72,84,86,75,80,72,86,62,60,NaN,NaN,NaN,73,64,79,NaN,NaN,61,NaN,64,-1,81,47,-1,NaN,NaN,NaN,NaN,NaN,66,60,67,81,70,65,NaN,41,69,-1,-1,60,NaN,-1,64,56,82,NaN,NaN,NaN,-1,NaN,NaN,NaN
402250042,81,83,90,NaN,NaN,78,87,71,80,NaN,84,NaN,83,74,89,NaN,NaN,68,92,86,80,88,92,80,NaN,NaN,NaN,NaN,85,94,97,82,87,84,NaN,84,NaN,92,94,90,96,NaN,NaN,71,83,NaN,88,NaN,NaN,NaN,NaN,-1,NaN
402250043,61,61,90,77,70,92,90,99,84,NaN,NaN,87,99,76,93,NaN,NaN,72,83,89,74,99,81,-1,86,84,NaN,NaN,70,70,74,94,96,63,69,81,68,NaN,73,74,72,80,-1,73,73,65,NaN,60,NaN,NaN,NaN,NaN,-1
402250044,73,76,46,45,NaN,81,87,77,68,NaN,88,NaN,66,67,68,NaN,NaN,70,NaN,65,-1,69,-1,-1,NaN,88,NaN,NaN,NaN,79,64,71,60,NaN,65,NaN,NaN,NaN,67,65,69,NaN,NaN,NaN,60,NaN,74,NaN,NaN,NaN,-1,-1,NaN
402250045,74,79,60,74,85,85,82,65,61,NaN,NaN,NaN,73,73,77,NaN,NaN,67,NaN,75,69,73,-1,-1,NaN,84,NaN,NaN,NaN,82,70,70,69,NaN,81,NaN,NaN,NaN,69,60,64,NaN,NaN,NaN,66,74,NaN,NaN,NaN,NaN,NaN,-1,NaN
402250046,84,84,69,80,NaN,95,86,80,91,NaN,82,NaN,82,60,82,NaN,94,60,85,72,-1,80,60,66,NaN,NaN,NaN,NaN,79,85,85,79,88,75,70,NaN,62,NaN,65,63,71,79,NaN,68,NaN,NaN,85,NaN,83,NaN,-1,-1,NaN
402250008,NaN,NaN,NaN,NaN,NaN,17,1,3,0,0,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
