id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501003@普通化學@1@1,2501102@生物醫學導讀（一）@1@1,2501888@學系服務學習@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501008@生物統計導論@2@1,2501103@生物醫學導讀(二)@2@1,2501888@學系服務學習@2@1,2502007@分子生物學@2@1,2501101@基礎醫學導論@1@1,2502001@有機化學（二）@1@1,2502011@生物化學（一）@1@1,2502014@生命科學實驗（一）@1@1,2502105@生物醫學應用@1@1,2503001@普通病毒學@1@1,2503007@微生物學@1@1,2502012@生物化學（二）@2@1,2502016@生命科學實驗（二）@2@1,2502017@生化分析@2@1,2502114@生物資訊概論@2@1,2503102@分子癌症學@2@1,2504116@神經科學探索@2@1,2502116@組織學@1@1,2503002@遺傳學@1@1,2503008@生命科學實驗（三）@1@1,2503106@專題研究實驗（一）@1@1,2503112@系統生物學概論@1@1,2503113@基礎藥理學@1@1,2503121@發育生物學@1@1,2503122@生命科學論文閱讀與寫作@1@1,2504115@基因技術產業實習@1@1,2502102@人體生理學@2@1,2503005@細胞生物學@2@1,2503006@免疫學@2@1,2503107@專題研究實驗（二）@2@1,2503110@結構生物學@2@1,2503123@模式生物之生物醫學研究@2@1,2504003@專題討論（二）@2@2
403250001,77,83,65,80,85,74,89,72,75,NaN,NaN,41,NaN,70,NaN,70,NaN,NaN,NaN,NaN,60,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250002,64,83,67,76,NaN,67,81,69,60,82,82,71,NaN,64,69,79,76,78,77,-1,75,-1,71,NaN,NaN,NaN,69,79,88,70,70,71,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403250003,65,91,74,78,85,75,90,67,62,75,NaN,66,NaN,48,74,77,NaN,77,76,-1,82,-1,NaN,NaN,NaN,NaN,69,84,NaN,NaN,60,72,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250005,92,92,75,83,90,93,88,78,75,90,NaN,97,NaN,99,73,85,85,83,74,98,95,95,90,NaN,NaN,NaN,84,86,90,95,64,86,92,NaN,-1,-1,-1,-1,-1,NaN,NaN
403250006,92,92,78,95,NaN,89,93,92,82,94,84,81,NaN,95,82,86,81,74,97,76,95,96,-1,NaN,NaN,NaN,87,88,95,NaN,63,77,88,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250007,72,87,73,89,80,65,83,77,66,83,NaN,71,NaN,60,60,82,80,77,65,-1,85,60,-1,NaN,NaN,NaN,68,77,87,82,64,76,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
403250008,76,90,63,87,NaN,75,86,86,72,NaN,84,76,NaN,72,63,83,NaN,83,65,68,91,97,85,NaN,NaN,NaN,76,83,92,80,70,70,83,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250009,66,86,76,86,85,54,88,78,61,75,NaN,55,NaN,72,31,82,81,74,60,-1,80,-1,63,NaN,NaN,NaN,41,75,85,66,55,55,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403250010,76,86,78,78,NaN,60,87,62,64,80,81,78,NaN,70,60,86,NaN,74,81,75,89,88,-1,NaN,NaN,NaN,78,85,NaN,NaN,60,83,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250011,92,89,83,93,90,81,89,83,81,86,NaN,88,NaN,86,91,85,81,81,72,88,89,78,85,NaN,NaN,NaN,76,78,NaN,NaN,69,74,85,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
