id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602211@有機化學（一）@1@1,2602217@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602212@有機化學（二）@2@1,2602218@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602421@物理化學（一）@2@1,2602431@物理化學實驗（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2601101@普通化學（一）@1@2,2603301@無機化學（一）@1@1,2603402@物理化學（二）@1@1,2603407@物理化學實驗（一）@1@1,2603422@物理化學（二）@1@1,2603432@物理化學實驗（二）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603901@專題研究（一）@1@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603711@材料化學導論@2@1,2603902@專題研究(二)@2@1,2603711@材料化學導論@1@1,2604701@專題研究（三）@1@1,2604901@有機化學書報討論（一）@1@1,2604902@無機化學書報討論（一）@1@1,2604903@物理化學書報討論（一）@1@1,2604904@分析化學書報討論（一）@1@1,2604702@專題研究（四）@2@1,2604905@有機化學書報討論（二）@2@1,2604906@無機化學書報討論（二）@2@1,2604907@物理化學書報討論（二）@2@1,2604908@分析化學書報討論（二）@2@1
400260005,64,70,70,70,66,68,NaN,64,75,NaN,NaN,86,65,70,64,69,NaN,NaN,73,NaN,NaN,65,66,NaN,NaN,60,60,80,NaN,NaN,NaN,76,NaN,63,93,69,69,70,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN
400260006,72,78,55,NaN,67,76,70,69,75,NaN,NaN,95,64,79,60,71,NaN,NaN,89,NaN,NaN,60,NaN,74,NaN,70,60,80,NaN,NaN,66,73,NaN,74,60,72,NaN,76,85,NaN,85,NaN,NaN,NaN,86,80,NaN,NaN,NaN,75
400260007,79,81,70,90,69,71,NaN,60,79,NaN,NaN,84,79,79,60,72,NaN,NaN,88,NaN,NaN,77,NaN,71,NaN,69,82,80,NaN,NaN,63,78,NaN,66,63,70,63,64,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,70
400260008,72,79,60,NaN,65,71,80,60,74,NaN,NaN,71,63,72,60,65,NaN,NaN,65,NaN,NaN,66,65,NaN,NaN,72,60,76,NaN,NaN,67,77,NaN,63,61,68,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,65,NaN,NaN,NaN
400260009,68,82,87,80,70,77,NaN,73,86,NaN,NaN,95,77,80,66,79,NaN,NaN,86,NaN,NaN,74,NaN,83,NaN,73,84,86,NaN,NaN,73,88,NaN,80,66,75,60,79,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,85,NaN
400260010,82,87,76,NaN,75,81,80,77,79,NaN,NaN,72,80,83,66,74,NaN,NaN,69,NaN,NaN,85,75,NaN,NaN,85,65,81,NaN,NaN,75,86,80,82,61,72,NaN,94,85,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76
400260011,53,65,62,70,67,78,NaN,60,80,NaN,NaN,89,66,84,60,70,NaN,NaN,88,NaN,NaN,80,NaN,82,69,67,65,81,NaN,NaN,72,82,NaN,69,61,73,NaN,NaN,85,NaN,95,NaN,NaN,NaN,86,90,NaN,NaN,80,NaN
400260012,77,74,66,NaN,62,70,80,60,82,NaN,NaN,79,66,66,61,67,NaN,NaN,60,NaN,NaN,78,64,NaN,NaN,67,60,77,NaN,NaN,63,67,NaN,63,45,71,NaN,65,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,73,NaN,NaN,NaN
400260013,81,74,61,70,91,73,NaN,76,84,NaN,NaN,77,88,79,74,73,NaN,NaN,68,NaN,NaN,84,66,NaN,NaN,73,76,80,NaN,NaN,65,78,NaN,80,63,73,NaN,72,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN
400260014,70,63,60,NaN,60,64,80,43,68,NaN,NaN,62,63,70,56,69,NaN,NaN,16,NaN,NaN,67,NaN,68,NaN,48,30,79,NaN,NaN,67,60,NaN,19,14,66,NaN,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN
400260015,73,76,70,75,60,75,NaN,60,68,NaN,NaN,74,76,72,60,60,NaN,NaN,81,NaN,NaN,60,NaN,69,NaN,80,79,79,NaN,NaN,61,62,NaN,65,61,70,NaN,60,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,70,NaN,NaN
400260016,72,89,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400260017,82,80,87,70,97,77,NaN,83,85,NaN,NaN,80,96,83,82,81,NaN,NaN,81,NaN,NaN,98,77,NaN,NaN,77,79,76,NaN,NaN,99,89,NaN,92,93,70,NaN,96,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,80
400260018,78,84,78,NaN,78,82,70,62,79,NaN,NaN,91,70,85,67,78,NaN,NaN,80,NaN,NaN,73,79,NaN,NaN,70,64,82,NaN,NaN,81,71,NaN,75,68,73,76,69,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,80,NaN
