id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2603301@無機化學（一）@1@1,2603402@物理化學（二）@1@1,2603407@物理化學實驗（一）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603901@專題研究（一）@1@1,2601601@生物學@2@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603711@材料化學導論@2@1,2603902@專題研究(二)@2@1
403260001,75,84,NaN,75,56,75,NaN,50,76,9,17,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403260002,71,78,64,NaN,60,73,80,68,68,68,64,75,69,60,95,60,72,NaN,66,61,75,63,83,NaN,NaN,-1,-1,-1,NaN,-1,NaN
403260003,71,80,64,75,67,76,NaN,60,67,60,65,81,64,60,92,63,75,NaN,56,60,74,60,81,NaN,NaN,-1,-1,-1,NaN,-1,NaN
403260004,72,68,68,NaN,64,63,80,75,63,62,73,72,76,60,94,69,NaN,68,75,70,75,68,82,NaN,NaN,-1,-1,-1,NaN,-1,NaN
403260005,80,84,85,75,80,84,NaN,75,75,71,77,79,74,69,84,95,81,NaN,75,75,80,93,80,88,NaN,-1,-1,-1,-1,-1,-1
403260009,66,75,83,75,60,87,NaN,54,78,60,37,81,-1,74,91,27,70,NaN,48,34,76,51,76,NaN,NaN,-1,-1,-1,-1,-1,NaN
403260010,78,81,67,NaN,69,75,80,60,75,42,35,79,64,65,73,74,74,NaN,56,40,77,81,80,NaN,NaN,-1,-1,-1,-1,-1,NaN
403260011,73,83,67,75,71,79,NaN,90,76,88,84,82,95,72,98,73,78,NaN,88,85,75,80,82,NaN,NaN,-1,-1,-1,NaN,-1,NaN
403260012,83,80,61,NaN,69,72,80,81,76,65,79,81,83,68,91,79,73,NaN,80,60,74,71,83,NaN,NaN,-1,-1,-1,NaN,-1,NaN
403260013,81,88,88,75,94,76,NaN,80,80,84,95,87,74,74,96,74,82,NaN,72,65,76,79,88,NaN,NaN,-1,-1,-1,-1,NaN,NaN
403260014,57,82,79,NaN,54,76,80,70,69,61,66,81,60,69,94,63,NaN,80,63,69,75,55,82,NaN,NaN,-1,-1,-1,-1,-1,-1
403260015,68,85,67,75,75,82,NaN,82,79,76,76,87,77,68,98,68,NaN,82,73,60,76,86,82,NaN,NaN,-1,-1,-1,NaN,-1,NaN
