id,2601101@普通化學（一）@1@4,2601107@普通化學實驗（一）@1@4,2601102@普通化學（二）@2@4,2601108@普通化學實驗（二）@2@4,2601101@普通化學（一）@1@2,2601101@普通化學（一）@1@3,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@3,2601601@生物學@2@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@2
404235002,81,74,82,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235003,70,72,60,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235004,60,79,68,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235005,65,71,49,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235006,55,77,81,79,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235007,53,68,51,64,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235008,46,65,20,33,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404235010,57,65,-1,68,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235011,60,73,61,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235012,41,69,NaN,65,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
