id,2605211@高等有機化學（一）@1@1,2605237@生化分子@1@1,2605266@有機反應與機制@1@1,2605307@高等無機化學@1@1,2605317@固態化學@1@1,2605417@高等量子化學@1@1,2605441@光譜應用（一）@1@1,2605507@光譜化學分析與化學計量學@1@1,2605527@分離方法@1@1,2605717@工業觸媒化學@1@1,2605901@有機化學書報討論（一）@1@1,2605905@無機化學書報討論（一）@1@1,2605909@物理化學書報討論（一）@1@1,2605913@分析化學書報討論（一）@1@1,2605202@有機合成（二）@2@1,2605242@有機光譜分析化學（二）@2@1,2605257@綠色合成化學@2@1,2605269@藥物生化@2@1,2605328@有機金屬化學@2@1,2605338@無機光譜化學@2@1,2605422@化學動力學（二）@2@1,2605457@計算化學@2@1,2605519@電分析與感測器@2@1,2605531@生物分析化學（一）@2@1,2605707@奈米材料科學@2@1,2605728@應用化學專論@2@1,2605921@有機化學書報討論（二）@2@1,2605925@無機化學書報討論（二）@2@1,2605929@物理化學書報討論（二）@2@1,2605933@分析化學書報討論（二）@2@1,2605242@有機光譜分析化學（二）@1@1,2605328@有機金屬化學@1@1,2605528@化學生物學@1@1,2605902@有機化學書報討論（三）@1@1,2605906@無機化學書報討論（三）@1@1,2605910@物理化學書報討論（三）@1@1,2605914@分析化學書報討論（三）@1@1,2605211@高等有機化學（一）@2@1,2605317@固態化學@2@1,2605922@有機化學書報討論（四）@2@1,2605926@無機化學書報討論（四）@2@1,2605930@物理化學書報討論（四）@2@1,2605934@分析化學書報討論（四）@2@1
604260001,82,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,89,83,NaN,NaN,NaN,92,70,90,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260005,73,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,75,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,-1
604260015,81,89,80,NaN,NaN,NaN,NaN,NaN,NaN,78,78,NaN,NaN,NaN,85,95,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604260021,70,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,82,80,NaN,NaN,NaN,78,86,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,83,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260022,85,78,90,NaN,NaN,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,NaN,94,77,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260026,76,70,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,77,83,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260029,51,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,70,NaN,NaN,NaN,84,NaN,NaN,80,78,NaN,NaN,NaN,NaN,70,82,NaN,92,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,-1
604260035,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,-1
604260036,83,80,75,NaN,NaN,NaN,NaN,NaN,NaN,87,84,NaN,NaN,NaN,87,74,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260049,80,80,84,NaN,NaN,NaN,NaN,NaN,NaN,94,85,NaN,NaN,NaN,NaN,77,87,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
