id,2605237@生化分子@1@1,2605242@有機光譜分析化學（二）@1@1,2605266@有機反應與機制@1@1,2605307@高等無機化學@1@1,2605328@有機金屬化學@1@1,2605417@高等量子化學@1@1,2605422@化學動力學（二）@1@1,2605441@光譜應用（一）@1@1,2605507@光譜化學分析與化學計量學@1@1,2605527@分離方法@1@1,2605528@化學生物學@1@1,2605717@工業觸媒化學@1@1,2605901@有機化學書報討論（一）@1@1,2605905@無機化學書報討論（一）@1@1,2605909@物理化學書報討論（一）@1@1,2605913@分析化學書報討論（一）@1@1,2605914@分析化學書報討論（三）@1@1,2605211@高等有機化學（一）@2@1,2605257@綠色合成化學@2@1,2605269@藥物生化@2@1,2605317@固態化學@2@1,2605338@無機光譜化學@2@1,2605519@電分析與感測器@2@1,2605531@生物分析化學（一）@2@1,2605707@奈米材料科學@2@1,2605921@有機化學書報討論（二）@2@1,2605925@無機化學書報討論（二）@2@1,2605929@物理化學書報討論（二）@2@1,2605933@分析化學書報討論（二）@2@1,2605934@分析化學書報討論（四）@2@1
605260002,84,80,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,81,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260007,85,82,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,83,81,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260013,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,70,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605260023,85,85,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,81,85,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260024,90,72,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,82,85,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260032,82,87,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
605260035,85,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,85,80,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260038,90,72,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,82,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
605260057,80,65,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,79,85,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260062,86,80,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260012,NaN,81,93,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,78,95,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260030,NaN,55,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,72,87,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
605260046,NaN,81,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,92,74,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260018,NaN,NaN,94,NaN,93,NaN,NaN,NaN,NaN,NaN,81,89,80,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605260029,NaN,NaN,43,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,80,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
605260042,NaN,NaN,70,84,92,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605260044,NaN,NaN,44,10,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605260001,NaN,NaN,NaN,80,77,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260021,NaN,NaN,NaN,84,71,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260034,NaN,NaN,NaN,81,75,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260043,NaN,NaN,NaN,92,89,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260047,NaN,NaN,NaN,95,77,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260054,NaN,NaN,NaN,92,88,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260061,NaN,NaN,NaN,76,77,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260066,NaN,NaN,NaN,72,NaN,80,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
605260067,NaN,NaN,NaN,51,70,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605260048,NaN,NaN,NaN,NaN,NaN,83,89,83,NaN,NaN,NaN,72,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
605260050,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
605260052,NaN,NaN,NaN,NaN,NaN,87,39,70,NaN,NaN,NaN,79,NaN,NaN,76,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
605260065,NaN,NaN,NaN,NaN,NaN,90,85,82,NaN,NaN,NaN,88,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
605260004,NaN,NaN,NaN,NaN,NaN,NaN,96,84,NaN,NaN,NaN,88,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
605260022,NaN,NaN,NaN,NaN,NaN,NaN,71,81,NaN,NaN,NaN,73,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
605260003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,75,NaN,88,NaN,NaN,NaN,74,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
605260008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,97,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
605260010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,85,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
605260015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,91,NaN,93,NaN,NaN,NaN,77,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
605260020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,86,NaN,83,NaN,NaN,NaN,75,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
605260031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,77,NaN,74,NaN,NaN,NaN,77,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
605260037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,97,NaN,82,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
605260039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,76,NaN,65,NaN,NaN,NaN,73,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
605260040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,88,NaN,82,NaN,NaN,NaN,74,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
