id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3101035@社會工作概論@1@1,3101054@心理學@1@1,3101888@學系服務學習@1@1,3102010@人類行為與社會環境@1@1,3101013@人口學@2@1,3101022@社會學（二）@2@1,3101024@經濟學（二）@2@1,3101034@社會福利概論（二）@2@1,3101888@學系服務學習@2@1,3102152@社會工作管理@2@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102135@法學緒論@1@1,3102157@高齡社會：機會與挑戰@1@1,3102162@社會團體工作@1@1,3101035@社會工作概論@2@1,3101051@社會心理學@2@1,3102016@社會問題@2@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102164@精神與智能障礙者的社區照顧@2@1,3103035@社會福利行政@2@1
404310001,74,72,80,61,83,86,76,80,74,68,70,NaN,78,77,70,80,NaN,80,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310002,84,91,77,70,87,NaN,84,85,91,91,78,85,-1,97,88,84,91,85,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310003,83,84,86,73,93,86,89,85,88,76,78,NaN,86,94,86,83,88,95,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310004,82,88,74,60,76,NaN,NaN,76,88,75,64,85,-1,60,63,71,94,74,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404310005,88,90,85,69,77,86,NaN,83,96,80,83,NaN,-1,78,82,69,90,80,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404310007,85,92,84,84,90,86,84,NaN,96,95,87,NaN,-1,NaN,NaN,85,90,85,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
404310008,80,69,80,65,78,NaN,77,90,82,79,72,85,66,76,84,73,87,80,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310009,74,84,80,56,83,86,NaN,84,77,75,67,NaN,-1,80,69,70,77,80,-1,-1,-1,-1,-1,NaN,-1,-1
404310010,81,70,77,65,93,NaN,82,90,85,83,73,85,-1,85,83,65,89,82,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310011,75,83,76,60,NaN,86,NaN,85,94,76,71,NaN,-1,86,90,82,86,87,NaN,-1,-1,-1,-1,NaN,-1,NaN
404310012,89,75,84,71,86,NaN,80,93,96,88,74,85,-1,91,90,80,91,82,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310013,87,92,82,77,90,86,83,85,96,97,85,NaN,-1,96,90,85,97,87,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310015,92,95,84,82,91,86,87,85,96,97,84,NaN,-1,96,91,86,97,85,NaN,-1,-1,-1,-1,-1,NaN,NaN
