id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3101054@心理學@1@1,3101888@學系服務學習@1@1,3102157@高齡社會：機會與挑戰@1@1,3101022@社會學（二）@2@1,3101024@經濟學（二）@2@1,3101034@社會福利概論（二）@2@1,3101035@社會工作概論@2@1,3101888@學系服務學習@2@1,3102152@社會工作管理@2@1,3103035@社會福利行政@2@1,3103075@社會福利區位分析@2@1
405310001,84,85,81,86,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310002,72,81,58,82,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310003,85,83,79,86,84,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310004,70,73,69,73,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310005,82,82,77,68,84,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN
405310006,85,77,72,86,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310007,70,72,58,76,70,69,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310008,88,91,80,93,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN
405310009,88,84,82,87,84,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310010,86,90,83,85,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN
405310011,81,84,80,91,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310014,94,92,81,90,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310015,86,86,77,NaN,84,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310016,89,88,85,89,NaN,82,-1,-1,-1,-1,-1,-1,NaN,NaN
405310017,79,84,75,86,84,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310019,79,79,77,89,84,81,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310020,81,78,81,93,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN
405310021,87,70,79,NaN,84,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310022,89,79,79,85,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,NaN
405310023,82,80,90,76,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310024,82,89,73,85,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN
405310025,72,61,69,NaN,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310026,79,54,75,73,NaN,78,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310027,65,51,58,62,70,75,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310028,85,70,66,75,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310029,80,81,70,85,84,82,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310030,81,72,76,NaN,NaN,84,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405310033,66,62,58,54,70,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310034,64,77,64,74,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN
405310035,79,83,78,76,84,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN
405310036,75,71,70,74,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310037,82,83,76,87,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310038,75,74,69,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN
405310039,98,77,86,87,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310040,82,77,72,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310041,88,81,75,79,84,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405310043,79,90,79,88,84,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN
405310044,89,96,78,84,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,-1
405310045,78,80,72,82,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
405310046,87,89,75,NaN,NaN,77,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310048,74,76,71,81,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN
405310049,88,88,73,81,84,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN
405310050,76,67,81,85,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN
405310051,94,84,71,NaN,84,74,-1,-1,-1,-1,NaN,-1,-1,NaN
405310052,84,83,83,93,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN
405310053,92,83,87,NaN,84,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
