id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3102016@社會問題@1@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102141@社會團體工作導論@1@1,3102151@社會工作概論@1@1,3103069@方案設計與評估@1@1,3103088@樂活呷百二－高齡化社會問題與對策@1@1,3101022@社會學（二）@2@1,3101034@社會福利概論（二）@2@1,3101051@社會心理學@2@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102135@法學緒論@2@1,3102145@社區工作@2@1,3102152@社會工作管理@2@1,3102153@長期照護保險與財務@2@1,3103035@社會福利行政@2@1,3101053@健康保險概論@1@1,3102143@人類行為與社會環境@1@1,3102155@非營利組織管理@1@1,3103014@社會研究法（一）@1@1,3103016@社會福利財政@1@1,3103075@社會福利區位分析@1@1,3103090@社會風險管理導論@1@1,3104025@社會政策與立法@1@1,3104057@社會保險財務@1@1,3101024@經濟學（二）@2@1,3102156@障礙研究：理論與議題@2@1,3103018@社會研究法（二）@2@1,3103031@社會福利資料分析@2@1,3103042@社會不均@2@1,3103066@家庭政策@2@1,3103077@社會福利實習（一）：A組@2@1,3103078@社會福利實習（一）：B組@2@1,3103079@社會福利實習（一）：C組@2@1,3104058@福利國家發展@2@1,3102157@高齡社會：機會與挑戰@1@1,3102158@社會福利區位分析@1@1,3103092@社會福利服務@1@1,3104051@社會福利實習（二）：A組@1@1,3104052@社會福利實習（二）：B組@1@1,3104053@社會福利實習（二）：C組@1@1,3104059@健康與現代社會@1@1,3101054@心理學@2@1,3102159@貧窮與福祉@2@1,3102160@公益創投與社會企業@2@1,3103071@健康保險理論與實務@2@1,3104060@長期照護制度@2@1,3101054@心理學@1@1,3102161@兒童褔利服務@1@1,3103093@社會保險財務@1@1,3104902@社會政策與社會立法@1@1,3102012@社會福利經濟分析@2@1,3101048@非營利組織管理@1@1,3101049@社會福利資訊管理@1@1,3101013@人口學@2@1,3101048@非營利組織管理@2@1
499310018,71,20,60,0,40,0,0,NaN,NaN,NaN,66,25,69,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499310002,85,73,60,72,63,63,76,67,67,67,50,67,60,64,69,NaN,67,77,69,NaN,65,NaN,69,NaN,63,69,NaN,NaN,77,NaN,72,NaN,68,NaN,75,NaN,NaN,83,NaN,88,75,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,75,NaN
499310005,88,85,81,87,80,83,82,88,90,NaN,77,74,NaN,79,76,84,86,91,86,NaN,83,NaN,86,NaN,84,88,NaN,NaN,89,NaN,71,NaN,91,NaN,84,85,85,NaN,NaN,90,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,81,NaN
499310006,86,78,76,89,74,77,74,87,84,NaN,76,62,71,72,75,84,79,89,NaN,NaN,73,NaN,74,NaN,75,60,85,NaN,89,NaN,64,NaN,85,NaN,83,70,89,NaN,NaN,89,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68
499310007,87,92,74,82,70,74,81,87,86,NaN,71,71,82,86,70,85,82,92,81,NaN,86,NaN,78,NaN,81,75,85,NaN,83,88,66,NaN,90,90,88,82,NaN,NaN,86,89,NaN,NaN,NaN,82,NaN,NaN,93,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,78,NaN
499310008,87,85,77,80,86,74,86,83,87,NaN,75,66,90,79,73,85,79,90,80,NaN,89,NaN,80,NaN,76,82,86,NaN,94,88,72,NaN,89,89,87,88,NaN,92,NaN,89,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN
499310009,93,91,83,91,81,90,85,88,91,NaN,81,78,86,82,85,89,78,NaN,83,85,90,89,87,NaN,84,87,90,NaN,89,91,93,NaN,88,NaN,87,NaN,NaN,84,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN
499310010,87,89,77,80,91,83,84,86,82,NaN,78,76,68,84,80,83,88,88,90,NaN,91,NaN,77,NaN,82,77,NaN,NaN,89,NaN,71,NaN,81,NaN,89,NaN,NaN,NaN,87,89,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,65
499310011,82,70,69,80,72,77,73,72,81,NaN,69,63,78,75,73,84,82,88,74,85,77,NaN,77,NaN,70,64,NaN,NaN,82,NaN,54,NaN,80,NaN,86,NaN,NaN,NaN,85,89,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
499310012,87,83,69,87,73,79,81,87,85,NaN,74,68,78,82,78,83,79,91,74,NaN,87,NaN,79,NaN,73,84,90,85,87,NaN,77,NaN,85,NaN,86,83,NaN,90,NaN,89,87,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499310013,84,94,76,86,79,77,80,89,81,NaN,74,75,85,82,70,80,81,90,81,NaN,79,NaN,74,NaN,76,78,NaN,NaN,91,NaN,79,NaN,88,94,90,86,NaN,92,NaN,89,NaN,NaN,NaN,NaN,NaN,86,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66
499310014,91,89,77,76,78,81,80,78,85,NaN,77,70,76,77,74,82,82,87,74,NaN,76,NaN,73,NaN,74,77,NaN,NaN,87,NaN,58,NaN,82,NaN,87,NaN,92,NaN,NaN,89,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,66
499310015,84,87,74,85,72,94,86,82,91,NaN,72,79,84,81,86,89,77,89,NaN,NaN,78,NaN,78,NaN,83,86,86,NaN,92,NaN,72,NaN,87,NaN,84,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,85,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76
499310016,88,85,74,84,72,82,77,75,77,NaN,70,66,70,68,68,82,68,87,64,NaN,69,NaN,79,NaN,78,68,88,84,82,NaN,76,NaN,77,NaN,80,NaN,NaN,NaN,86,90,90,NaN,NaN,NaN,84,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66
499310017,79,87,62,72,78,64,63,74,73,NaN,69,62,NaN,72,74,77,75,82,NaN,NaN,75,NaN,72,NaN,67,64,78,NaN,82,NaN,70,NaN,72,NaN,81,67,NaN,85,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,76,NaN
