id,3105002@社會福利專題討論（二）@2@1,3105067@社會福利理論@2@1,3105075@社會安全@2@1,3105076@貧窮理論與研究@2@1,3105001@社會福利專題討論（一）@1@1,3105085@社會政策@1@1,3105088@社會計量@1@1,3105223@長期照顧：制度設計與政策管理@1@1,3105226@低生育率與社會政策@1@1,3105514@全民健康保險的理論與實務@1@1,3106480@勞動市場與社會不均專題@1@1,3105004@社會福利專題討論（四）@2@1,3105087@社會救助@2@1,3105182@政策評估與機構評鑑@2@1,3105199@質性研究法特論@2@1,3105219@社會企業專題@2@1,3106004@社會計量專題@2@1,3106478@社會階層「性別與家庭」專題@2@1,3106483@高齡社會之健康不平等@2@1,3105003@社會福利專題討論（三）@1@1,3105536@社會投資與社會企業：政策創新與跨界管理@1@1,3106440@國家理論與社會政策（一）@1@1,3106444@社會理論與政策（一）@1@1,3106455@人口老化與貧窮（一）@1@1,3106465@權利與文化研究一@1@1,3106481@性別角色與健康專題討論一@1@1,3106482@全民健康保險財務問題特論一@1@1,3106492@資源及需求調查實務專題@1@1,3106493@健康之社會不平等及社區介入策略@1@1,3105223@長期照顧：制度設計與政策管理@2@1,3106445@社會理論與政策（二）@2@1,3106458@人口老化與貧窮（二）@2@1,3106467@社區政策專題討論二@2@1,3106486@性別角色與健康專題討論二@2@1,3106487@全民健康保險財務問題特論二@2@1,3106496@處遇方案的實證與執行研究@2@1,3105236@生命歷程與社會政策@1@1,3106500@老年與家庭照顧@1@1,3106506@照顧、性別、社會政策@2@1
603310005,88,91,90,91,86,NaN,88,NaN,87,NaN,NaN,83,86,NaN,90,NaN,96,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
603310002,88,72,NaN,86,86,87,81,NaN,85,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,88,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603310003,88,75,NaN,88,85,89,71,87,NaN,NaN,NaN,79,NaN,87,NaN,NaN,NaN,NaN,NaN,86,86,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603310004,83,78,NaN,NaN,86,NaN,72,86,83,88,NaN,86,74,84,93,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN
603310006,88,75,NaN,NaN,86,87,83,NaN,NaN,NaN,96,86,NaN,85,NaN,NaN,NaN,96,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,95,88,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN
603310007,88,74,87,NaN,86,NaN,88,86,83,NaN,NaN,88,NaN,84,NaN,NaN,NaN,NaN,NaN,88,84,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603310009,85,74,NaN,NaN,85,NaN,77,86,NaN,NaN,NaN,82,74,NaN,92,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,81,78,NaN
603310010,88,77,91,NaN,86,NaN,99,NaN,85,89,NaN,88,NaN,NaN,95,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,88,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
603310011,88,75,86,NaN,86,NaN,76,NaN,83,90,NaN,86,NaN,NaN,90,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,88,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN
603310012,88,71,84,NaN,86,NaN,80,86,NaN,90,NaN,88,NaN,85,NaN,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
603310013,85,76,NaN,87,86,88,93,NaN,85,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,94,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,95,88,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN
603310014,88,80,NaN,NaN,86,85,87,NaN,84,NaN,NaN,86,NaN,NaN,90,89,NaN,NaN,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603310015,83,82,NaN,NaN,86,89,82,NaN,83,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,86,NaN,85,NaN,NaN,NaN,NaN,NaN,87,NaN,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,-1
603310016,88,71,NaN,88,86,NaN,72,88,83,NaN,NaN,84,87,82,NaN,NaN,NaN,94,NaN,88,NaN,NaN,NaN,88,NaN,NaN,NaN,88,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603310017,85,71,NaN,NaN,86,91,87,86,NaN,NaN,NaN,88,78,NaN,NaN,89,NaN,NaN,90,88,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN
603310019,83,78,NaN,NaN,85,90,85,87,NaN,85,NaN,84,NaN,87,87,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
