id,3151502@生理學（一）@1@1,3151910@心理學閱讀技巧@1@1,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153003@心理測驗學理論@1@1,3153031@高齡學：多元面向探討@1@1,3153121@知覺心理學@1@1,3153311@情緒心理學@1@1,3153902@變態心理學@1@1,3152101@人類學習與認知@2@1,3153965@諮商理論@2@1,3153122@知覺心理學實驗@1@1,3153506@飲食與健康@1@1,3152103@人類學習與認知實驗@2@1,3153311@情緒心理學@2@1,3153965@諮商理論@1@1,3153966@諮商技術@2@1
401125020,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125044,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125048,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125012,70,60,78,72,86,67,-1,77,74,74,86,99,60,73,NaN,95,14,91,74,NaN,92,73,83,64,NaN,NaN
401125045,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125037,69,NaN,81,75,71,74,71,NaN,NaN,65,76,NaN,NaN,66,NaN,68,NaN,67,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125056,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
401125054,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125010,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,-1
