id,3152702@性格心理學@2@1,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151910@心理學閱讀技巧@1@1,3152004@心理學實驗法@1@1,3152505@生理心理學（一）@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152506@生理心理學（二）@2@1,3154502@睡眠管理@2@1,3152301@發展心理學@1@1,3153003@心理測驗學理論@1@1,3153031@高齡學：多元面向探討@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153902@變態心理學@1@1,3151505@解剖與生理學@2@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3153965@諮商理論@1@1,3153966@諮商技術@2@1
402430032,70,89,85,65,NaN,83,71,69,79,89,81,89,61,85,92,75,87,93,91,94,94,NaN,95,74,81,-1
402430038,66,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN
402430026,NaN,NaN,NaN,NaN,74,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430048,NaN,NaN,NaN,NaN,76,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN
402430041,75,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN
402430018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
