id,3151003@心理及教育統計學（一）@1@1,3151004@心理及教育統計學（二）@2@1,3151001@普通心理學（一）@1@1,3151502@生理學（一）@1@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3152701@社會心理學@1@1,3153003@心理測驗學理論@1@1,3153506@飲食與健康@1@1,3151002@普通心理學（二）@2@1,3151505@解剖與生理學@2@1,3152506@生理心理學（二）@2@1,3153311@情緒心理學@2@1,3151504@認識動物行為實驗@1@1,3152508@生理學(一)@1@1,3153121@知覺心理學@1@1,3153902@變態心理學@1@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152702@性格心理學@2@1,3153302@青少年發展@2@1
403250023,76,78,98,NaN,82,93,87,99,NaN,NaN,100,96,77,NaN,99,NaN,NaN,93,-1,-1,-1,-1
403250015,76,72,80,69,87,76,74,84,NaN,NaN,96,86,-1,NaN,92,NaN,NaN,NaN,-1,-1,-1,NaN
403250028,NaN,NaN,75,NaN,72,76,NaN,NaN,NaN,NaN,88,NaN,78,NaN,NaN,NaN,86,67,NaN,NaN,NaN,NaN
403250007,61,NaN,NaN,NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250033,NaN,NaN,NaN,67,NaN,NaN,NaN,61,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250042,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN
403250024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN
403250052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN
403250032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
