id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151512@生理學實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3151888@學系服務學習@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153003@心理測驗學理論@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153302@青少年發展@2@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3152508@生理學(一)@1@1,3153104@設計心理學@1@1,3153261@語言心理學@1@1,3153704@人類關係導論@1@1,3153965@諮商理論@1@1,3154918@領導心理學@1@1,3153103@認知心理學專題研究@2@1,3153104@設計心理學@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153966@諮商技術@2@1,3154903@心理學史@2@1
403315001,75,82,78,95,84,90,NaN,89,77,88,NaN,NaN,95,79,90,82,80,73,85,86,NaN,76,90,89,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,88,NaN,-1,NaN,NaN,NaN,NaN
403315002,98,93,90,86,87,NaN,96,100,90,93,NaN,83,67,-1,92,93,86,80,95,82,NaN,99,91,91,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315003,81,96,80,84,NaN,90,90,94,81,99,NaN,NaN,100,80,95,90,74,83,95,86,91,80,93,96,89,NaN,NaN,NaN,NaN,NaN,96,97,90,80,NaN,NaN,NaN,NaN,-1,NaN,NaN
403315004,88,88,79,85,NaN,NaN,78,96,70,81,NaN,93,90,82,85,88,80,85,86,86,86,74,89,83,95,NaN,NaN,NaN,69,NaN,NaN,90,93,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403315005,71,61,69,81,NaN,90,NaN,67,61,63,75,NaN,68,64,75,67,60,77,70,84,72,61,NaN,69,84,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315006,71,86,75,76,NaN,NaN,NaN,74,71,75,NaN,83,76,78,69,77,60,73,75,82,NaN,74,69,73,-1,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,77,NaN,NaN,-1,NaN,NaN,-1,NaN
403315007,80,84,73,91,NaN,90,NaN,80,70,84,81,NaN,88,79,82,80,65,81,77,82,NaN,79,80,84,86,NaN,NaN,NaN,67,NaN,NaN,90,93,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403315008,95,88,79,92,NaN,NaN,85,87,79,99,91,92,91,82,84,79,76,74,79,82,NaN,79,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315009,76,66,64,88,NaN,90,NaN,77,66,74,NaN,NaN,-1,75,75,65,61,71,80,86,NaN,70,-1,65,61,NaN,67,NaN,NaN,NaN,NaN,72,68,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403315010,96,94,75,85,NaN,NaN,NaN,98,84,93,NaN,92,88,84,93,92,86,87,90,86,NaN,94,96,90,92,96,NaN,NaN,NaN,NaN,NaN,97,NaN,86,NaN,NaN,-1,NaN,NaN,-1,NaN
403315011,73,77,68,91,NaN,90,NaN,74,68,89,80,NaN,87,75,72,67,63,79,72,85,NaN,79,81,77,84,NaN,NaN,NaN,72,NaN,NaN,86,NaN,NaN,87,NaN,-1,-1,NaN,NaN,NaN
403315012,74,77,77,89,NaN,NaN,NaN,66,66,76,NaN,85,62,65,86,74,60,54,58,82,NaN,62,69,63,83,NaN,NaN,NaN,63,NaN,NaN,NaN,89,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315013,73,65,68,88,NaN,90,NaN,67,73,60,NaN,NaN,65,63,69,66,52,65,72,86,73,70,NaN,71,86,NaN,73,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403315014,71,73,78,88,84,NaN,85,NaN,71,68,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315015,57,43,44,74,NaN,90,NaN,57,-1,NaN,65,NaN,NaN,-1,0,44,11,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315016,70,84,64,90,NaN,NaN,NaN,86,62,85,60,83,73,67,88,87,81,72,NaN,NaN,96,85,72,77,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315018,78,73,76,85,NaN,NaN,NaN,75,68,69,NaN,88,72,67,74,74,75,76,79,84,97,80,76,72,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,-1,NaN,NaN,NaN,NaN
