id,3155017@高等統計學@1@1,3155129@訊號偵測理論@1@1,3155311@利社會行為發展@1@1,3155510@神經心理病理學@1@1,3155527@實驗動物管理@1@1,3155608@渾沌理論在生命科學上的運用@1@1,3155610@神經科學實驗技術@1@1,3155704@社會認知專論@1@1,3155709@知識論與方法論@1@1,3155711@性格發展@1@1,3155815@大腦功能性磁振造影術導論@1@1,3156107@獨立研究：人因工程@1@1,3157503@認知神經科學導讀@1@1,3157701@工商心理學專題研究（一）@1@1,3155107@人因工程介紹@2@1,3155524@心理藥物學原理@2@1,3155705@態度心理學@2@1,3155910@試題反應理論@2@1,3157504@演化心理學@2@1,3157703@工商心理學專題研究（二）@2@1,3157708@組織行為理論@2@1,3157709@性格發展專題研究@2@1,3157808@類別資料分析深論@2@1,3157911@科學論文寫作@2@1,3158001@專題獨立研究：高等測量理論@2@1,3158515@專題獨立研究：動物行為實驗分析@2@1,3155312@「青年」發展專題研究@1@1,3155505@神經解剖學@1@1,3155713@華人本土心理學@1@1,3155714@性格發展研究法@1@1,3156175@獨立研究：記憶提取歷程@1@1,3156701@獨立研究：社會心理學專題研究@1@1,3157707@社會心理學研究法@1@1,3158000@專題獨立研究：高等心理計量@1@1,3159801@專題獨立研究：電腦測驗試題安全研究@1@1,3155105@實驗設計@2@1,3155711@性格發展@2@1,3156702@獨立研究：態度與說服專題研究@2@1,3156705@獨立研究：工商心理學@2@1,3156706@獨立研究：性格歷程專題研究@2@1,3157503@認知神經科學導讀@2@1,3157704@結構方程模型@1@1,3157710@高等性格心理學@1@1,3155716@本土社會科學理論的建構@2@1
600315001,83,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600315003,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,89,NaN,90,NaN,80,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600315005,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,88,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,99,NaN,NaN
600315006,87,NaN,NaN,NaN,NaN,NaN,85,85,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,88,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,71,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN
600315007,76,85,NaN,NaN,NaN,92,88,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,87,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,92,NaN
600315010,73,NaN,NaN,87,NaN,NaN,85,89,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,88,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
600315011,70,NaN,NaN,NaN,NaN,NaN,70,81,NaN,78,NaN,NaN,NaN,NaN,72,NaN,82,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
600315012,93,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,85,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600315014,74,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,88,NaN,88,NaN,88,NaN,81,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
600315016,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,92,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,97,NaN,NaN
600315022,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,87,82,NaN,NaN,85,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN
600315023,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,86,74,NaN,NaN,71,NaN,88,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,83,NaN,NaN
600315024,80,NaN,NaN,84,NaN,NaN,76,87,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,86,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
600315025,59,NaN,NaN,86,84,NaN,83,NaN,NaN,NaN,NaN,NaN,87,NaN,86,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600315026,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600315027,74,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,89,NaN,NaN,72,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,76,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
600315031,76,NaN,NaN,86,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,73,83,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600315033,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,89,NaN,90,80,NaN,74,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600315032,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,75,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,85,70,NaN,NaN,70
