id,3155017@高等統計學@1@1,3155107@人因工程介紹@1@1,3155108@認知研究方法的應用@1@1,3155187@動物認知專題@1@1,3155313@父母教養與青少年發展@1@1,3155505@神經解剖學@1@1,3155709@知識論與方法論@1@1,3155910@試題反應理論@1@1,3156502@獨立研究：生理心理學專題研究（二）@1@1,3158138@獨立研究：臉孔處理與辨識@1@1,3155123@視覺認知專論@2@1,3155311@利社會行為發展@2@1,3155716@本土社會科學理論的建構@2@1,3155815@大腦功能性磁振造影術導論@2@1,3155833@心理及社會學量化模式@2@1,3155962@行為醫學@2@1,3156107@獨立研究：人因工程@2@1,3157131@視覺科學導論@2@1,3157503@認知神經科學導讀@2@1,3157702@華人組織行為@2@1,3157707@社會心理學研究法@2@1,3155016@電腦適性測驗@1@1,3155105@實驗設計@1@1,3155202@E-Prime 實驗設計與資料分析@1@1,3155704@社會認知專論@1@1,3156701@獨立研究：社會心理學專題研究@1@1,3157104@性別心理學研究@1@1,3157701@工商心理學專題研究（一）@1@1,3157704@結構方程模型@1@1,3158513@專題獨立研究：睡眠與日夜節律（一）@1@1,3155135@視覺認知深論@2@1,3156408@專題獨立研究:社會認知發展之神經科學研究@2@1,3156702@獨立研究：態度與說服專題研究@2@1,3156922@專題獨立研究：心理測量專題研究@2@1,3157703@工商心理學專題研究（二）@2@1,3155136@獨立研究:臉孔表情之處理與辨識@1@1,3156703@獨立研究：社會認知專題研究@1@1,3156705@獨立研究：工商心理學@1@1
603315001,88,NaN,82,NaN,NaN,90,NaN,NaN,95,NaN,NaN,NaN,NaN,89,NaN,88,NaN,75,89,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603315002,77,NaN,78,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,78,NaN,77,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,89,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
603315004,77,NaN,82,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603315006,74,90,82,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,86,88,91,NaN,NaN,NaN,NaN,NaN,NaN,86,74,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,86
603315008,88,91,NaN,NaN,NaN,NaN,74,NaN,NaN,86,89,NaN,82,NaN,93,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603315010,72,NaN,88,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,89,92,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,86,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603315012,86,88,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,90,NaN,NaN,NaN,89,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,87,NaN,NaN
603315014,72,NaN,85,NaN,82,NaN,74,NaN,NaN,NaN,NaN,85,75,NaN,91,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603315016,61,NaN,NaN,NaN,83,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,86,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603315017,79,92,80,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,84,NaN,86,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
603315018,85,92,88,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,87,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,86,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,88
603315019,86,NaN,NaN,NaN,NaN,NaN,74,87,NaN,NaN,NaN,NaN,78,NaN,96,NaN,NaN,NaN,83,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN
