id,3155705@態度心理學@2@1,3155706@高等組織行為學@2@1,3155017@高等統計學@1@1,3155030@高齡學：多元面向探討@1@1,3155032@健康傳播@1@1,3155108@認知研究方法的應用@1@1,3155203@文字辨識專題@1@1,3155315@社會認知發展專論@1@1,3155704@社會認知專論@1@1,3156107@獨立研究：人因工程@1@1,3157701@工商心理學專題研究（一）@1@1,3155105@實驗設計@2@1,3155135@視覺認知深論@2@1,3155202@E-Prime 實驗設計與資料分析@2@1,3155527@實驗動物管理@2@1,3155528@學習與記憶生理學@2@1,3155910@試題反應理論@2@1,3156701@獨立研究：社會心理學專題研究@2@1,3157703@工商心理學專題研究（二）@2@1,3157707@社會心理學研究法@2@1,3157712@性格測量與衡鑑@2@1
605315003,85,82,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1
605315001,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1
605315004,NaN,NaN,96,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
605315005,NaN,NaN,61,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
605315006,NaN,NaN,78,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
605315007,-1,NaN,88,90,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605315011,-1,NaN,80,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605315012,NaN,NaN,86,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
605315016,NaN,NaN,90,NaN,93,NaN,NaN,NaN,NaN,NaN,90,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
605315017,-1,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605315018,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
605315023,NaN,NaN,72,NaN,87,NaN,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605315024,NaN,NaN,NaN,70,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605315022,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605315019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
