id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201025@勞動市場與就業專題討論@2@1,3201026@就業諮商與輔導@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202026@勞工運動理論@2@1,3202041@企業倫理@2@1,3203033@勞工政策@2@1,3203050@全球化與勞動@2@1,3201024@個體經濟學@1@1,3202032@性別與工作@1@1,3202035@勞動法概論@1@1,3202043@勞工互助與合作@1@1,3203029@薪資福利管理@1@1,3203032@勞資談判@1@1,3203053@國際人力資源管理@1@1,3203055@勞保給付、爭議與救濟@1@1,3202004@勞動基準法@2@1,3202030@勞工保險理論與實務@2@1,3202034@組織理論@2@1,3202035@勞動法概論@2@1,3202037@統計學@2@1,3202039@總體經濟學@2@1,3203031@勞資爭議處理@2@1,3203043@國際勞工運動@2@1,3203044@研究方法@2@1,3203047@績效考核與管理@2@1,3202038@人力資源發展@1@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1,3203001@集體協商@1@1,3203002@勞動經濟學@1@1,3203041@社會科學統計應用@1@1,3203043@國際勞工運動@1@1,3203051@比較勞工關係@1@1,3204001@論文撰寫@1@2,3201024@個體經濟學@2@1,3203056@人力資源經濟分析@2@1,3203057@人力資源管理與勞工關係之競合@2@1,3203058@高齡社會導論@2@1,3203059@國際遷移與勞動人權@2@1
403320001,88,92,78,NaN,93,90,89,68,89,80,94,NaN,87,NaN,NaN,90,-1,NaN,NaN,NaN,71,91,80,83,90,NaN,71,NaN,80,NaN,78,NaN,-1,89,91,NaN,93,NaN,NaN,94,80,89,NaN,NaN,93,NaN,NaN,NaN,NaN,-1
403320002,87,89,89,79,NaN,83,84,76,87,79,NaN,NaN,81,80,84,NaN,78,NaN,96,78,79,NaN,NaN,84,NaN,NaN,68,NaN,82,NaN,87,92,-1,NaN,-1,NaN,88,NaN,87,86,100,98,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320003,83,89,80,81,90,88,90,77,93,83,NaN,NaN,81,NaN,79,NaN,-1,NaN,NaN,90,77,NaN,87,87,NaN,NaN,69,95,83,NaN,90,NaN,-1,NaN,-1,NaN,NaN,NaN,87,90,92,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320005,67,74,63,67,85,81,82,70,80,68,NaN,NaN,81,NaN,81,NaN,80,NaN,NaN,85,68,NaN,87,82,NaN,NaN,69,NaN,NaN,NaN,74,NaN,-1,NaN,87,NaN,87,NaN,NaN,86,89,86,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320006,86,94,89,NaN,NaN,86,87,74,86,88,NaN,NaN,85,80,87,NaN,-1,NaN,96,91,78,NaN,NaN,90,NaN,NaN,73,79,NaN,NaN,94,90,-1,NaN,-1,NaN,88,NaN,NaN,93,94,96,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320007,75,87,86,78,85,86,86,69,91,79,NaN,NaN,79,NaN,90,NaN,-1,NaN,100,90,71,NaN,NaN,NaN,NaN,NaN,76,86,88,NaN,93,94,-1,NaN,-1,NaN,90,NaN,85,88,96,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320008,80,90,67,79,NaN,74,87,62,73,62,84,NaN,NaN,80,87,NaN,80,NaN,NaN,86,58,89,74,80,82,NaN,-1,-1,NaN,57,75,NaN,71,NaN,-1,68,NaN,80,85,87,84,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320009,74,90,78,77,85,84,87,86,82,80,90,NaN,80,NaN,NaN,-1,-1,NaN,NaN,91,74,NaN,95,NaN,NaN,NaN,67,82,85,NaN,93,NaN,-1,NaN,-1,81,NaN,86,88,85,97,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320010,63,85,79,75,NaN,79,87,65,80,65,NaN,NaN,NaN,80,78,-1,-1,NaN,NaN,NaN,63,90,74,81,NaN,NaN,65,71,79,NaN,88,NaN,-1,NaN,85,NaN,NaN,NaN,89,87,85,89,NaN,85,NaN,NaN,-1,NaN,NaN,-1
403320011,80,96,94,81,90,85,NaN,64,80,83,NaN,NaN,NaN,NaN,80,NaN,87,NaN,NaN,NaN,73,NaN,80,87,NaN,NaN,73,NaN,78,NaN,76,95,-1,NaN,-1,NaN,87,NaN,NaN,85,83,81,92,90,NaN,-1,NaN,-1,NaN,NaN
403320012,75,90,94,79,NaN,85,NaN,69,81,75,NaN,NaN,80,80,80,NaN,-1,NaN,92,73,71,NaN,NaN,76,NaN,NaN,68,83,NaN,NaN,86,87,-1,NaN,-1,NaN,87,NaN,81,86,94,91,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320013,70,78,60,65,85,76,82,-1,65,55,NaN,NaN,70,NaN,74,NaN,80,NaN,NaN,NaN,NaN,83,72,NaN,NaN,NaN,62,NaN,67,62,60,NaN,-1,NaN,-1,68,NaN,60,NaN,84,77,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320014,80,84,85,82,NaN,83,NaN,69,75,78,91,NaN,83,80,NaN,NaN,-1,NaN,NaN,85,63,NaN,86,75,NaN,NaN,67,65,80,NaN,82,NaN,-1,NaN,-1,NaN,80,NaN,NaN,89,86,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320015,77,86,65,78,85,69,84,69,70,75,88,NaN,NaN,NaN,75,NaN,-1,81,NaN,79,64,NaN,88,NaN,NaN,NaN,65,NaN,72,NaN,80,NaN,-1,NaN,-1,79,NaN,79,NaN,87,82,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320016,82,89,70,74,NaN,81,81,66,81,68,NaN,NaN,NaN,80,76,NaN,-1,NaN,72,80,74,NaN,NaN,84,NaN,NaN,71,73,76,NaN,87,83,-1,NaN,-1,66,76,NaN,NaN,81,77,77,NaN,80,NaN,NaN,-1,-1,NaN,NaN
403320018,76,92,92,80,NaN,83,NaN,84,91,83,NaN,NaN,NaN,80,86,NaN,-1,NaN,92,NaN,78,NaN,NaN,82,NaN,NaN,79,70,NaN,NaN,91,94,-1,NaN,-1,NaN,89,NaN,NaN,87,98,98,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403320019,65,88,79,76,89,87,NaN,81,88,85,NaN,NaN,81,NaN,-1,NaN,-1,NaN,NaN,91,60,NaN,NaN,75,NaN,75,73,NaN,87,NaN,86,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,83,95,93,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN
403320020,87,87,91,79,NaN,83,90,72,84,79,NaN,NaN,84,80,89,NaN,-1,NaN,NaN,88,78,NaN,NaN,91,NaN,NaN,75,92,85,NaN,98,NaN,-1,NaN,-1,NaN,83,NaN,90,90,100,96,NaN,90,NaN,NaN,-1,NaN,NaN,-1
403320021,66,88,95,75,90,86,90,71,84,79,87,NaN,NaN,NaN,82,NaN,-1,NaN,95,93,81,NaN,92,NaN,NaN,NaN,67,NaN,83,NaN,93,94,-1,NaN,-1,NaN,87,NaN,87,86,93,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320022,90,91,96,84,NaN,91,NaN,80,90,86,NaN,92,85,80,86,NaN,-1,NaN,NaN,93,75,86,NaN,80,NaN,NaN,72,NaN,NaN,NaN,95,NaN,-1,NaN,-1,NaN,91,NaN,NaN,87,100,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320023,74,92,96,NaN,83,NaN,NaN,NaN,90,77,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320024,86,91,100,83,NaN,97,90,72,86,86,89,90,NaN,80,NaN,NaN,-1,NaN,95,95,79,NaN,92,85,86,NaN,76,72,90,NaN,94,-1,-1,NaN,-1,NaN,NaN,97,89,87,99,97,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320025,85,87,91,82,87,87,86,68,72,75,NaN,NaN,NaN,NaN,83,NaN,-1,NaN,79,82,73,NaN,NaN,85,NaN,NaN,76,89,89,NaN,91,86,-1,NaN,-1,NaN,89,NaN,NaN,86,92,94,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320026,70,88,100,72,NaN,91,87,70,87,73,87,NaN,70,80,NaN,NaN,-1,NaN,93,83,90,NaN,87,80,NaN,NaN,80,94,88,NaN,92,88,-1,NaN,-1,NaN,88,NaN,NaN,85,88,93,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320027,78,95,94,81,91,91,92,79,86,81,90,NaN,NaN,NaN,80,NaN,-1,NaN,100,91,81,NaN,NaN,NaN,NaN,NaN,75,NaN,88,NaN,99,92,-1,NaN,-1,NaN,93,NaN,87,88,100,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320028,60,91,75,69,NaN,81,86,60,60,64,91,NaN,NaN,80,87,78,-1,NaN,NaN,68,66,NaN,74,63,85,NaN,-1,NaN,73,NaN,-1,NaN,-1,NaN,-1,67,NaN,NaN,NaN,65,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320029,90,96,85,83,87,89,92,64,73,70,92,92,85,NaN,87,88,96,NaN,NaN,95,63,90,NaN,NaN,NaN,NaN,67,72,89,NaN,78,84,NaN,91,NaN,80,NaN,NaN,86,85,92,83,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403320030,62,85,76,73,NaN,81,85,60,81,75,NaN,NaN,NaN,80,80,NaN,-1,NaN,81,92,58,78,79,NaN,NaN,NaN,68,NaN,85,67,79,88,-1,NaN,-1,-1,NaN,NaN,81,85,85,64,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320031,75,97,87,NaN,85,86,85,83,95,89,NaN,NaN,NaN,NaN,85,NaN,-1,NaN,100,92,77,NaN,NaN,89,NaN,NaN,72,74,85,NaN,95,88,-1,NaN,-1,NaN,NaN,93,87,89,96,98,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320032,60,81,70,55,NaN,69,81,67,64,63,NaN,NaN,NaN,55,76,-1,-1,NaN,NaN,63,66,NaN,NaN,78,85,NaN,62,65,76,NaN,67,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,80,90,82,NaN,88,NaN,NaN,-1,NaN,NaN,NaN
403320033,64,80,69,78,90,82,88,60,80,74,85,NaN,84,NaN,76,NaN,-1,NaN,NaN,71,63,NaN,87,NaN,NaN,NaN,67,63,79,NaN,82,NaN,-1,NaN,-1,76,77,NaN,81,90,87,78,NaN,90,NaN,NaN,-1,NaN,NaN,-1
403320034,74,83,71,81,NaN,73,80,60,72,66,78,NaN,NaN,85,75,NaN,-1,NaN,81,86,33,NaN,70,72,NaN,NaN,66,48,72,NaN,60,69,-1,NaN,-1,-1,79,NaN,NaN,80,70,72,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403320035,77,87,94,80,87,82,84,68,81,82,87,NaN,74,NaN,NaN,89,84,NaN,NaN,NaN,72,73,NaN,NaN,NaN,NaN,63,62,86,NaN,93,91,-1,NaN,-1,78,NaN,NaN,NaN,88,98,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320036,66,80,88,NaN,NaN,NaN,NaN,18,63,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403320037,75,90,82,89,85,89,85,67,91,81,NaN,NaN,79,NaN,76,NaN,-1,NaN,100,NaN,67,NaN,90,90,89,NaN,64,65,86,NaN,84,93,-1,NaN,-1,NaN,86,NaN,85,87,93,86,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403320038,90,91,91,82,NaN,90,91,84,90,80,NaN,NaN,80,80,-1,NaN,-1,NaN,95,90,79,NaN,97,85,NaN,NaN,70,81,88,NaN,95,NaN,-1,NaN,85,NaN,NaN,99,NaN,91,99,96,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320039,61,83,64,NaN,90,73,86,71,79,50,NaN,NaN,78,NaN,-1,NaN,-1,NaN,NaN,81,62,89,74,76,NaN,NaN,-1,68,83,NaN,69,NaN,-1,NaN,87,NaN,79,NaN,87,87,75,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403320040,87,87,75,85,NaN,77,86,62,73,77,83,NaN,78,80,82,NaN,-1,NaN,84,76,69,NaN,NaN,NaN,NaN,NaN,76,77,78,NaN,85,NaN,-1,NaN,-1,72,76,NaN,NaN,88,88,93,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
403320042,84,88,98,80,NaN,88,89,76,87,83,NaN,NaN,81,85,-1,NaN,-1,NaN,100,89,78,NaN,90,87,NaN,NaN,78,87,85,NaN,99,NaN,-1,NaN,86,NaN,NaN,NaN,NaN,88,100,96,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403320043,75,91,84,80,85,78,82,71,90,86,NaN,NaN,79,NaN,80,NaN,81,NaN,92,88,76,89,87,81,NaN,NaN,74,60,83,NaN,89,87,-1,NaN,-1,-1,83,NaN,NaN,83,77,93,NaN,85,NaN,NaN,-1,-1,NaN,NaN
403320044,75,78,68,86,NaN,79,82,62,79,76,NaN,NaN,70,80,80,NaN,81,NaN,NaN,89,63,87,NaN,82,89,NaN,62,NaN,NaN,NaN,60,NaN,-1,NaN,-1,NaN,89,NaN,87,87,93,88,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403320045,70,83,82,NaN,85,89,88,63,64,78,88,NaN,NaN,NaN,77,NaN,-1,NaN,78,90,66,NaN,NaN,NaN,NaN,NaN,65,66,83,NaN,86,92,-1,NaN,-1,85,88,NaN,NaN,85,91,93,NaN,87,NaN,NaN,-1,-1,NaN,NaN
403320046,76,91,81,NaN,NaN,81,89,-1,77,64,NaN,NaN,NaN,85,-1,-1,-1,NaN,NaN,NaN,53,85,78,75,NaN,NaN,60,NaN,80,NaN,67,NaN,-1,NaN,-1,NaN,NaN,76,79,88,83,71,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403320047,81,90,93,78,85,87,83,68,91,76,NaN,NaN,80,NaN,85,NaN,86,NaN,93,NaN,70,NaN,89,88,NaN,NaN,84,93,81,NaN,91,87,-1,NaN,-1,NaN,90,NaN,89,84,96,84,NaN,95,NaN,NaN,-1,-1,NaN,NaN
403320048,60,75,73,73,NaN,75,85,72,70,75,NaN,NaN,78,80,76,NaN,-1,NaN,65,75,60,NaN,91,86,87,NaN,62,48,78,NaN,60,NaN,-1,NaN,-1,NaN,NaN,NaN,88,84,87,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
