id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201024@個體經濟學@1@1,3201888@學系服務學習@1@1,3202032@性別與工作@1@1,3202043@勞工互助與合作@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202026@勞工運動理論@2@1,3202034@組織理論@2@1,3202035@勞動法概論@2@1,3202039@總體經濟學@2@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3202038@人力資源發展@1@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1,3203001@集體協商@1@1,3203002@勞動經濟學@1@1,3203029@薪資福利管理@1@1,3203032@勞資談判@1@1,3203043@國際勞工運動@1@1,3203053@國際人力資源管理@1@1,3201024@個體經濟學@2@1,3202004@勞動基準法@2@1,3202030@勞工保險理論與實務@2@1,3202032@性別與工作@2@1,3202037@統計學@2@1,3202041@企業倫理@2@1,3203031@勞資爭議處理@2@1,3203033@勞工政策@2@1,3203044@研究方法@2@1,3203047@績效考核與管理@2@1,3203059@國際遷移與勞動人權@2@1
404320001,77,93,84,NaN,100,91,NaN,NaN,84,85,82,NaN,NaN,-1,NaN,70,NaN,84,88,NaN,80,NaN,85,94,NaN,85,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404320002,86,91,97,NaN,100,NaN,NaN,NaN,96,87,87,NaN,95,NaN,NaN,75,-1,86,NaN,NaN,95,NaN,87,NaN,NaN,87,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320003,77,87,74,85,NaN,92,NaN,NaN,63,68,82,NaN,NaN,NaN,NaN,55,-1,69,85,NaN,67,88,NaN,NaN,NaN,72,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320004,83,89,95,NaN,NaN,NaN,NaN,NaN,82,85,88,NaN,85,NaN,80,NaN,-1,70,85,NaN,77,NaN,NaN,NaN,NaN,80,80,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
404320005,90,92,96,82,NaN,87,NaN,NaN,85,82,92,NaN,NaN,-1,NaN,71,NaN,90,87,86,NaN,89,NaN,NaN,NaN,87,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
404320006,74,87,87,NaN,88,NaN,NaN,NaN,67,84,82,NaN,85,NaN,NaN,66,NaN,90,90,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
404320007,71,81,63,75,NaN,87,NaN,NaN,-1,50,60,NaN,NaN,NaN,NaN,NaN,NaN,67,85,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320008,85,83,84,NaN,NaN,NaN,NaN,NaN,65,78,71,NaN,88,76,NaN,56,NaN,76,NaN,NaN,79,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN
404320009,90,88,83,76,83,89,NaN,NaN,74,70,74,NaN,NaN,NaN,NaN,NaN,NaN,64,85,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
404320010,91,90,100,85,97,NaN,NaN,NaN,89,86,83,95,92,NaN,NaN,75,-1,90,83,NaN,97,NaN,NaN,95,NaN,88,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN
404320011,77,89,90,NaN,NaN,91,NaN,NaN,77,82,76,NaN,NaN,NaN,NaN,60,-1,82,86,NaN,92,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
404320012,87,80,97,73,NaN,NaN,NaN,NaN,78,76,81,NaN,85,-1,69,NaN,-1,80,83,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
404320014,79,89,76,74,NaN,NaN,NaN,NaN,58,68,72,NaN,70,NaN,NaN,NaN,NaN,80,87,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404320015,60,72,60,60,63,89,NaN,NaN,7,60,-1,NaN,NaN,-1,NaN,25,NaN,37,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404320016,60,75,76,65,NaN,NaN,NaN,NaN,65,67,73,NaN,85,NaN,66,NaN,-1,55,85,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320017,60,89,83,NaN,NaN,92,NaN,NaN,67,73,76,88,NaN,NaN,NaN,64,-1,86,89,NaN,71,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1
404320018,87,92,72,NaN,NaN,NaN,NaN,NaN,71,83,74,NaN,85,-1,NaN,64,NaN,75,89,79,NaN,87,87,NaN,82,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
404320019,82,86,86,79,NaN,87,NaN,NaN,80,76,85,NaN,NaN,-1,NaN,64,NaN,84,88,NaN,86,86,88,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1
404320020,63,67,68,62,NaN,NaN,NaN,NaN,-1,50,-1,NaN,70,NaN,NaN,56,NaN,78,85,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
404320021,82,81,88,79,NaN,93,NaN,NaN,82,90,93,NaN,NaN,-1,NaN,67,-1,81,91,NaN,85,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320022,82,90,81,84,NaN,NaN,NaN,NaN,68,78,86,NaN,93,NaN,NaN,60,NaN,85,85,NaN,81,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
404320023,67,89,76,68,60,89,NaN,NaN,71,66,77,NaN,NaN,-1,72,NaN,-1,76,82,NaN,74,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
404320024,80,85,75,75,NaN,NaN,NaN,NaN,66,82,73,NaN,70,NaN,NaN,NaN,NaN,54,86,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
404320025,80,93,83,72,69,90,NaN,NaN,-1,70,70,79,NaN,-1,73,NaN,-1,43,88,NaN,60,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
404320026,76,82,76,79,NaN,NaN,NaN,NaN,77,92,90,NaN,80,NaN,NaN,75,-1,NaN,88,NaN,81,86,86,NaN,NaN,NaN,NaN,85,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
