id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3202031@就業安全理論與實務@1@1,3202043@勞工互助與合作@1@1,3203053@國際人力資源管理@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202026@勞工運動理論@2@1,3203047@績效考核與管理@2@1,3203058@高齡社會導論@2@1
405320001,87,95,94,91,85,NaN,89,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320003,91,91,81,90,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320004,80,93,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320005,77,87,83,NaN,85,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405320006,70,84,85,86,NaN,NaN,83,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320007,80,88,92,85,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320008,83,87,81,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320009,86,92,82,86,85,NaN,86,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405320010,80,90,86,87,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320011,83,89,84,84,85,NaN,87,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320012,71,79,76,82,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320013,70,86,76,78,85,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405320014,77,86,87,83,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320015,87,88,90,81,85,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405320016,75,74,73,79,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320017,78,83,72,80,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320018,87,80,88,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320019,66,78,74,74,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
