id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3302911@公文程式與製作@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302912@行政法實務專題@2@1,3303392@英國政府與政治@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302300@中國大陸政府與政治（一）@1@1,3302370@中國外交史@1@1,3302411@國際人權與女權@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3303645@當代社會分析@1@1,3303660@正義理論@1@1,3304671@繪本、小說、與多元文化教育@1@1,3301152@棒球政治學@2@1,3301511@政治社會學@2@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302340@中國大陸政府與政治（二）@2@1,3302390@現代國際政治史@2@1,3302920@社會企業發展與實作@2@1,3302930@初級政治學德語(一)@2@1,3303502@公共人力資源管理@2@1,3304321@國際談判與協商@2@1,3304361@政策分析@2@1,3304624@國際移民@2@1,3304680@公民社會基本觀念@2@1,3302931@初級政治學德語（二）@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303361@組織理論與行為@1@1,3303460@公共人事行政導論@1@1,3303641@當代中國社會@1@1,3304370@公共管理@1@1,3304601@歐洲整合與政治思想@1@1,3304690@從電影分析著名工業污染事件@1@1,3302401@政治意識型態@2@1,3302411@國際人權與女權@2@1,3302932@初級政治學德語（三）@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3303650@當代西方政治思潮@2@1,3304333@環境政治@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304340@台灣政經發展@2@1,3304641@危機管理@2@1,3301511@政治社會學@1@1,3302933@初級政治學德語（四）@1@1,3303421@財務行政@1@1,3304321@國際談判與協商@1@1,3304390@全球化@1@1,3304612@國際倫理學@1@1,3302934@初級政治學德語（五）@2@1,3302940@公民教育@2@1,3303022@公共政策個案分析@2@1,3303503@危機管理@2@1
402330001,73,75,57,73,86,85,100,80,NaN,67,69,NaN,79,60,100,NaN,NaN,NaN,76,77,76,75,68,85,83,77,89,NaN,NaN,90,80,NaN,92,81,78,83,75,85,86,81,NaN,NaN,94,NaN,NaN,NaN,NaN,70,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,78,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
402330003,44,68,53,73,69,62,90,72,NaN,70,NaN,70,73,-1,100,NaN,NaN,NaN,60,67,37,60,NaN,72,75,NaN,NaN,85,NaN,NaN,74,NaN,88,72,60,63,NaN,60,NaN,NaN,NaN,78,NaN,83,NaN,NaN,34,40,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330005,81,78,NaN,75,92,90,100,78,NaN,91,79,NaN,79,86,100,NaN,NaN,NaN,95,78,98,93,NaN,92,NaN,92,87,NaN,NaN,NaN,NaN,NaN,93,78,90,81,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,84,77,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,83,NaN,NaN,NaN,NaN
402330006,89,72,84,NaN,91,89,100,NaN,NaN,80,82,NaN,77,78,90,81,NaN,NaN,82,78,70,80,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,90,70,67,78,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,80,82,85,89,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,76,89,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330007,73,68,93,NaN,79,63,90,77,NaN,84,90,NaN,67,72,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330008,85,87,NaN,68,91,92,90,NaN,NaN,81,NaN,85,87,84,100,82,NaN,NaN,87,83,95,87,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,90,84,69,77,NaN,91,NaN,93,NaN,NaN,NaN,88,NaN,93,80,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,92,71,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,84,-1,NaN,NaN,NaN
402330009,79,74,NaN,73,91,75,70,82,NaN,70,NaN,70,79,72,80,NaN,NaN,NaN,87,78,86,81,NaN,87,83,83,NaN,NaN,NaN,NaN,NaN,NaN,93,85,83,78,NaN,92,NaN,93,NaN,NaN,NaN,NaN,NaN,94,82,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,75,NaN,81,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,86,78,92,NaN,NaN,NaN,NaN
402330010,75,75,NaN,83,79,64,90,NaN,NaN,60,NaN,75,61,-1,100,78,NaN,NaN,65,62,84,71,NaN,71,NaN,NaN,NaN,NaN,43,NaN,NaN,61,86,-1,-1,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,60,63,NaN,NaN,85,NaN,NaN,81,82,NaN,NaN,NaN,-1,76,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN
402330011,71,73,90,NaN,83,73,100,80,NaN,71,90,NaN,80,70,100,NaN,NaN,NaN,87,67,71,88,NaN,93,78,91,NaN,NaN,NaN,NaN,NaN,NaN,89,65,71,83,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
402330012,84,72,86,NaN,87,76,80,NaN,75,78,83,NaN,84,65,100,90,NaN,NaN,80,75,88,73,NaN,94,NaN,83,NaN,NaN,NaN,NaN,95,NaN,93,76,67,78,NaN,95,87,NaN,NaN,89,NaN,86,NaN,NaN,NaN,71,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,63,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
