id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302340@中國大陸政府與政治（二）@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302370@中國外交史@1@1,3303361@組織理論與行為@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302390@現代國際政治史@2@1,3302401@政治意識型態@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304361@政策分析@2@1,3304641@危機管理@2@1,3301511@政治社會學@1@1,3302920@社會企業發展與實作@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303394@德國政府與政治@1@1,3303421@財務行政@1@1,3303460@公共人事行政導論@1@1,3304321@國際談判與協商@1@1,3304370@公共管理@1@1,3304390@全球化@1@1,3304612@國際倫理學@1@1,3304690@從電影分析著名工業污染事件@1@1,3302940@公民教育@2@1,3303022@公共政策個案分析@2@1,3303023@政策分析@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303503@危機管理@2@1,3304340@台灣政經發展@2@1,3304671@繪本、小說、與多元文化教育@2@1
403330001,70,100,82,NaN,81,83,100,90,64,NaN,75,73,77,100,NaN,NaN,74,83,67,84,90,NaN,NaN,88,86,71,77,81,88,86,88,83,NaN,NaN,NaN,NaN,88,81,NaN,71,NaN,NaN,NaN,86,NaN,NaN,80,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN
403330002,67,100,83,NaN,82,62,100,NaN,64,NaN,80,82,71,100,85,NaN,88,91,71,82,98,NaN,83,NaN,80,60,74,76,95,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,60,NaN,65,NaN,NaN,NaN,NaN,NaN,80,76,82,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330003,60,100,NaN,61,79,60,100,90,-1,NaN,67,76,78,100,NaN,NaN,65,64,NaN,78,83,NaN,NaN,NaN,86,30,58,72,71,NaN,NaN,NaN,-1,NaN,NaN,NaN,86,63,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330004,86,100,93,NaN,96,88,100,NaN,NaN,82,NaN,99,NaN,100,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403330005,60,94,83,NaN,87,57,100,90,-1,74,NaN,73,61,100,NaN,NaN,74,71,74,85,80,NaN,NaN,86,91,47,79,78,-1,NaN,NaN,NaN,-1,NaN,91,NaN,NaN,NaN,60,60,NaN,NaN,80,NaN,NaN,85,83,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330006,98,100,NaN,65,92,93,100,NaN,95,NaN,90,99,85,100,85,NaN,91,90,89,89,NaN,77,NaN,NaN,93,72,85,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,78,NaN,90,88,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN
403330007,71,100,92,NaN,85,73,100,90,60,81,NaN,83,53,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403330009,90,100,NaN,70,95,87,100,90,97,86,NaN,94,87,100,NaN,NaN,83,81,93,82,NaN,NaN,NaN,NaN,94,67,85,81,NaN,88,NaN,NaN,-1,NaN,NaN,85,NaN,86,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN
403330010,92,100,96,NaN,91,60,100,NaN,82,NaN,80,95,75,100,85,NaN,84,83,76,81,91,NaN,NaN,93,87,60,90,82,85,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,66,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330011,80,100,NaN,65,91,69,100,90,75,89,NaN,78,78,100,NaN,NaN,86,84,63,84,89,NaN,83,NaN,90,68,66,76,78,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,83,NaN,67,NaN,NaN,86,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
