id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302401@政治意識型態@2@1,3302411@國際人權與女權@2@1,3303040@中國政治思想史@2@1,3303394@德國政府與政治@2@1,3301511@政治社會學@1@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302370@中國外交史@1@1,3302920@社會企業發展與實作@1@1,3303394@德國政府與政治@1@1,3303510@公共政策@1@1,3301021@研究報告寫作@2@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302390@現代國際政治史@2@1,3303023@政策分析@2@1,3303503@危機管理@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304340@台灣政經發展@2@1
404330001,89,73,89,NaN,98,70,100,90,97,87,NaN,85,76,100,NaN,NaN,NaN,NaN,NaN,NaN,64,90,86,88,88,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330002,99,76,NaN,83,83,82,100,NaN,94,NaN,84,87,89,100,91,-1,NaN,NaN,NaN,NaN,87,86,81,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404330003,99,94,NaN,90,98,84,100,90,99,NaN,90,99,97,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330004,76,74,87,NaN,95,94,100,NaN,79,NaN,78,99,86,100,90,NaN,86,NaN,NaN,NaN,78,84,82,83,85,NaN,NaN,93,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330005,55,60,NaN,85,89,77,100,90,94,NaN,75,81,89,100,NaN,NaN,NaN,NaN,NaN,NaN,77,80,72,82,82,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404330008,68,60,NaN,68,87,46,100,NaN,55,74,NaN,74,28,100,90,NaN,NaN,NaN,NaN,NaN,NaN,77,53,70,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330009,71,60,NaN,83,96,79,100,90,77,NaN,80,89,88,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,78,80,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330010,84,77,NaN,83,90,81,100,NaN,95,NaN,78,95,91,100,91,NaN,NaN,NaN,NaN,NaN,84,90,89,92,97,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
404330011,81,60,97,NaN,93,92,100,90,87,88,NaN,90,90,100,NaN,-1,NaN,NaN,NaN,NaN,65,90,81,88,92,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330012,70,45,93,NaN,93,86,100,NaN,67,NaN,60,86,-1,90,90,NaN,NaN,NaN,NaN,NaN,55,87,67,80,82,92,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
