id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301511@政治社會學@1@1,3301888@學系服務學習@1@1,3302030@行政學（一）@1@1,3301021@研究報告寫作@2@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302070@行政學（二）@2@1,3304671@繪本、小說、與多元文化教育@2@1
405330001,87,65,97,NaN,90,73,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
405330002,94,60,94,NaN,90,73,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN
405330003,99,65,90,NaN,95,81,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330004,80,60,77,NaN,95,76,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN
405330005,89,70,81,NaN,93,64,100,NaN,93,88,-1,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN
405330006,64,38,82,NaN,90,40,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN
405330007,75,60,NaN,73,84,32,NaN,NaN,92,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
405330008,64,60,NaN,63,87,39,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
405330009,90,60,87,NaN,92,70,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330010,92,65,88,NaN,86,69,100,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,-1,NaN,-1
405330011,83,60,75,NaN,93,63,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330012,85,60,77,NaN,92,51,NaN,75,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN
405330013,77,60,NaN,83,84,74,NaN,NaN,93,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
405330014,87,60,78,NaN,86,69,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN
405330015,69,43,84,NaN,91,71,NaN,NaN,92,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330016,74,60,NaN,75,91,67,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN
405330017,88,60,74,NaN,91,62,NaN,NaN,95,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330018,99,85,NaN,95,96,78,100,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
405330019,68,60,77,NaN,85,44,NaN,NaN,80,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330021,64,60,NaN,70,94,NaN,100,NaN,92,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
405330022,54,34,80,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405330023,99,86,NaN,85,92,79,100,NaN,95,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
405330024,92,91,89,NaN,93,56,100,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN
405330025,71,60,76,NaN,91,47,NaN,NaN,91,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330026,86,70,72,NaN,91,46,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN
405330027,71,36,93,NaN,91,70,NaN,NaN,92,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
405330028,77,44,NaN,63,92,32,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
405330029,90,80,87,NaN,91,93,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330030,64,38,61,NaN,86,46,80,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN
405330031,81,60,80,NaN,90,55,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,-1
405330032,52,60,NaN,65,85,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
405330033,89,60,93,NaN,92,74,NaN,NaN,92,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330035,84,60,88,NaN,90,68,NaN,NaN,90,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
405330036,76,39,80,NaN,88,56,100,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN
405330037,73,42,65,NaN,86,68,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
405330038,78,60,NaN,73,83,61,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
405330039,61,42,76,NaN,89,66,NaN,NaN,91,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330040,71,65,86,NaN,89,60,100,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN
405330041,55,34,78,NaN,89,49,NaN,NaN,93,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
405330043,75,60,81,NaN,89,55,100,NaN,92,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
405330044,78,42,NaN,67,86,58,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN,-1
405330045,61,25,32,NaN,86,33,100,NaN,92,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
405330046,54,31,60,NaN,83,43,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN
405330048,67,34,NaN,67,82,41,0,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
405330050,86,65,NaN,85,94,62,100,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
405330051,32,29,NaN,60,91,25,NaN,NaN,92,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
405330052,74,60,NaN,65,91,47,NaN,NaN,NaN,75,-1,-1,NaN,-1,-1,-1,NaN,-1,-1,NaN
405330053,64,65,88,NaN,95,67,100,NaN,91,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
