id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351888@學系服務學習@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351016@創意與設計概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2,3351021@媒介與社會@2@1,3351888@學系服務學習@2@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352029@影像寫作@1@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3353018@音樂、影像與展演@2@1,3353021@紀錄片與專題製作@2@1,3351022@社會學與傳播@1@1,3352028@廣告心理與行銷@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3354002@推廣製作專題@1@1,3352021@傳播典範人物@2@1,3352032@國際傳播@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353015@媒體思辨@2@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3351029@基礎聲音製作@2@1,3353023@調查報導@2@1,3354016@畢業製作@2@1,3352033@傳播倫理@1@1,3353022@華人電影專題研究@1@1,3353024@數位媒體製作實務(一)@1@1,3351025@創意短片製作@2@1,3353025@數位媒體製作實務(二)@2@1
401335001,62,84,NaN,83,NaN,70,70,93,81,66,NaN,84,88,NaN,60,NaN,81,NaN,83,NaN,68,NaN,55,66,NaN,77,60,72,73,81,63,NaN,NaN,64,NaN,NaN,71,71,70,79,86,81,NaN,60,60,81,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335002,97,NaN,82,86,NaN,83,84,NaN,86,83,81,87,89,NaN,82,76,NaN,89,NaN,91,87,88,NaN,81,74,83,82,91,94,81,NaN,86,NaN,NaN,NaN,NaN,92,92,NaN,88,91,90,NaN,95,95,88,NaN,NaN,NaN,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401335003,85,86,NaN,85,80,90,78,70,82,77,NaN,85,89,NaN,65,NaN,90,NaN,85,NaN,85,NaN,NaN,NaN,73,80,82,91,90,84,NaN,85,NaN,NaN,NaN,NaN,90,90,87,NaN,NaN,NaN,NaN,93,93,88,NaN,83,93,81,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
401335004,77,NaN,81,86,80,NaN,90,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335005,84,90,NaN,84,82,NaN,84,90,85,80,NaN,87,90,NaN,74,NaN,82,NaN,NaN,87,81,87,NaN,NaN,NaN,NaN,92,93,93,88,NaN,78,NaN,NaN,NaN,77,93,93,83,NaN,NaN,NaN,78,87,87,88,91,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335006,70,NaN,66,86,NaN,82,84,NaN,74,70,68,87,NaN,85,60,60,NaN,75,NaN,91,70,NaN,NaN,80,58,NaN,60,72,84,80,79,NaN,83,64,NaN,NaN,78,78,85,83,NaN,NaN,NaN,67,67,82,NaN,NaN,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335007,90,88,NaN,86,NaN,85,86,90,81,78,60,88,89,NaN,74,NaN,89,NaN,86,NaN,82,NaN,NaN,NaN,78,NaN,68,NaN,89,80,NaN,75,NaN,NaN,NaN,NaN,89,89,88,86,NaN,87,87,86,86,86,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335008,67,NaN,82,86,NaN,78,83,NaN,81,71,74,86,88,NaN,71,81,93,NaN,NaN,97,81,NaN,NaN,NaN,68,80,NaN,95,85,80,NaN,NaN,NaN,82,NaN,NaN,93,93,NaN,84,NaN,88,NaN,89,89,85,NaN,NaN,82,81,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
401335009,68,NaN,81,84,NaN,89,79,90,86,90,NaN,83,89,NaN,93,NaN,NaN,81,85,NaN,90,NaN,82,81,78,NaN,88,95,94,85,NaN,79,NaN,NaN,NaN,NaN,93,93,NaN,90,88,91,NaN,91,91,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335010,84,NaN,77,85,NaN,84,84,NaN,86,76,80,84,NaN,90,69,80,NaN,89,NaN,90,88,89,NaN,82,NaN,74,91,92,97,NaN,NaN,86,NaN,NaN,NaN,NaN,90,90,NaN,94,NaN,91,NaN,93,93,85,86,NaN,89,81,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
