id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351019@傳播外文@1@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3352001@資訊傳播@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352023@廣告概論@1@1,3352028@廣告心理與行銷@1@1,3351005@傳播史@2@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@1,3351029@基礎聲音製作@2@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352032@國際傳播@2@1,3352022@流行音樂與社會@1@1,3352033@傳播倫理@1@1,3352036@影音新聞製作@1@1,3352038@進階影像製作@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3353022@華人電影專題研究@1@1,3351025@創意短片製作@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353015@媒體思辨@2@1,3353023@調查報導@2@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3351026@新聞採訪寫作@2@2,3353018@音樂、影像與展演@2@1
402310030,85,88,85,NaN,86,NaN,80,NaN,NaN,81,77,NaN,NaN,NaN,77,80,NaN,84,NaN,73,NaN,81,82,85,82,83,NaN,83,86,84,84,80,NaN,84,NaN,91,91,-1,NaN,87,85,82,NaN,NaN,-1
402310039,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310054,88,88,85,NaN,84,NaN,80,NaN,NaN,NaN,79,85,NaN,80,76,82,79,89,NaN,91,NaN,86,87,NaN,81,82,NaN,85,85,91,91,NaN,91,85,NaN,90,90,NaN,88,NaN,NaN,87,87,NaN,NaN
402310015,NaN,NaN,82,88,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310036,NaN,80,84,88,NaN,NaN,NaN,85,86,NaN,NaN,88,NaN,NaN,84,NaN,99,NaN,89,NaN,NaN,94,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,NaN
402310007,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310044,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310057,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
402310010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,72,NaN,72,NaN,NaN,78,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
