id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351888@學系服務學習@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351016@創意與設計概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2,3351021@媒介與社會@2@1,3351888@學系服務學習@2@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352028@廣告心理與行銷@1@1,3352029@影像寫作@1@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@2,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3352032@國際傳播@2@1,3353015@媒體思辨@2@1,3352033@傳播倫理@1@1,3352035@政治學與傳播@1@1,3352036@影音新聞製作@1@1,3352037@進階聲音製作@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3353022@華人電影專題研究@1@1,3352039@經濟學與傳播@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353021@紀錄片與專題製作@2@1,3353023@調查報導@2@1,3353024@數位媒體製作實務(一)@1@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3353018@音樂、影像與展演@2@1,3353025@數位媒體製作實務(二)@2@1,3354016@畢業製作@2@1
402335001,92,88,NaN,86,NaN,88,92,90,86,79,80,84,88,NaN,90,NaN,NaN,NaN,NaN,96,NaN,85,NaN,81,90,83,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,91,83,85,NaN,NaN,82,86,NaN,NaN,NaN,NaN,92,92,92,89,NaN,NaN,93,93,87,89,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
402335004,95,NaN,80,85,NaN,NaN,75,NaN,80,71,76,84,NaN,92,84,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402335005,83,89,NaN,85,87,NaN,79,90,78,76,81,87,86,NaN,84,NaN,NaN,NaN,NaN,80,NaN,85,NaN,79,NaN,NaN,NaN,73,NaN,83,NaN,NaN,NaN,NaN,NaN,75,89,75,NaN,85,NaN,75,NaN,NaN,NaN,NaN,NaN,83,83,NaN,87,75,NaN,92,92,87,NaN,NaN,NaN,NaN,87,85,NaN,NaN,-1
402335006,81,86,NaN,85,88,NaN,86,NaN,85,87,NaN,84,NaN,93,83,90,NaN,NaN,NaN,NaN,91,NaN,88,82,NaN,NaN,84,75,NaN,71,NaN,NaN,NaN,NaN,NaN,88,88,83,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,94,94,84,84,84,NaN,95,95,91,88,NaN,87,NaN,92,88,NaN,NaN,-1
402335007,92,83,NaN,86,NaN,90,92,90,82,85,84,84,90,NaN,93,NaN,NaN,NaN,NaN,95,NaN,84,NaN,86,84,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,88,89,87,88,84,NaN,NaN,90,NaN,NaN,NaN,NaN,95,95,90,94,NaN,NaN,92,92,88,NaN,NaN,NaN,NaN,96,88,NaN,NaN,-1
402335008,60,NaN,76,86,86,NaN,86,NaN,66,84,77,87,NaN,93,90,70,NaN,NaN,NaN,76,NaN,85,NaN,82,NaN,NaN,85,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,89,91,89,90,NaN,NaN,91,91,NaN,NaN,NaN,NaN,91,91,89,96,NaN,NaN,95,95,NaN,86,NaN,87,NaN,87,NaN,NaN,NaN,NaN
402335009,90,89,NaN,88,89,NaN,88,90,88,76,82,84,87,NaN,84,NaN,NaN,NaN,NaN,75,NaN,84,NaN,82,84,82,85,71,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,78,NaN,86,NaN,82,NaN,NaN,NaN,NaN,NaN,88,88,NaN,92,NaN,NaN,93,93,90,89,NaN,89,NaN,84,87,NaN,NaN,-1
402335011,94,87,NaN,86,NaN,86,86,90,83,79,76,86,88,NaN,85,NaN,NaN,NaN,NaN,71,NaN,81,NaN,79,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,85,89,77,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,80,85,NaN,NaN,NaN,93,93,NaN,90,82,88,NaN,80,88,NaN,NaN,NaN
402335012,83,NaN,77,85,NaN,86,79,NaN,85,79,80,NaN,NaN,93,85,88,NaN,NaN,NaN,NaN,88,NaN,81,84,NaN,NaN,82,78,69,NaN,NaN,NaN,NaN,NaN,89,84,91,91,87,NaN,NaN,83,87,NaN,NaN,NaN,NaN,93,93,80,85,NaN,NaN,92,92,NaN,87,NaN,87,NaN,89,NaN,NaN,NaN,NaN
402335014,88,NaN,77,85,84,NaN,79,NaN,75,77,82,89,NaN,93,86,88,NaN,NaN,NaN,NaN,84,85,NaN,83,NaN,NaN,NaN,78,77,NaN,NaN,NaN,NaN,NaN,NaN,89,90,82,88,87,NaN,NaN,88,NaN,NaN,NaN,NaN,92,92,82,NaN,NaN,NaN,96,96,NaN,88,NaN,87,NaN,94,NaN,NaN,NaN,NaN
402335015,86,89,NaN,85,NaN,NaN,90,95,81,86,62,85,87,NaN,86,NaN,NaN,NaN,NaN,77,NaN,86,NaN,89,88,83,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,90,85,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,90,90,88,94,NaN,NaN,91,91,NaN,88,84,93,NaN,77,85,NaN,NaN,-1
402335016,88,NaN,84,85,86,NaN,88,NaN,91,79,80,84,NaN,89,90,88,NaN,NaN,NaN,NaN,93,NaN,86,89,NaN,NaN,77,85,NaN,83,NaN,NaN,NaN,NaN,NaN,89,NaN,81,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,94,85,NaN,93,93,89,92,NaN,NaN,NaN,96,78,NaN,NaN,NaN
402335017,86,84,NaN,85,89,88,87,90,87,81,80,84,87,NaN,88,NaN,NaN,NaN,NaN,83,NaN,86,NaN,87,NaN,NaN,80,80,NaN,83,NaN,NaN,NaN,NaN,NaN,89,NaN,79,86,84,NaN,76,NaN,NaN,NaN,NaN,NaN,89,89,90,91,85,NaN,94,94,NaN,87,NaN,89,NaN,93,88,NaN,NaN,NaN
402335018,90,NaN,84,83,87,88,82,NaN,82,86,82,88,NaN,93,86,88,NaN,NaN,NaN,NaN,90,NaN,86,86,NaN,NaN,81,84,NaN,85,NaN,NaN,NaN,NaN,NaN,89,91,79,NaN,85,NaN,82,NaN,NaN,NaN,NaN,NaN,91,91,85,90,81,NaN,92,92,88,90,NaN,89,NaN,90,86,NaN,NaN,-1
402335019,84,86,NaN,84,NaN,NaN,66,90,75,82,78,88,86,NaN,85,NaN,NaN,NaN,NaN,74,NaN,84,NaN,79,84,NaN,80,70,NaN,84,NaN,NaN,NaN,NaN,NaN,73,89,82,NaN,86,NaN,84,NaN,NaN,NaN,NaN,NaN,88,88,85,89,84,NaN,90,90,88,89,NaN,91,NaN,75,NaN,NaN,NaN,-1
402335020,83,NaN,81,82,85,NaN,91,NaN,83,75,72,87,NaN,87,88,90,NaN,NaN,NaN,NaN,88,NaN,85,82,88,NaN,NaN,84,NaN,84,NaN,NaN,NaN,NaN,NaN,89,NaN,82,88,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,89,89,88,NaN,NaN,NaN,90,90,NaN,88,82,NaN,NaN,90,NaN,NaN,NaN,NaN
402335021,83,83,NaN,84,NaN,85,78,90,81,75,80,84,88,NaN,87,NaN,NaN,NaN,NaN,84,NaN,83,NaN,83,NaN,NaN,NaN,81,64,NaN,NaN,NaN,NaN,NaN,NaN,88,87,82,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,92,92,NaN,91,NaN,NaN,92,92,NaN,89,NaN,91,NaN,95,NaN,NaN,NaN,-1
402335022,87,NaN,80,84,NaN,NaN,85,NaN,87,82,82,82,NaN,88,85,88,NaN,NaN,NaN,NaN,84,NaN,86,83,NaN,NaN,85,82,79,NaN,NaN,NaN,NaN,NaN,78,NaN,89,85,84,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,92,92,NaN,93,NaN,NaN,93,93,88,86,NaN,88,NaN,85,88,NaN,NaN,NaN
402335023,93,87,NaN,84,NaN,86,80,90,84,77,82,84,88,NaN,88,NaN,NaN,NaN,NaN,76,NaN,85,NaN,89,86,NaN,NaN,78,71,NaN,NaN,NaN,NaN,NaN,NaN,88,91,88,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,92,92,NaN,92,NaN,NaN,94,94,NaN,89,NaN,92,NaN,96,88,NaN,NaN,NaN
402335024,70,NaN,67,84,83,NaN,60,NaN,69,67,47,NaN,NaN,89,82,88,NaN,NaN,NaN,NaN,60,NaN,74,83,NaN,NaN,NaN,67,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402335025,85,85,NaN,85,NaN,NaN,78,90,81,77,78,83,86,NaN,88,NaN,79,NaN,NaN,81,NaN,85,NaN,78,81,NaN,50,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,89,89,85,88,NaN,NaN,83,88,NaN,NaN,NaN,NaN,89,89,90,91,NaN,NaN,98,98,78,NaN,87,84,NaN,88,NaN,NaN,NaN,NaN
402335027,80,85,NaN,86,86,NaN,83,90,81,75,74,88,87,NaN,85,NaN,NaN,NaN,NaN,80,NaN,81,NaN,79,86,NaN,83,71,NaN,83,NaN,NaN,NaN,NaN,NaN,73,89,78,NaN,90,NaN,85,88,NaN,NaN,NaN,NaN,80,80,84,89,81,NaN,80,80,NaN,89,NaN,84,NaN,64,82,-1,NaN,-1
402335028,86,NaN,78,85,83,88,83,NaN,91,77,74,81,NaN,87,85,88,NaN,NaN,NaN,NaN,89,NaN,88,85,86,85,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,90,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,95,95,NaN,94,NaN,NaN,92,92,NaN,89,NaN,89,NaN,96,84,NaN,NaN,-1
402335029,83,86,NaN,85,89,NaN,86,90,82,79,80,86,88,NaN,87,NaN,NaN,NaN,NaN,78,NaN,85,NaN,83,NaN,NaN,87,81,74,NaN,NaN,NaN,NaN,NaN,NaN,73,89,82,88,88,NaN,NaN,87,NaN,NaN,NaN,NaN,97,97,82,92,83,NaN,91,91,89,88,87,87,NaN,87,NaN,-1,NaN,NaN
402335030,81,NaN,77,83,88,NaN,81,NaN,80,61,76,85,NaN,91,81,88,NaN,NaN,NaN,NaN,78,NaN,83,75,NaN,NaN,78,73,NaN,82,NaN,NaN,NaN,NaN,NaN,80,NaN,74,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,82,78,85,75,NaN,77,77,87,NaN,80,85,NaN,81,87,NaN,NaN,-1
402335032,88,NaN,77,88,88,88,79,NaN,83,79,78,86,NaN,91,83,88,NaN,NaN,NaN,NaN,86,NaN,86,81,90,NaN,NaN,79,90,80,NaN,NaN,NaN,NaN,NaN,80,87,80,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,85,85,NaN,91,NaN,NaN,91,91,86,89,NaN,NaN,NaN,86,86,NaN,NaN,-1
402335033,80,84,NaN,86,NaN,NaN,84,90,78,75,78,83,88,NaN,84,NaN,NaN,NaN,NaN,60,NaN,79,NaN,74,86,NaN,NaN,75,NaN,73,NaN,NaN,NaN,NaN,80,NaN,87,90,83,NaN,NaN,81,73,NaN,NaN,NaN,NaN,70,70,70,89,NaN,NaN,89,89,87,88,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN
402335034,66,NaN,71,86,81,NaN,77,NaN,80,65,NaN,80,NaN,95,83,88,NaN,NaN,NaN,NaN,81,NaN,85,78,NaN,81,81,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,75,84,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,76,76,72,NaN,NaN,NaN,82,82,NaN,85,NaN,NaN,NaN,94,NaN,-1,NaN,NaN
402335036,85,NaN,66,85,88,71,74,NaN,82,69,78,84,NaN,92,82,88,NaN,NaN,NaN,NaN,81,NaN,78,84,89,NaN,65,NaN,70,NaN,NaN,NaN,77,NaN,NaN,79,84,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,87,NaN,83,NaN,NaN,80,80,88,91,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN
402335037,88,89,NaN,85,NaN,88,86,90,81,82,84,86,91,NaN,91,NaN,NaN,NaN,NaN,91,NaN,86,NaN,87,NaN,NaN,NaN,82,NaN,84,NaN,NaN,NaN,NaN,NaN,90,90,85,NaN,87,82,NaN,NaN,NaN,NaN,NaN,NaN,77,77,80,NaN,NaN,NaN,85,85,88,NaN,NaN,91,NaN,81,88,NaN,NaN,-1
402335038,81,87,NaN,84,82,NaN,84,NaN,80,74,77,87,NaN,93,81,88,NaN,NaN,NaN,NaN,87,NaN,84,86,NaN,NaN,78,75,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,83,NaN,83,NaN,76,NaN,NaN,NaN,NaN,NaN,85,85,84,82,81,NaN,77,77,85,NaN,81,86,NaN,80,86,NaN,NaN,-1
402335039,83,85,NaN,85,86,94,87,95,75,71,81,86,87,NaN,90,NaN,NaN,NaN,NaN,75,NaN,84,NaN,76,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,75,89,80,NaN,NaN,NaN,82,85,NaN,NaN,NaN,NaN,88,88,78,92,NaN,NaN,94,94,87,90,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN
402335040,87,NaN,82,84,NaN,85,87,NaN,89,79,81,83,NaN,94,86,88,NaN,NaN,NaN,NaN,89,NaN,89,84,NaN,85,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,89,87,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,91,NaN,92,NaN,NaN,94,94,88,89,NaN,89,NaN,96,NaN,NaN,NaN,NaN
402335041,83,89,NaN,83,87,86,79,90,80,82,81,84,88,NaN,90,NaN,NaN,NaN,NaN,79,NaN,85,NaN,84,90,NaN,NaN,85,96,84,NaN,NaN,NaN,NaN,NaN,80,90,77,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,88,88,NaN,92,NaN,NaN,94,94,87,89,NaN,NaN,NaN,87,89,NaN,NaN,-1
402335042,91,NaN,81,85,90,NaN,92,NaN,88,85,82,91,NaN,98,87,91,NaN,NaN,NaN,NaN,87,NaN,88,89,NaN,83,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,74,90,85,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,95,NaN,93,85,NaN,86,86,NaN,87,88,91,NaN,87,88,NaN,NaN,-1
402335043,80,82,NaN,84,85,NaN,81,90,62,68,67,89,87,NaN,89,NaN,NaN,NaN,NaN,60,NaN,84,NaN,76,NaN,NaN,86,76,NaN,68,NaN,NaN,NaN,NaN,NaN,89,88,84,84,NaN,NaN,84,86,NaN,NaN,NaN,NaN,89,89,80,NaN,NaN,NaN,91,91,80,88,NaN,87,NaN,75,NaN,NaN,NaN,NaN
402335046,88,NaN,60,87,NaN,NaN,78,NaN,80,72,72,81,NaN,90,84,88,NaN,NaN,NaN,NaN,85,NaN,82,80,NaN,NaN,74,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,80,85,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,87,78,NaN,63,NaN,83,83,88,NaN,NaN,82,NaN,75,88,-1,NaN,-1
402335047,84,87,NaN,84,89,88,81,95,79,72,80,85,88,NaN,85,NaN,NaN,NaN,NaN,NaN,92,82,NaN,78,87,82,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,87,80,87,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,85,88,91,NaN,NaN,84,84,NaN,86,NaN,81,NaN,82,NaN,NaN,NaN,NaN
402335048,81,NaN,81,84,87,87,83,NaN,79,72,80,86,NaN,90,84,88,NaN,NaN,NaN,NaN,82,NaN,82,81,88,80,79,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,80,-1,75,NaN,82,NaN,NaN,NaN,85,NaN,NaN,NaN,86,86,NaN,85,NaN,NaN,77,77,88,NaN,NaN,89,NaN,88,88,NaN,NaN,NaN
402335044,NaN,NaN,86,83,NaN,NaN,79,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,86,82,81,85,NaN,NaN,NaN,NaN,77,NaN,NaN,82,NaN,NaN,NaN,78,91,89,88,NaN,88,NaN,95,NaN,86,NaN,85,NaN,82,88,84,85,NaN,91,NaN,91,NaN,92,-1,NaN,-1,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN
