id,3351006@基礎寫作@1@2,3351019@傳播外文@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3352022@流行音樂與社會@1@1,3351025@創意短片製作@2@1,3351027@基礎資訊製作@2@1,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3352025@當代社會問題分析@2@1,3352031@廣告創意與製作@2@1,3352032@國際傳播@2@1,3352039@經濟學與傳播@2@1,3353015@媒體思辨@2@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3352033@傳播倫理@1@1,3352035@政治學與傳播@1@1,3353022@華人電影專題研究@1@1,3351014@電影概論@2@1,3351026@新聞採訪寫作@2@2,3351027@基礎資訊製作@2@2,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352030@劇情片製作@2@1,3353010@創意策略與企劃@2@1,3353018@音樂、影像與展演@2@1,3353021@紀錄片與專題製作@2@1
403125007,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125024,NaN,89,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN
403125018,NaN,NaN,90,NaN,67,84,60,83,61,NaN,68,NaN,-1,NaN,85,75,70,65,81,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1
403125022,NaN,NaN,90,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125006,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403125059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403125005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403125029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
