id,3415020@社會科學方法論@1@1,3415045@策略規劃與問題解決@1@1,3415060@戰略研究@1@1,3417005@亞太經貿與台灣戰略@1@1,3417006@全球化與全球治理@1@1,3417018@人類安全專題@1@1,3417019@國際組織與國際公法@1@1,3417020@國際政治@1@1,3417021@政治學@1@1,3417022@東南亞安全研究@1@1,3418002@國際關係英文選讀@1@1,3415045@策略規劃與問題解決@2@1,3415110@安全與外交政策分析@2@1,3415120@國際政治經濟@2@1,3418008@核戰略與國際關係@2@1,3418010@國防法制與國家安全政策@2@1,3418011@中國崛起與大國外交@2@1,3418012@西洋政治思想史@2@1,3418014@國際關係史@2@1,3415035@亞洲區域主義@2@1,3415000@國際關係理論@2@1,3417014@反恐戰略與國家安全專題@2@1,3418007@兩岸關係與國際現勢@2@1,3418005@美國外交政策與戰略研究@1@1,3416000@文化與戰略@2@1,3418013@臺灣在東亞之戰略分析專題討論@2@1
699341017,95,90,NaN,86,NaN,88,NaN,92,77,NaN,NaN,NaN,87,85,NaN,NaN,90,84,NaN,NaN,78,NaN,90,NaN,NaN,NaN
699341024,89,NaN,NaN,NaN,86,NaN,NaN,87,80,NaN,NaN,93,89,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699341001,90,91,95,NaN,NaN,88,94,87,NaN,94,NaN,NaN,NaN,NaN,92,92,NaN,NaN,NaN,NaN,90,90,NaN,NaN,NaN,94
699341002,82,91,NaN,NaN,85,87,NaN,75,83,NaN,87,NaN,NaN,NaN,NaN,85,NaN,82,NaN,NaN,82,NaN,NaN,77,NaN,88
699341003,88,91,96,NaN,91,93,NaN,81,NaN,96,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,91,90,NaN,89,NaN,91
699341004,85,89,94,NaN,87,88,92,81,NaN,92,NaN,NaN,NaN,84,NaN,NaN,86,NaN,NaN,NaN,85,NaN,NaN,NaN,82,NaN
699341005,87,91,80,NaN,NaN,NaN,84,86,NaN,84,88,NaN,NaN,88,NaN,NaN,84,NaN,NaN,NaN,83,NaN,91,NaN,85,NaN
699341007,79,91,NaN,NaN,65,70,66,76,70,NaN,84,NaN,NaN,NaN,NaN,85,83,81,83,NaN,81,NaN,NaN,NaN,80,NaN
699341008,88,89,NaN,88,NaN,92,NaN,85,NaN,86,NaN,NaN,NaN,NaN,NaN,89,NaN,84,NaN,NaN,89,87,NaN,89,90,NaN
699341010,88,87,NaN,89,91,91,93,79,NaN,NaN,90,NaN,92,89,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,NaN,NaN
