id,4100003@計算機概論@1@1,4100004@計算機導論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4100008@程式語言@2@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102068@計算方法概論@2@2,4102085@離散數學@2@1,4103061@數值分析@2@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103001@作業系統概論@1@1,4103055@計算機組織@1@1,4102068@計算方法概論@2@1,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4102161@電腦軟體設計@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104011@影像處理概論@2@1,4104052@嵌入式系統軟體設計與實作@2@1,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102013@機率論@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4102013@機率論@1@1,4103900@工程倫理@2@1,4104801@專題實驗（二）@2@1
401410032,0,NaN,71,NaN,60,NaN,NaN,NaN,60,75,NaN,NaN,NaN,NaN,NaN,71,NaN,70,NaN,NaN,NaN,70,76,NaN,-1,80,NaN,69,NaN,90,61,NaN,66,NaN,50,NaN,21,81,NaN,71,NaN,72,NaN,56,NaN,-1,NaN,NaN,69,72,74,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,-1,NaN
401410075,3,NaN,33,NaN,60,NaN,60,NaN,NaN,NaN,73,NaN,87,NaN,NaN,65,NaN,70,NaN,70,NaN,NaN,NaN,NaN,NaN,60,NaN,77,62,NaN,35,NaN,15,61,NaN,NaN,NaN,47,NaN,68,NaN,26,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410042,NaN,75,77,NaN,66,NaN,66,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,60,NaN,84,NaN,38,NaN,84,NaN,70,81,64,NaN,60,NaN,84,78,NaN,100,61,NaN,81,NaN,80,NaN,79,75,NaN,93,81,80,74,84,89,NaN,79,NaN,NaN,NaN,83,NaN,NaN,NaN,76,NaN,61,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410003,NaN,NaN,60,NaN,67,NaN,67,NaN,NaN,NaN,60,NaN,80,NaN,41,40,NaN,60,NaN,60,NaN,NaN,NaN,NaN,NaN,28,-1,NaN,NaN,86,28,29,18,62,8,0,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,64,-1,NaN
401410004,NaN,NaN,69,NaN,82,NaN,82,NaN,NaN,74,NaN,NaN,NaN,NaN,60,NaN,NaN,73,NaN,NaN,NaN,73,60,NaN,74,62,NaN,62,NaN,86,85,NaN,73,62,NaN,86,NaN,60,NaN,75,78,NaN,73,72,85,71,91,NaN,84,NaN,NaN,80,90,90,NaN,NaN,NaN,86,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401410005,NaN,NaN,86,99,NaN,NaN,NaN,99,NaN,NaN,76,85,NaN,NaN,77,NaN,94,NaN,NaN,NaN,94,NaN,NaN,NaN,72,85,NaN,66,NaN,93,75,NaN,86,60,NaN,NaN,NaN,71,NaN,80,83,NaN,90,68,93,NaN,86,95,94,NaN,86,NaN,NaN,90,NaN,NaN,NaN,93,NaN,82,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410006,NaN,NaN,72,80,NaN,80,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,65,NaN,69,NaN,69,NaN,NaN,NaN,NaN,77,NaN,65,NaN,60,81,NaN,78,NaN,78,60,NaN,65,60,60,81,NaN,67,NaN,69,63,74,61,75,79,NaN,NaN,NaN,NaN,NaN,89,64,NaN,NaN,76,NaN,66,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410007,NaN,NaN,63,77,NaN,NaN,NaN,77,NaN,79,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,85,80,88,77,94,NaN,83,NaN,79,NaN,41,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410008,NaN,NaN,81,99,NaN,99,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,76,NaN,99,NaN,99,NaN,NaN,NaN,70,NaN,60,75,NaN,82,88,NaN,91,NaN,78,68,74,NaN,NaN,74,83,NaN,NaN,85,85,80,77,61,NaN,83,NaN,78,83,86,NaN,100,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401410009,NaN,NaN,85,91,NaN,91,NaN,NaN,NaN,76,NaN,NaN,87,NaN,70,NaN,77,NaN,77,NaN,NaN,NaN,NaN,NaN,72,85,NaN,71,94,NaN,88,80,NaN,81,NaN,NaN,NaN,83,83,NaN,85,NaN,87,70,96,NaN,83,93,NaN,NaN,80,85,NaN,85,NaN,NaN,NaN,83,NaN,75,78,81,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
