id,4100003@計算機概論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4103001@作業系統概論@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102161@電腦軟體設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4102013@機率論@2@1,4102170@統計學@2@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4102013@機率論@1@2,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102160@物件導向程式設計@2@2,4103900@工程倫理@2@1,4104801@專題實驗（二）@2@1
402410075,45,79,82,NaN,NaN,NaN,82,NaN,96,NaN,NaN,85,82,91,NaN,73,NaN,73,NaN,NaN,NaN,NaN,NaN,95,66,98,NaN,66,79,NaN,91,80,NaN,90,93,NaN,92,NaN,81,NaN,74,NaN,94,NaN,99,NaN,86,NaN,89,86,85,99,NaN,NaN,NaN,90,NaN,73,NaN,72,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN
402410001,NaN,70,64,57,NaN,57,NaN,64,NaN,63,NaN,62,62,46,45,62,NaN,NaN,0,62,NaN,NaN,NaN,71,60,81,NaN,60,65,NaN,60,55,-1,61,72,NaN,80,NaN,66,NaN,60,NaN,NaN,NaN,NaN,NaN,60,47,73,NaN,NaN,83,NaN,50,NaN,-1,NaN,NaN,-1,NaN,NaN,90,NaN,NaN,NaN,60,NaN,87,NaN,NaN,NaN,NaN,-1,NaN
402410002,NaN,60,65,25,65,25,NaN,NaN,40,51,NaN,NaN,NaN,4,NaN,63,3,63,3,10,NaN,67,NaN,69,60,NaN,79,66,62,NaN,49,63,NaN,71,66,NaN,68,NaN,-1,NaN,62,NaN,-1,67,NaN,NaN,29,49,NaN,NaN,NaN,84,NaN,40,NaN,NaN,NaN,NaN,-1,44,86,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410003,NaN,61,67,59,NaN,67,NaN,NaN,NaN,61,83,NaN,77,68,NaN,84,4,84,4,NaN,NaN,NaN,NaN,75,67,NaN,78,86,78,NaN,60,73,NaN,71,66,NaN,74,NaN,-1,NaN,68,-1,-1,NaN,NaN,72,64,64,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,86,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410007,NaN,62,62,NaN,62,NaN,NaN,NaN,NaN,81,75,NaN,NaN,70,NaN,73,NaN,73,NaN,NaN,NaN,NaN,NaN,70,75,75,NaN,75,74,NaN,70,75,NaN,66,NaN,83,86,NaN,84,NaN,72,NaN,73,74,93,81,65,73,NaN,72,NaN,70,68,NaN,-1,93,NaN,65,70,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN
402410008,NaN,60,67,NaN,NaN,NaN,67,NaN,NaN,60,NaN,NaN,NaN,24,66,55,83,55,NaN,NaN,83,NaN,85,69,77,NaN,85,76,NaN,66,60,NaN,90,62,NaN,89,90,NaN,83,NaN,81,NaN,NaN,64,100,NaN,82,70,NaN,85,NaN,85,NaN,NaN,NaN,79,NaN,61,79,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
402410009,NaN,90,NaN,93,NaN,93,NaN,NaN,100,NaN,NaN,73,NaN,NaN,90,NaN,97,NaN,97,NaN,NaN,NaN,NaN,87,83,NaN,91,70,84,NaN,90,91,NaN,93,NaN,93,93,NaN,85,61,75,NaN,89,86,99,88,92,94,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,78,NaN,87,92,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410010,NaN,80,NaN,90,NaN,90,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,74,NaN,92,NaN,NaN,NaN,92,NaN,88,81,75,NaN,78,74,93,NaN,80,70,NaN,73,NaN,92,NaN,71,76,NaN,63,NaN,NaN,65,NaN,79,NaN,NaN,78,70,NaN,84,76,NaN,NaN,79,NaN,74,NaN,77,94,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410011,NaN,73,68,59,NaN,68,NaN,NaN,NaN,74,79,NaN,NaN,NaN,68,NaN,68,NaN,68,NaN,NaN,NaN,NaN,65,94,NaN,86,71,NaN,60,87,NaN,75,73,NaN,89,75,NaN,74,44,63,NaN,71,71,82,80,75,73,NaN,67,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410012,NaN,72,66,NaN,NaN,NaN,66,NaN,NaN,86,NaN,NaN,NaN,77,NaN,77,NaN,NaN,NaN,77,NaN,NaN,70,78,68,NaN,75,65,NaN,82,71,NaN,76,68,NaN,86,85,NaN,82,74,-1,-1,67,68,NaN,78,NaN,71,NaN,NaN,84,91,78,NaN,NaN,74,NaN,NaN,68,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,-1,NaN
402410013,NaN,78,NaN,95,NaN,NaN,NaN,95,NaN,77,83,NaN,60,60,57,NaN,76,NaN,NaN,NaN,76,NaN,NaN,64,68,NaN,84,13,20,NaN,31,-1,NaN,-1,72,NaN,76,NaN,68,NaN,-1,NaN,-1,NaN,NaN,67,NaN,6,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410014,NaN,61,66,NaN,NaN,NaN,66,NaN,NaN,77,NaN,NaN,NaN,NaN,35,64,NaN,38,NaN,64,NaN,NaN,63,58,100,NaN,82,69,NaN,65,29,33,NaN,49,90,NaN,51,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
