id,4101031@蝔?閮剛?嚗?嚗1@2,4101033@蝔?閮剛?撖衣?嚗?嚗1@4,4101013@璈?隢2@2,4101032@蝔?閮剛?嚗?嚗2@2,4101034@蝔?閮剛?撖衣?嚗?嚗2@4,4102085@?Ｘ?詨飛@2@1,4101031@蝔?閮剛?嚗?嚗1@1,4101033@蝔?閮剛?撖衣?嚗?嚗1@1,4101033@蝔?閮剛?撖衣?嚗?嚗1@3,4101155@蝺找誨?睹1@1,4101155@蝺找誨?睹1@2,4101888@摮貊頂??摮貊?@1@1,4102001@?訾??餃?摮睹1@1,4102003@?訾??餃?摮詨祕撽1@1,4102050@蝯?隤?@1@1,4102062@鞈?蝯?@1@1,4102090@撌亦??詨飛@1@1,4103022@頠?撌亦?@1@1,4101013@璈?隢2@1,4101034@蝔?閮剛?撖衣?嚗?嚗2@2,4102068@閮??寞?璁?@2@1,4102068@閮??寞?璁?@2@2,4102100@?訾?蝟餌絞撠?@2@1,4102130@?訾?蝟餌絞撠?撖阡?@2@1,4102130@?訾?蝟餌絞撠?撖阡?@2@2,4102150@蝟餌絞蝔?@2@1,4102150@蝟餌絞蝔?@2@2,4102160@?拐辣撠?蝔?閮剛?@2@1,4103039@?餉蝬脰楝璁?@2@1,4101012@鞈?璁?@1@1,4101033@蝔?閮剛?撖衣?嚗?嚗1@2,4103001@雿平蝟餌絞璁?@1@2,4103020@蝔?隤?撠?@1@1,4103026@憭?擃?銵?隢1@1,4103055@閮?璈?蝜1@1,4103055@閮?璈?蝜1@2,4103066@鈭箏極?箸撠?@1@1,4103800@鞈?撌亦???@1@1,4101032@蝔?閮剛?嚗?嚗2@1,4101034@蝔?閮剛?撖衣?嚗?嚗2@3,4102013@璈?隢2@1,4102160@?拐辣撠?蝔?閮剛?@2@2,4102170@蝯梯?摮睹2@1,4103095@Java蝔?閮剛?嚗?璆剛?撋撘頂蝯娼2@1,4104005@蝺刻陌?刻身閮2@2,4104800@撠?撖阡?嚗?嚗2@1,4104800@撠?撖阡?嚗?嚗2@3,4103001@雿平蝟餌絞璁?@1@1,4104801@撠?撖阡?嚗?嚗1@3,4104801@撠?撖阡?嚗?嚗1@4,4103900@撌亦??怎?@2@1,4104005@蝺刻陌?刻身閮2@1
402530008,87,87,NaN,96,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530011,99,99,NaN,99,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530014,NaN,39,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530036,NaN,99,57,88,88,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530019,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530022,NaN,NaN,NaN,NaN,NaN,74,71,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530034,NaN,91,NaN,77,NaN,95,91,NaN,NaN,92,NaN,NaN,100,96,77,92,95,90,92,77,68,NaN,70,89,NaN,NaN,94,90,68,NaN,NaN,83,NaN,89,81,NaN,80,86,NaN,NaN,NaN,NaN,87,91,84,NaN,90,NaN,87,NaN,-1,NaN
402530037,NaN,NaN,NaN,71,71,61,62,62,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402530040,75,75,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530041,NaN,NaN,NaN,72,72,76,66,66,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
