id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102062@資料結構@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4101031@程式設計（一）@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103069@易數邏輯@1@1,4102013@機率論@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103039@電腦網路概論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4102013@機率論@1@1,4102013@機率論@1@2,4103001@作業系統概論@1@1,4103022@軟體工程@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103900@工程倫理@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5
403410001,73,78,NaN,NaN,78,NaN,NaN,61,76,NaN,NaN,61,NaN,NaN,74,NaN,NaN,NaN,74,NaN,NaN,75,NaN,75,95,NaN,66,67,61,88,NaN,NaN,NaN,79,83,NaN,87,87,NaN,NaN,90,76,-1,NaN,-1,87,NaN,NaN,NaN,83,87,NaN,85,80,98,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410002,92,99,NaN,99,NaN,NaN,NaN,89,NaN,NaN,NaN,91,NaN,96,NaN,96,NaN,NaN,NaN,78,NaN,99,NaN,100,87,NaN,91,100,83,NaN,NaN,NaN,NaN,68,86,90,NaN,94,NaN,NaN,90,NaN,-1,-1,NaN,NaN,86,NaN,NaN,90,91,NaN,81,87,98,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403410003,60,64,64,NaN,NaN,NaN,62,NaN,62,NaN,NaN,NaN,67,71,NaN,71,NaN,NaN,NaN,NaN,NaN,67,NaN,76,91,NaN,71,66,63,60,NaN,NaN,NaN,60,-1,89,NaN,79,NaN,NaN,70,64,-1,-1,NaN,NaN,64,NaN,NaN,55,71,28,NaN,44,80,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
403410004,81,84,NaN,NaN,NaN,84,87,NaN,NaN,NaN,NaN,67,NaN,75,NaN,75,NaN,NaN,NaN,NaN,79,69,NaN,71,88,NaN,60,62,71,NaN,NaN,NaN,NaN,61,65,NaN,89,NaN,73,NaN,64,73,-1,-1,-1,85,NaN,NaN,NaN,72,88,69,NaN,67,90,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410005,74,70,70,NaN,NaN,NaN,56,42,83,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,NaN,NaN,NaN,72,60,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410006,90,92,92,NaN,NaN,NaN,NaN,83,NaN,NaN,84,66,NaN,NaN,79,NaN,NaN,NaN,79,NaN,79,77,NaN,79,88,NaN,84,NaN,86,NaN,NaN,NaN,76,NaN,74,88,NaN,93,NaN,NaN,85,77,-1,NaN,NaN,91,84,NaN,NaN,87,NaN,93,NaN,87,97,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
403410007,62,60,NaN,60,NaN,NaN,NaN,70,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,74,NaN,7,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410008,63,61,NaN,NaN,61,NaN,NaN,60,NaN,NaN,29,NaN,NaN,NaN,74,NaN,74,NaN,NaN,NaN,68,62,NaN,75,72,NaN,21,17,79,NaN,NaN,70,-1,2,NaN,NaN,77,-1,NaN,60,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,23,NaN,NaN,68,NaN,48,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403410009,67,67,NaN,67,NaN,NaN,NaN,76,NaN,78,60,52,NaN,71,NaN,71,NaN,NaN,NaN,NaN,NaN,77,NaN,66,NaN,69,60,25,69,61,NaN,87,-1,14,-1,82,NaN,-1,39,73,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,68,68,NaN,42,NaN,88,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
403410010,75,60,NaN,NaN,60,NaN,81,NaN,NaN,NaN,NaN,67,NaN,NaN,73,NaN,73,NaN,NaN,73,NaN,61,NaN,73,80,NaN,69,69,83,NaN,82,NaN,NaN,87,65,90,NaN,NaN,87,NaN,72,NaN,-1,-1,-1,NaN,63,NaN,NaN,86,NaN,84,NaN,80,95,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403410011,100,99,NaN,99,NaN,NaN,84,NaN,85,NaN,NaN,NaN,80,NaN,93,NaN,93,NaN,NaN,NaN,NaN,91,NaN,87,80,NaN,81,96,81,97,NaN,NaN,NaN,96,76,84,NaN,NaN,89,NaN,97,83,NaN,-1,NaN,NaN,NaN,NaN,NaN,95,NaN,73,NaN,81,98,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
