id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101155@線性代數@1@2,4102050@組合語言@1@1,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4102013@機率論@2@1,4102085@離散數學@2@1,4102150@系統程式@2@2,4102170@統計學@2@1,4103039@電腦網路概論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4101155@線性代數@1@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102062@資料結構@1@1,4102090@工程數學@1@1,4103001@作業系統概論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4102068@計算方法概論@2@1,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2
403530029,92,NaN,99,NaN,NaN,99,95,99,NaN,97,NaN,97,NaN,94,100,-1,93,-1,-1,NaN,100,98,99,89,NaN,NaN,99,NaN,NaN,-1,-1,-1,-1,NaN
403530002,NaN,98,NaN,98,NaN,NaN,NaN,NaN,96,NaN,96,NaN,NaN,NaN,80,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530004,NaN,100,NaN,100,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,100,NaN,92,83,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,91,NaN,NaN,NaN,NaN,-1
403530009,NaN,99,NaN,99,NaN,NaN,NaN,NaN,100,NaN,100,NaN,NaN,NaN,88,91,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403530030,NaN,100,NaN,100,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,100,NaN,77,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530045,NaN,89,NaN,NaN,89,NaN,NaN,NaN,87,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530049,NaN,91,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,68,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,89,77,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
